No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
13,Abraham Alce,RB,FR,6-0,224,"Immokalee, FL",Immokalee HS
27,Bubba Arslanian,LB,FR,5-9,220,"Aurora, OH",Aurora HS
31,Jamal Baggett,S,SR,5-11,195,"Oak Park, IL",Oak Park-River Forest HS
43,Youssef Barakat,LB,JR,5-10,210,"Akron, OH",St. Vincent-St. Mary HS
65,Kyle Bauman,LS,FR,5-11,250,"North Royalton, OH",North Royalton HS
10,Brian Bell,LB,SR,6-3,235,"Valdosta, GA",Lowndes HS
68,Eric Bentley,OL,FR,6-2,290,"Akron, OH",St. Vincent-St. Mary HS
22,Brandon Bischof,LB,FR,6-1,220,"Akron, OH",St. Vincent-St. Mary HS
23,Nathan Bischof,LB,SR,6-2,210,"Akron, OH",St. Vincent-St. Mary HS
23,Gavin Blunt,WR,FR,6-2,195,"Aurora, OH",Aurora HS
50,Brock Boxen,DL,SR,6-3,295,"New Galilee, PA",Beaver Falls HS
51,Jake Bracher,LB,FR,6-0,209,"Mason, OH",William Mason HS
56,Walter Brady,DE,SR,6-3,267,"Florence, AL",Florence HS | MTSU | Missouri
17,Daishawn Brimage,WR,FR,6-0,195,"Akron, OH",East HS
12,DeAndre Brimage,DL,SO,6-0,290,"Akron, OH",East HS
4,Kyron Brown,CB,SR,6-1,195,"Boynton Beach, FL",Boynton Beach HS
59,Trevor Brown,OL,JR,6-5,300,"Clinton, MD",Wise HS | Jireh Prep
50,Undrea Bullard,OL,SR,6-6,305,"St. Petersburg, FL",Gibbs HS
14,Dustin Burkhart,WR,SO,6-0,195,"Akron, OH",Coventry HS
13,Denzel Butler,DB,JR,5-9,185,"Fort Lauderdale, FL",Coral Springs Charter HS | WV Wesleyan
46,Hugh Cade,CB,JR,5-8,165,"Akron, OH",Buchtel HS
61,Peyton Coffman,LS,SO,5-11,205,"Grand Blanc, MI",Fenton HS
37,Jerome Cooper,DB,FR,5-11,219,"Detroit, MI",Stevenson HS
72,Hunter Corne,OL,FR,6-4,305,"Dunnellon, FL",Dunnellon HS
21,"Reggie Corner, Jr.",DB,FR,5-9,195,"Canton, OH",McKinley HS
56,Brandon Council,OL,SO,6-4,325,"Tar Heel, NC",West Bladen HS | Jireh Prep
24,Darian Dailey,CB,SR,5-11,180,"Sarasota, FL",Manatee HS | Rutgers
1,Alvin Davis,CB,JR,5-9,175,"Fort Lauderale, FL",Saint Thomas Aquinas
9,Jamal Davis II,DE,SR,6-4,240,"Canton, OH",McKinley HS | Pittsburgh
8,T.J. Deshields,QB,FR,6-3,185,"Beloit, OH",West Branch HS
52,Zach DiLauro,LB,FR,5-10,215,"Akron, OH",Springfield HS
16,Jaquavis Dixon,WR,JR,6-2,200,"Oviedo, FL",Hagerty HS
64,Rueben Durkee,OL,FR,6-5,285,"Akron, OH",Firestone HS
7,"Van Edwards, Jr.",RB,SR,5-9,200,"Cape Coral, FL",Island Coast HS
28,Mark Ellis,CB,SR,5-11,180,"Williamstown, NJ",Williamstown HS | West Virginia
63,Nick Fazio,OL,SR,6-3,305,"Streetsboro, OH",Streetsboro HS | Charleston
2,Shawn Featherstone,DB,SR,6-2,190,"Pittsburgh, PA",Penn Hills HS
47,Jerry Fitschen,PK,SO,6-0,210,"Orange, CA",Orange Lutheran HS
22,Devanier Floyd,RB,FR,5-9,200,"Akron, OH",East HS
49,James Fonseca,PK,SR,5-11,165,"Fontanay, CA",Summit HS | Riverside City College
62,"Vincent Fonte, Jr.",OL,FR,6-4,275,"Copley, OH",Copley HS
74,Landon Forman,OL,JR,6-5,280,"Kingfisher, OK",Kingfisher HS | Northeastern Oklahoma A&M
41,Kyle Foster,P,SR,6-2,190,"Parkersburg, WV",Parkersburg HS
48,Nick Gasser,PK,SR,6-0,180,"Liberty Township, OH",Lakota East HS
7,Jordan George,DB,SR,6-0,205,"Dayton, OH",Archbishop Alter HS
