No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
18,Brad Absher,WR,SR,5-10,178,"Troy, NC",West Montgomery
15,Mock Adams,WR,JR,6-4,205,"Greenwood, SC",Greenwood
68,Brody Barrett,DL,JR,6-3,298,"San Juan Capistrano, CA",JSerra Catholic
27,A.J. Beach,DB,JR,5-9,166,"Smyrna, GA",Milton/Georgia Military College
51,Tyler Bird,LB,FR,6-2,218,"Acworth, GA",North Paulding
95,George Blackstock,DL,FR,6-1,258,"Eden, NC",Eden Morehead
65,Gage Blackston,OL,FR,6-4,283,"Savannah, GA",Benedictine Military
8,Stephon Brown,QB,FR,6-5,208,"Winston-Salem, NC",Glenn
79,Luke Burnette,OL,FR,6-5,268,"Monroe, NC",Sun Valley
96,Markell Clark,DL,SO,6-0,264,"Dacula, GA",Spain Park
34,Nakendrick Clark,RB,JR,5-9,193,"Statesville, NC",Statesville/Louisburg College
45,Trey Cobb,LB,FR,6-2,220,"Waycross, GA",Ware County
81,Braden Collins,WR,FR,6-2,197,"Knoxville, TN",Farragut
20,Noel Cook,LB,JR,6-0,212,"Reidsville, NC",Reidsville
24,Akeem Davis-Gaither,LB,JR,6-2,208,"Thomasville, NC",Thomasville
91,Tommy Dawkins,DL,SO,6-2,227,"Concord, NC",Cox Mill
25,Kaleb Dawson,DB,FR,5-11,184,"Moultrie, GA",Colquitt County
13,Peyton Derrick,QB,FR,6-2,182,"Conway, SC",Conway
57,Elijah Diarrassouba,DL,SO,6-1,250,"Greensboro, NC",Page
40,Logan Doublin,LB,FR,6-0,216,"Clearwater, FL",Largo
4,Clifton Duck,DB,JR,5-10,170,"Matthews, NC",Butler
53,Max Durschlag,LS,FR,5-11,197,"Charlotte, NC",Mallard Creek
99,Jordon Earle,DL,FR,6-2,305,"West Palm Beach, FL",Forest Hill
52,Tobias Edge-Campbell,OL,SR,6-2,272,"Raeford, NC",Hoke County
37,Tanner Ellenberger,LB,FR,6-3,223,"Brevard, NC",Brevard
3,Darrynton Evans,RB,SO,5-11,191,"Oak Hill, FL",New Smyrna Beach
84,Mike Evans,TE,JR,6-3,239,"Jacksonville, NC",White Oak/Lenoir-Rhyne
9,Austin Exford,DB,SR,6-0,200,"Snellville, GA",Shiloh
59,Jordan Fehr,LB,JR,6-3,226,"Charlotte, NC",Providence
44,Anthony Flory,LB,SR,6-1,232,"Miramar, FL",American Heritage
50,Keaton Forbes,LS,FR,6-0,215,"Sanford, NC",Lee County
6,Desmond Franklin,DB,JR,6-0,200,"Inverness, FL",Citrus
22,Jace Frisbee,LB,FR,6-2,206,"Brevard, NC",Brevard
10,Tim Frizzell,LB,SO,6-1,223,"Knoxville, TN",Hardin Valley Academy
73,Cole Garrison,OL,SO,6-4,283,"Pinson, AL",Clay-Chalkville
9,Jackson Gibbs,QB,FR,6-1,193,"Davidson, NC",Hough/UCLA
35,Miller Gibbs,TE,FR,6-4,219,"Davidson, NC",Hough
62,Weston Gillespie,OL,SO,6-4,287,"Travelers Rest, SC",Travelers Rest
29,John Gliarmis,K,FR,5-8,150,"Wilson, NC",Fike
47,Okon Godwin,DL,SR,6-1,250,"Covington, GA",Alcovy
78,Chandler Greer,OL,SR,6-4,288,"Knoxville, TN",Bearden
80,AJ Hall,WR,FR,6-1,200,"Kernersville, NC",East Forsyth
49,Blythe Hall,LB,SO,6-2,200,"Greensboro, NC",Southeast Guilford
31,Nick Hampton,LB,FR,6-3,202,"Anderson, SC",Westside
60,Noah Hannon,OL,SO,6-1,270,"Greer, SC",Greer
64,Will Hardin,OL,SO,6-2,291,"Greensboro, NC",Page
74,Anderson Hardy,OL,FR,6-6,261,"Raleigh, NC",Sanderson
27,DeMarcus Harper,RB,SO,5-11,190,"Asheville, NC",Owen
19,Daetrich Harrington,RB,SO,6-0,184,"Douglasville, GA",Alexander
29,Devonte Harrison,LB,SO,6-0,201,"Jacksonville, FL",Sandalwood
84,Joe Hartung,TE,FR,6-3,256,"Greenwood, SC",Greenwood
56,Nate Haskins,OL,SO,6-4,280,"Orlando, FL",Boone
17,Tae Hayes,DB,SR,5-11,183,"Decatur, AL",Decatur
30,Zareon Hayes,LB,FR,6-1,242,"Dillon, SC",Dillon
77,Josh Headlee,OL,FR,6-4,287,"Boone, NC",Watauga
4,Dominique Heath,WR,SR,5-9,166,"Huntersville, NC",Hopewell/Kansas State
5,Thomas Hennigan,WR,SO,6-1,206,"Greensboro, NC",Northwest Guilford
83,Jake Henry,WR,FR,5-11,180,"Cantonment, FL",J.M. Tate
22,D'Andre Hicks,RB,FR,5-10,178,"Punta Gorda, FL",Charlotte
70,Cooper Hodges,OL,FR,6-4,301,"Glen St. Mary, FL",Baker County
94,Josh Houser,DL,JR,6-1,283,"Boonville, NC",Starmount/Gardner-Webb
30,Clayton Howell,P,FR,6-0,183,"High Point, NC",High Point Central
7,Jacob Huesman,QB,SO,6-3,203,"Bradenton, FL",Braden River
21,Ryan Huff,DB,FR,6-1,200,"Athens, GA",Cedar Shoals
51,Baer Hunter,OL,SO,6-2,286,"Clemmons, NC",West Forsyth
66,Will Israel,DL,FR,6-2,215,"Asheville, NC",A.C. Reynolds
52,D'Marco Jackson,LB,FR,6-1,220,"Spartanburg, SC",Broome
8,Shemar Jean-Charles,DB,SO,5-11,181,"Miramar, FL",Miramar
75,Victor Johnson,OL,JR,6-5,296,"North Augusta, SC",North Augusta
16,Shaun Jolly,DB,FR,5-9,171,"Stone Mountain, GA",Stephenson
12,Steven Jones,DB,FR,5-10,180,"Rockingham, NC",Richmond Senior
11,Jeremy Level,DB,SO,6-1,207,"Greensboro, NC",Page
39,Zion Madden,DB,FR,5-10,157,"High Point, NC",Southwest Guilford
36,Brock Mattison,DL,FR,6-1,217,"Duluth, GA",Buford
17,Trevion McCollum,WR,SO,5-10,206,"Burlington, NC",Western Alamance/Lincoln University
54,Jermaine McDaniel,DL,FR,6-3,223,"Dillon, SC",Dillon
93,Elias McMurry,LS,SR,6-0,237,"Statesville, NC",Statesville
26,Matthew McQuinn,LB,FR,6-0,202,"Fort Myers, FL",Fort Myers
33,Jordan Mitchell,LB,FR,6-0,203,"Beulaville, NC",East Duplin
25,Jalin Moore,RB,SR,5-11,207,"Shelby, NC",Crest
58,Ryan Neuzil,OL,SO,6-3,280,"Bradenton, FL",Braden River
88,Cameron Pack,DL,SO,6-4,240,"Mount Airy, NC",Mount Airy
43,Hansky Paillant,DL,FR,6-2,224,"Sunrise, FL",Miramar
89,Devin Papenheim,TE,JR,6-6,254,"Bushnell, FL",South Sumter
88,Henry Pearson,TE,FR,6-3,243,"Ho-Ho-Kus, NJ",Paramus Catholic
6,Camerun Peoples,RB,FR,6-2,202,"Lineville, AL",Clay Central
28,Jay Person,LB,FR,6-2,221,"Cleveland, TN",Bradley Central
89,Dorian Pickett,DL,FR,6-2,220,"Beulaville, NC",East Duplin
19,Mike Price,DB,FR,5-10,188,"Stockbridge, GA",Stockbridge
20,A'Darius Purifoy,WR,SO,6-0,188,"Pensacola, FL",West Florida Tech
85,Michael Queen,WR,SO,6-1,200,"Apex, NC",Northwood
21,Dysaun Razzak,WR,FR,5-7,152,"Kernersville, NC",Glenn
87,Collin Reed,TE,JR,6-4,248,"Boiling Springs, SC",Boiling Springs
63,Ivan Reyes,OL,SO,6-1,292,"Hickory, NC",St. Stephens
86,Trey Ross,TE,FR,6-3,223,"Sophia, NC",Randleman
41,Michael Rubino,K,JR,6-3,215,"Apex, NC",Middle Creek
98,E.J. Scott,DL,JR,6-3,270,"Farmville, NC",Farmville Central/Shaw
13,Kaiden Smith,DB,SO,6-1,196,"Lawrenceville, GA",Mountain View
2,Zeb Speir,QB,SR,6-2,203,"Sylva, NC",Smoky Mountain
97,Caleb Spurlin,DL,SO,5-10,255,"Galax, VA",Galax
91,Chandler Staton,K,SO,5-11,184,"Gainesville, GA",Gainesville
92,MyQuon Stout,DL,SR,6-1,280,"Salisbury, NC",Jesse C. Carson
39,Xavier Subotsch,P,SO,6-1,193,"Melbourne, Australia",Haileyburg
2,Corey Sutton,WR,SO,6-3,205,"Cornelius, NC",Mallard Creek/Kansas State
48,Demetrius Taylor,DL,SO,6-1,260,"Miami, FL",Northwestern
42,Harrison Taylor,DL,FR,6-4,234,"McDonough, GA",Eagle’s Landing Christian Academy
7,Josh Thomas,DB,JR,6-0,206,"Montgomery, AL",Montgomery Academy
12,Zac Thomas,QB,SO,6-1,200,"Trussville, AL",Hewitt-Trussville
82,Richard Tucker,WR,FR,6-0,180,"Campobello, SC",Chapman
11,Jalen Virgil,WR,SO,6-1,206,"Lawrenceville, GA",Mountain View
46,Chris Washington,DL,FR,5-11,277,"Newberry, FL",Newberry
14,Malik Williams,WR,SO,5-10,183,"Chester, SC",Chester Senior
55,Matt Williams,OL,SO,6-5,286,"Lehigh Acres, FL",Lehigh
26,Marcus Williams Jr.,RB,SO,5-10,200,"Rocky Mount, NC",Southwest Edgecombe
90,Chris Willis,DL,SO,6-2,245,"Shelby, NC",Crest
10,Tanner Wilson,QB,FR,6-2,225,"Reidsville, NC",Reidsville
67,Logan Wright,OL,SO,6-4,305,"Kernersville, NC",East Forsyth
