No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
99,Tony Adams,DL,SR,6-0,333,"Fannin, MS",Jones County (Miss.) JC
9,"Jonathan Adams, Jr.",WR,SO,6-3,209,"Jonesboro, AR",Jonesboro
90,Tukua Ahoia,DL,SO,6-0,331,"San Mateo, CA",College of San Mateo (Calif.)
43,Kavin Alexander,DB,SR,5-10,197,"North Little Rock, AR",Butte (Calif.) College
16,Triston Anderson,CB,FR,6-0,181,"Rockwall, TX",Rockwall
77,Jacob Atnip,OL,SO,6-5,309,"Sheridan, AR",Sheridan
45,TW Ayers,TE,FR,6-2,250,"Lamar, MO",Lamar High School
7,Omar Bayless,WR,JR,6-3,207,"Laurel, MS",Laurel
30,Derrick Bean,DB,FR,6-2,226,"Pinson, AL",Clay-Chalkville
60,Jhamahl Bell,OL,SR,6-3,294,"Warren, AR",Warren
8,Ronheen Bingham,DE,SR,6-2,242,"Bennettsville, SC",Hutchinson (Kan.) CC
22,Caleb Bonner,LB,SO,6-1,213,"Reform, AL",Pickens County
70,Lanard Bonner,OL,SR,6-5,315,"Birmingham, AL",(Highland (Kan.) CC)
12,Logan Bonner,QB,SO,6-1,215,"Rowlett, TX",Rowlett
82,Brandon Bowling,WR,SO,5-9,176,"McKinney, TX",Boyd
50,William Bradley-King,DE,SO,6-4,248,"Kansas City, MO",Hogan Preparatory Academy
57,Bruce Brown,LB,FR,6-2,210,"Memphis, TN",Houston High School
17,Darveon Brown,WR,JR,5-11,185,"Warren, AR",Warren
98,Jeffmario Brown,DE,-,6-3,229,"Myrtle Beach, SC",Hutchison CC/Forrest High School
42,Keyondre Brown,-,-,-,-,-,-
69,Marvis Brown,OL,SR,6-3,341,"Orange, TX",Tyler (Texas) Junior College
59,Holden Byassee,LB,SO,6-1,228,"Cherry Valley, AR",Cross County
28,Brandon Byner,DB,SR,5-11,174,"Bessemer, AL",Bessemer City
87,Javier Carbonell,DL,JR,6-2,314,"Bentonville, AR",Bentonville
35,Aaron Carter,DB,FR,5-10,193,"Manila, AR",Missouri Baptist/Manila
36,Gavin Casebier,WR,FR,6-4,180,"Harrisburg, AR",Harrisburg
32,Tajhea Chambers,LB,SO,6-2,240,"Gordon, GA",Tift County
16,Fuller Chandler,WR,SO,6-1,205,"Springdale, AR",Henderson State/Har-Ber
31,Jarrod Chandler,DE,SR,6-2,217,"Barton, AR",Barton
10,Justin Clifton,DB,SR,6-0,213,"Tupelo, MS",Tupelo
10,Carson Coats,QB,JR,6-1,204,"Jonesboro, AR",Jonesboro
46,Seth Cottengim,DS,SO,6-0,207,"Fairport, NY",Wyoming
73,Cameron Davis,OL,JR,6-4,325,"Bryant, AR",Bryant
43,Charles DeRosier,DS,FR,6-0,240,"Long Beach, CA",Robert A. Millikan High School
78,Justin Dutton,OL,FR,6-4,331,"Guthrie, OK",Guthrie
3,B.J. Edmonds,DB,JR,6-0,204,"Mobile, AL",St. Paul's Episcopal School
5,Kendrick Edwards,WR,SR,6-5,211,"Miami, FL",Arkansas
55,Troy Elliott,OL,JR,6-5,271,"Flower Mound, TX",Marcus
26,Trent Ellis-Brewer,LB,JR,6-2,222,"Daphne, AL",Daphne HS
39,Dajon Emory,DE,SR,6-3,272,"Bridgeville, DE",Lackawanna (Pa.) College
93,Peter Fitz,DE,FR,6-0,230,"Little Rock, AR",Catholic High School
14,Antonio Fletcher,DB,FR,6-0,187,"Lithonia, GA",Martin Luther King
99,Damon Foncham,P,JR,5-8,186,"Plano, TX",Plano West
54,Dalton Ford,OL,JR,6-4,311,"Webb City, MO",Webb City
67,Jon Fox,OL,FR,6-4,305,"Mountain Home, AR",Mountain Home High School
21,Jamari Gamble,DB,FR,6-0,205,"DeWitt, AR",DeWitt
40,Cade Gartman,RB,FR,5-9,180,"Trumann, AR",Trumann
6,Jefferie Gibson,DB,SR,6-4,200,"Hope Mills, NC",Arizona Western College
58,Terrell Gibson,LB,FR,5-11,230,"Junction City, AR",Junction City High School
41,Cody Grace,P,JR,6-2,228,"Perth, Australia",Warwick Senior
4,Dahu Green,WR,JR,6-5,197,"Oklahoma City, OK",Oklahoma
20,Detravion Green,DB,FR,6-0,183,"Ashdown, AR",Ashdown
25,Blake Grupe,K,FR,5-8,150,"Sedalia, MO",Smith-Cotton
40,Connor Haag,WR,FR,5-11,175,"Truman , AR",Trinity International Uni.
97,Terry Hampton,DL,FR,6-0,293,"El Dorado, AR",El Dorado
15,Justice Hansen,QB,SR,6-4,224,"Edmond, OK",Butler (Kan.) CC
11,Jaden Harris,DB,FR,6-2,201,"Monroe, LA",Ouachita Parish
52,T.J. Harris,DE,JR,6-2,239,"Tulsa, OK",Booker T. Washington
74,Andre Harris Jr.,OL,FR,6-5,342,"Oklahoma City, OK",Putnam City North
71,Klint Harvey,OL,JR,6-6,326,"Corning, AR",Arkansas
75,Christian Hoz,OL,FR,6-5,316,"Covington, LA",Archbiship Hannan
81,Javonis Isaac,TE,SO,6-2,248,"Lafayette, LA",Acadiana
36,Noel Iwuchukwu,DE,JR,6-2,235,"Los Angeles, CA",College of the Canyons (Cali.)
34,Darreon Jackson,DB,JR,6-0,205,"Derby, KS",Coffeyville (Kan.) CC
89,Jimmie Jackson,TE,SR,6-2,242,"Bentonville, AR",Arkansas Tech/Bentonville HS
1,Jerry Jacobs,CB,SO,5-11,198,"Atlanta, GA",Hutchison CC/South Cobb
37,Avery Johnson,TE,JR,6-2,239,"Bandmill, AR",Highland
63,Chase Johnson,OL,SR,6-3,277,"Olive Branch, MS",Northwest Mississippi CC
4,Michael Johnson,DB,SR,6-1,199,"Hialeah, FL",Mt. San Antonio (Calif.) Coll.
88,Preston Johnson,WR,JR,6-4,200,"Atlanta, GA",Arkansas Baptist/Arabia Mountain
47,Jaelyn Jones,DB,SO,6-1,223,"Bryant, AR",Bryant
3,Jamal Jones,RB,JR,5-9,193,"Memphis, TN",Trezevant
23,Jevon Jones,CB,FR,6-0,160,"Allen, TX",Allen
57,Jerome Jurczak,DS,FR,6-2,200,"Overland Park, KS",St. Thomas Aquinas
51,Kirk Louis,LB,JR,6-2,231,"Baton Rouge, LA",McKinley
32,Cooper Lucas,RB,FR,5-10,225,"Lamar, MO",Lamar High School
95,Wyatt Luebke,DL,FR,6-5,264,"DeWitt, AR",DeWitt
11,Donovan Marshall,RB,FR,5-11,188,"St. Louis, MO",Luthern North
18,Justin McInnis,WR,SR,6-6,206,"Pierrefonds, Canada",Dodge City (Kan.) CC
96,Charles McRae,DL,FR,6-2,240,"Little Rock, AR",Maumelle
27,Demari Medley,DB,SO,5-10,179,"Gainesville, FL",Gainesville
92,Forrest Merrill,DL,JR,6-1,320,"Willard, MO",Northeastern Oklahoma A&M/Willard
13,Kirk Merritt,WR,JR,6-0,215,"Destrehan, LA",East Mississippi CC
47,Ty Mimbs,DS,JR,6-1,226,"Sandersville, GA",Brentwood School
94,Hunter Moreton,DL,SO,6-1,291,"Fort Smith, AR",Southside
34,Marcel Murray,RB,FR,5-11,197,"Hiram, GA",Hiram
8,Bubba Ogbebor,WR,SO,6-0,198,"Frisco, TX",Boise State
16,Nathan Page,WR,FR,6-0,170,"Roland, AR",Joe T. Robinson
80,Ross Painter,TE,JR,6-4,237,"Hernando, MS",Northeast Mississippi CC
48,Kevin Powers,LB,JR,6-0,217,"Sacramento, CA",College of San Mateo (Calif.)
25,Ryan Ragone,DB,FR,6-0,205,"Daphne, AL",Daphne
91,Donovan Ransom,DL,SR,6-1,294,"Garland, TX",Garland
1R,Ollie Reddick,-,-,-,-,-,-
30,Donald Richardson,WR,FR,6-1,188,"Little Rock, AR",Central High School
33,Griffin Riggs,DE,SR,6-3,246,"Auburn, AL",Auburn
35,Alex Roberts,RB,FR,5-7,166,"Tokyo, Japan",Cabot (Ark.)
33,Aaron Sears,K,FR,5-9,155,"Murfreesboro, TN",Oakland High School
72,Nour-Eddine Seidnaly,OL,JR,6-5,324,"Silver Spring, MD",ASA (N.Y.) College
53,Luke Sexton,DS,SO,6-3,251,"Jonesboro, AR",Nettleton
29,Colby Sigears,DB,SO,5-8,168,"Fayetteville, AR",Arkansas Tech
24,Jeremy Smith,DB,JR,5-11,173,"Atlanta, TX",Atlanta
61,Jennings Stanley,OL,FR,6-3,325,"Jonesboro, AR",Jonesboro
64,Jacob Still,OL,SO,6-1,296,"Collierville, TN",St. George's
79,Ryan Taylor,DL,FR,6-2,303,"Loganville, GA",Grayson
19,Bryan Terry,DB,SO,5-11,180,"Marietta, GA",Fullerton College/Pope High School
15,Kevin Thurmon,DL,JR,6-3,298,"Chicago, IL",Ball State
44,Thomas Toki,DL,SO,6-1,290,"Mountain View, CA",College of San Mateo (Calif.)
19,Ross Trail,QB,JR,6-3,225,"Wynne, AR",Cincinnati/Wynne
40,Antwon Turnage,LB,SR,6-2,216,"Columbia, MO",Dodge City (Kan.) CC
87,Reed Tyler,TE,FR,6-3,245,"Brandon, MS",Brandon
19,Jake Walker,QB,SO,6-0,195,"Maxey, TN",Reedley Junior College/Dyer County High School
6,Warren Wand,RB,SR,5-5,184,"Edmond, OK",Memorial
2,Armond Weh-Weh,RB,SR,6-0,211,"Houston, TX",Scottsdale (Ariz.) CC
37,Logan Wescott,DB,JR,6-0,200,"Harrington, DE",Delaware State
42,Kameron White,RB,FR,5-8,200,"Minneaplois, MN",Totino Grace High School
41,Brandon Williams,DB,FR,5-11,177,"Chicago, IL",St. Rita
57,Bryce Williams,LB,SO,5-8,210,"Jonesboro, AR",Jonesboro
38,Sawyer Williams,K,JR,5-11,187,"Allen, TX",Allen
