No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Devin Adams,QB,SR,6-3,239,"Mobile, AL",Vigor
15,Wil Appleton,QB,FR,5-11,199,"Albertville, AL",Albertville
70,Calvin Ashley,OL,FR,6-6,322,"Orlando, FL",St. John's College
16,Malcolm Askew,DB,FR,5-11,192,"McCalla, AL",McAdory
48,Montavious Atkinson,LB,SR,6-1,219,"Fairburn, GA",Langston Hughes
23,Antonio Bankston,DB,FR,5-7,178,"Griffin, GA",Griffin
10,Devan Barrett,RB,SO,6-0,196,"Tampa, FL",Tampa Catholic
39,Chris Bobo,DB,FR,5-11,177,"Alpharetta, GA",King's Ridge Christian
93,Devonte Booker,LB,FR,5-11,233,"Orlando, FL",William Boone
52,Nick Brahms,OL,FR,6-3,304,"Navarre, FL",Navarre
73,Gabe Brinson,OL,FR,6-5,300,"Lorton, VA",South County
33,K.J. Britt,LB,SO,6-0,228,"Oxford, AL",Oxford
82,Dalton Brown,WR,SR,6-3,200,"Hoover, AL",Spain Park
5,Derrick Brown,DL,JR,6-5,325,"Sugar Hill, GA",Lanier
86,Tucker Brown,OL,SR,6-3,289,"Trussville, AL",Hewitt-Trussville
1,Big Kat Bryant,BCK,SO,6-5,253,"Cordele, GA",Crisp County
80,Sal Cannella,TE,JR,6-5,232,"Schaumburg, IL",St. Viator
26,Anders Carlson,K,FR,6-5,210,"Colorado Springs, CO",Classical Academy
47,Craig Carter,LB,JR,5-11,194,"Milton, GA",Cambridge
43,Cedric Chambers,RB,JR,5-7,188,"Valley, AL",Valley
91,Nick Coe,DL,SO,6-5,282,"Asheboro, NC",Asheboro
27,Chandler Cox,FB,SR,6-1,242,"Apopka, FL",Apopka
3,Nate Craig-Myers,WR,JR,6-2,214,"Dade City, FL",Tampa Catholic
45,Chase Cramer,FB,SR,5-10,198,"Orlando, FL",The First Academy
3,Marlon Davidson,DL,JR,6-3,278,"Greenville, AL",Greenville
57,Deshaun Davis,LB,SR,5-11,233,"Prichard, AL",Vigor
13,Javaris Davis,DB,JR,5-10,187,"Jacksonville, FL",Ed White
23,Ryan Davis,WR,SR,5-9,185,"St. Petersburg, FL",Lakewood
12,Jamel Dean,DB,JR,6-2,208,"Cocoa, FL",Cocoa
35,Tanner Dean,LB,FR,6-3,210,"Birmingham, AL",Mountain Brook
20,Jeremiah Dinson,DB,JR,6-0,195,"Miami, FL",American
71,Jack Driscoll,OL,JR,6-5,300,"Madison, CT",Daniel Hand
41,Josh French,LB,SO,5-11,205,"Birmingham, AL",Shades Valley
37,Kolbi Fuqua,WR,FR,6-2,190,"Jasper, AL",Cordova
53,Phelps Gambill,OL,FR,6-5,284,"Nashville, TN",Bell Academy
13,Joey Gatewood,QB,FR,6-5,237,"St. Augustine, FL",Bartram Trail
46,Devin Guice,DB,SO,5-8,164,"Opelika, AL",Opelika
59,Brodarious Hamm,OL,FR,6-5,325,"Griffin, GA",Spalding
77,Marquel Harrell,OL,JR,6-3,307,"Fairburn, GA",Creekside
85,Jalen Harris,TE,SR,6-4,254,"Montgomery, AL",St. James
30,Michael Harris,LB,FR,6-3,219,"Tucker, GA",Tucker
33,Will Hastings,WR,SR,5-10,166,"Little Rock, AR",Pulaski Academy
19,Matthew Hill,WR,FR,6-1,184,"Lawrenceville, GA",Brookwood
64,Mike Horton,OL,JR,6-4,324,"Atlanta, GA",Lakeside
4,Noah Igbinoghene,WR,SO,5-11,196,"Trussville, AL",Hewitt-Trussville
50,Jalil Irvin,OL,FR,6-2,296,"Stone Mountain, GA",Stephenson
92,Alec Jackson,DL,FR,6-5,297,"Montgomery, AL",Jefferson Davis
11,Shedrick Jackson,WR,FR,6-0,204,"Hoover, AL",Hoover
37,Richard Jibunor,BCK,FR,6-3,215,"Delta State, Nigeria","Athens, Ga./Athens Christian"
45,Caleb Johnson,DL,FR,6-2,260,"Columbus, GA",Northside
62,Jaunta'vius Johnson,DL,SR,6-2,326,"Lincoln, AL",Lincoln
29,Harold Joiner,RB,FR,6-4,214,"Birmingham, AL",Mountain Brook
75,Trent Kelley,OL,FR,6-5,298,"Phenix City, AL",Central
54,Kaleb Kim,OL,JR,6-4,300,"Buford, GA",Mill Creek
89,Griffin King,WR,SR,5-10,179,"Atlanta, GA",Marist School
31,Sage Ledbetter,K,SO,6-0,182,"Auburn, AL",Auburn
14,Traivon Leonard,DB,SO,6-0,196,"West Palm Beach, FL",Oxbridge Academy
52,Russ Logan,LB,FR,5-11,183,"Eutaw, AL",Demopolis
56,Tashawn Manning,OL,FR,6-3,323,"Apopka, FL",Wekiva
36,Josh Marsh,LB,FR,6-2,217,"Decatur, AL",Decatur
41,Aidan Marshall,P,SO,5-11,190,"Winchester, VA",Handley
3,Asa Martin,RB,FR,5-11,209,"Courtland, AL",Austin
9,Kam Martin,RB,JR,5-10,193,"Port Arthur, TX",Memorial
51,Richard McBryde,LB,JR,6-1,232,"Troy, AL",Charles Henderson
17,Marquis McClain,WR,SO,6-2,217,"Crestview, FL",Crestview
35,Zakoby McClain,LB,FR,6-0,205,"Valdosta, GA",Valdosta
17,Roger McCreary,DB,FR,6-0,179,"Mobile, AL",Williamson
84,Jackson McFadden,WR,FR,6-1,175,"Nashville, TN",Montgomery Bell Academy
61,Ryan Meneely,OL,SR,6-2,303,"McDonough, GA",Eagle's Landing Christian Acad.
32,Malik Miller,RB,SO,5-11,216,"Huntsville, AL",Madison Academy
8,Coynis Miller Jr.,DL,FR,6-2,305,"Decatur, AL",Jackson-Olin
21,Smoke Monday,DB,FR,6-2,188,"Atlanta, GA",Carver
35,James Owens Moss,WR,SO,5-9,182,"Opelika, AL",Opelika
74,Johnathan Mote,LS,SO,6-2,240,"Birmingham, AL",Spain Park
55,T.D. Moultry,BCK,SO,6-2,245,"Birmingham, AL",Jackson-Olin
39,Robert Muschamp,TE,SR,6-1,240,"Rome, GA",Darlington
18,Jayvaughn Myers,DB,SO,6-1,187,"Dade City, FL",Pasco
63,Peyton Nance,OL,FR,5-11,300,"Attalla, AL",Etowah
44,Daquan Newkirk,DL,SO,6-3,306,"Orlando, FL",The First Academy
99,Spencer Nigh,FB,JR,6-0,269,"Magnolia, TX",Magnolia
87,Pace Ozmint,WR,SO,6-1,184,"Glencoe, AL",Glencoe
15,Jordyn Peters,DB,SO,6-1,191,"Muscle Shoals, AL",Muscle Shoals
29,Erik Piedy,DB,FR,5-10,180,"New Orleans, LA",Archbishop Rummel
67,Jacob Quattlebaum,LS,FR,6-0,238,"Enterprise, AL",Enterprise
40,Jacob Rogers,DB,SO,5-11,207,"Goodwater, AL",Benjamin Russell
95,Dontavius Russell,DL,SR,6-3,320,"Carrollton, GA",Carrollton
83,Malcolm Russell,WR,FR,5-11,184,"Pelham, AL",John Carroll
72,Prince Micheal Sammons,OL,SO,6-7,300,"Blanchester, OH",Cincinnati Hills Christian Academy
24,Cord Sandberg,QB,FR,6-3,215,"Bradenton, FL",Manatee
5,Anthony Schwartz,WR,FR,6-0,180,"Pembroke Pines, FL",American Heritage
43,Ian Shannon,K,SR,6-3,236,"Marietta, GA",Marietta
66,Bailey Sharp,OL,JR,6-5,307,"Marietta, GA",Sprayberry
47,John Samuel Shenker,TE,FR,6-3,248,"Albany, GA",Colquitt County
32,Sam Sherrod,DB,SO,5-11,199,"Birmingham, AL",Briarwood Christian
