No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Will Adams,S,FR,6-0,190,"Cincinnati, OH",Mason
10,Christian Angulo,CB,JR,6-2,190,"Tampa, FL",East Bay
57,Cory Armstrong,LS,SO,6-0,240,"Sagamore Hills, OH",Walsh Jesuit
33,Blake Bacevich,DT,FR,6-4,242,"Cincinnati, OH",St. Xavier
74,Blake Bammann,LS,FR,6-2,233,"Lexington, OH",Lexington
68,Doug Bates,OL,SO,6-4,270,"Cincinnati, OH",Moeller
45,Tinashe Bere,LB,SR,6-1,235,"Cincinnati, OH",Sycamore/Duke
34,Kyle Bolden,LB,FR,6-0,218,"Cincinnati, OH",Colerain
15,Taylor Boose,RB,JR,6-1,220,"Clifton, VA",Centreville
70,Dino Boyd,OL,SR,6-4,300,"Newark, NJ",West Side/Rhode Island
92,Curtis Brooks,DT,SO,6-2,290,"Danville, VA",George Washington
96,Cortez Broughton,DT,SR,6-2,290,"Warner Robins, GA",Veterans
94,Chase Brown,DT,FR,6-1,225,"Chardon, OH",NDCL
99,Marcus Brown,DT,SO,6-2,297,"Naples, FL",Lely
6,Ben Bryant,QB,FR,6-3,210,"La Grange, IL",Lyons Township
7,Coby Bryant,CB,SO,6-1,190,"Akron, OH",Glenville
9,Arquon Bush,CB,FR,6-0,180,"Euclid, OH",Euclid
60,Zach Bycznski,OL,SO,6-4,304,"Berea, OH",Berea-Midpark
72,Garrett Campbell,OL,SR,6-5,315,"Cincinnati, OH",St. Xavier
4,Malik Clements,LB,SR,6-0,210,"Danville, VA",George Washington
13,Trent Cloud,WR,FR,6-0,191,"Cleveland, OH",Bedford
74,Jeremy Cooper,OL,FR,6-4,315,"Chicago, IL",Mount Carmel
44,Marquise Copeland,DT,SR,6-2,287,"Cleveland, OH",Bedford
83,Josiah Deguara,TE,JR,6-3,242,"Folsom, CA",Folsom
23,Gerrid Doaks,RB,SO,6-0,227,"Indianapolis, IN",Lawrence Central
41,Joel Dublanko,LB,SO,6-3,232,"Aberdeen, WA",IMG Academy
75,Chris Ferguson,OL,SR,6-5,303,"Nassau, Bahamas",Lake Nona
84,Wyatt Fischer,WR,FR,6-0,205,"Mount Orab, OH",Western Brown
51,Kimoni Fitz,DE,SR,6-3,257,"Ringgold, VA",Dan River
5,Darrick Forrest,S,SO,6-0,198,"Columbus, OH",Walnut Ridge
62,Mason Garrison,OL,JR,6-4,301,"Cincinnati, OH",Oak Hills
85,Thomas Geddis,WR,JR,6-2,185,"Pompano Beach, FL",Blanche Ely
2,Tyrell Gilbert,CB,SR,6-0,190,"Cincinnati, OH",Princeton
24,Noah Hamlin,CB,FR,5-11,177,"Clairton, PA",Clairton
58,Darius Harper,OL,SO,6-7,325,"Springfield, OH",Springfield/Miami (OH)
18,Meechi Harris,WR,FR,6-0,194,"Xenia, OH",Xenia
79,Drew Hartmann,OL,FR,6-0,280,"Noblesville, IN",Noblesville
7,Javan Hawes,WR,SO,6-0,192,"Atlanta, GA",Sandy Creek
55,Alex Heil,OL,JR,6-2,277,"Wickliffe, OH",Benedictine/Air Force
3,Ja'von Hicks,S,FR,6-2,197,"Cincinnati, OH",Colerain
86,Angelo Howze,DE,FR,6-1,242,"Fishers, IN",Fishers
82,Wilson Huber,TE,FR,6-5,243,"Indianapolis, IN",Franklin Central
21,Jayshon Jackson,WR,FR,5-10,165,"Chicago, IL",Simeon
78,Morgan James,OL,JR,6-5,313,"Highland, MI",Lakeland
14,Cam Jefferies,CB,JR,5-10,188,"Painesville, OH",Riverside/Bowling Green
