No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
4,Rashad Ajayi,CB,FR,5-10,175,"Fairburn, GA",Langston Hughes HS
19,V.J. Banks,CB,SR,6-0,200,"Bryan, TX",Travis Bryan HS/Rice
73,Tyler Bjorklünd,OL,SR,6-4,300,"Santa Clarita, CA",Valencia HS/College of the Canyons
76,"John Blasco, Jr.",OL,FR,6-7,324,"Tacoma, WA",Stadium HS
28,Rashaad Boddie,RB,SO,6-1,225,"Sammamish, WA",Skyline HS
91,Jan-Phillip Bombek,DL,JR,6-3,255,"Hamburg, Germany",Hamburg HS/Feather River College
27,Ryan Braithwaite,CB,FR,6-1,185,"Ashburn, VA",Broad Run HS
8,Quinn Brinnon,S,FR,6-0,185,"Pleasanton, CA",Bishop O'Dowd HS
64,Scott Brooks,OL,SO,6-3,296,"Moorpark, CA",Moorpark HS
96,Wyatt Bryan,K,SR,6-1,175,"Larkspur, CO",Douglas County HS
16,Cameron Butler,TE,SO,6-2,238,"Columbia, SC",Ridge View HS
25,Darius Campbell,CB,SO,5-9,170,"Marrero, LA",John Ehret HS
36,Gabe Cardenas,WR,SO,5-10,187,"Centennial, CO",Arapahoe HS
1,K.J. Carta-Samuels,QB,SR,6-2,225,"Saratoga, CA",Bellarmine Prep/Washington
12,Cam'ron Carter,LB,FR,6-1,219,"Tucker, GA",Tucker HS
58,Tanner Clem,LB,FR,6-2,215,"Conifer, CO",J.K. Mullen HS
40,Kyle Crooks,LB,SO,6-1,215,"Castle Rock, CO",Douglas County HS/Nebraska Kearney
17,Christian Cumber,CB,FR,6-0,180,"Denver, CO",J.K. Mullen HS
93,Damion Daley,DL,FR,6-3,310,"Columbia, SC",Ridge View HS
83,Braxton Davis,K,SR,6-0,170,"Fort Collins, CO",Poudre HS
67,Joe DeLine,K,SO,6-0,200,"Steamboat Springs, CO",Steamboat Springs HS
54,Brandon Derrow,DE,FR,6-3,243,"Columbus, OH",St. Francis De Sales HS
99,Damion Dickens,DE,JR,6-2,265,"Lexington, MS",Holmes County HS/Copiah-Lincoln Community College
89,Chandler Drachslin,WR,JR,6-3,195,"Riverside, CA",Riverside Polytechnic
13,Judd Erickson,QB,FR,6-5,219,"Highlands Ranch, CO",Mountain Vista HS
66,Kieran Firment,OL,FR,6-4,315,"Oakdale, PA",West Allegheny HS
11,Jordan Fogal,S,SR,5-10,195,"San Leandro, CA",Arroyo HS/Utah
90,Jamori Fox,DL,JR,6-1,320,"Marietta, GA",Cherokee HS/Ellsworth CC
10,Tywan Francis,S,FR,5-11,180,"New Orleans, LA",Landry-Walker HS
23,Brenden Fulton,WR,JR,5-10,184,"Greeley, CO",Northridge HS
74,Salofi Gaoa,OL,JR,6-6,317,"Fort Collins, CO",Rocky Mountain HS
34,Anthony Giusti,LB,JR,6-0,220,"Novato, CA",Marin Catholic HS/City College of San Francisco
43,Troy Golden,LB,FR,6-1,213,"Orlando, FL",Olympia HS
47,Anthony Grassi,WR,FR,5-8,187,"Colorado Springs, CO",William J. Palmer HS
30,Jack Grauberger,S,SO,6-1,198,"Fort Collins, CO",Fort Collins
80,Nikko Hall,WR,FR,6-0,180,"Calabasas, CA",Calabasas HS
88,Griffin Hammer,TE,FR,6-4,234,"South Elgin, IL",St. Charles North HS
49,Drue Harris,RB,SO,5-11,220,"Fountain, CO",Fountain-Ft. Carson HS/Army
23,Mikell Harvey,CB,FR,5-8,160,"Slidell, LA",Northshore HS
14,Anthony Hawkins,CB,JR,5-10,192,"Arlington, TX",Bowie HS
35,John Hecker,WR,JR,5-11,193,"Fort Collins, CO",Resurrection Christian HS/Wheaton College
7,Jamal Hicks,S,JR,6-1,200,"Gardena, CA",Narbonne HS
15,Collin Hill,QB,SO,6-5,214,"Moore, SC",Dorman HS
62,Blake Householder,OL,FR,5-11,275,"Missouri City, TX",Dulles HS
98,Ellison Hubbard,DL,SO,6-1,285,"Loganville, GA",Grayson HS
56,Ches Jackson,OL,FR,6-4,290,"Tifton, GA",Tift County HS
5,Dequan Jackson,LB,FR,6-1,215,"Jacksonville, FL",Robert E. Lee HS
9,Warren Jackson,WR,SO,6-6,219,"Mission Hills, CA",Bishop Alemany HS
42,Arjay Jean,DE,JR,6-4,245,"North Miami Beach, FL",St. Thomas Aquinas HS
81,Olabisi Johnson,WR,SR,6-0,203,"Lakewood, CO",Bear Creek HS
33,Emmanuel Jones,DE,SO,6-4,266,"Cartersville, GA",Woodland HS
95,Richard King,DL,JR,6-4,275,"Aurora, CO",Rangeview HS
5,Marvin Kinsey Jr.,RB,JR,6-1,206,"Atlanta, GA",Riverwood HS
78,Ben Knox,OL,SR,6-6,320,"DeLand, FL",DeLand HS/Independence C.C.
65,Luis Lebron,OL,FR,6-4,335,"Jacksonville, FL",Sandalwood HS
31,Ryan Lynch,WR,FR,6-1,175,"Louisville, CO",Legacy HS
6,Malcolm Magee,CB,FR,6-0,185,"Collins, MS",Ocean Springs HS
26,Kavapele Maka,S,SR,6-1,185,"San Mateo, CA",Serra HS/College of San Mateo
24,Izzy Matthews,RB,SR,6-0,210,"Redding, CA",Enterprise HS
97,Toby McBride,DL,JR,6-3,265,"Fort Morgan, CO",Fort Morgan HS
85,Trey McBride,TE,FR,6-3,245,"Fort Morgan, CO",Fort Morgan HS
60,Florian McCann,OL,FR,6-3,283,"Denver, CO",Mullen HS
2,Justice McCoy,QB,FR,6-1,198,"New Orleans, LA",Saint Augustine HS
44,Max McDonald,LB,JR,6-1,225,"Fort Collins, CO",Rocky Mountain HS
32,Marcus McElroy,RB,SO,5-11,218,"Denver, CO",J.K. Mullen HS
51,Colby Meeks,OL,SR,6-3,310,"Orlando, FL",Dr. Phillips HS
51,Patrick Moody,LB,SO,6-1,220,"Vero Beach, FL",Vero Beach Senior HS
12,Patrick O'Brien,QB,SO,6-5,244,"San Juan Capistrano, CA",San Juan Hills HS/Nebraska
2,Dajon Owens,CB,SO,6-0,185,"Los Angeles, CA",Gardena HS/Long Beach City College
82,Isiah Pannunzio,TE,SO,6-2,235,"Pueblo, CO",Pueblo South HS
39,Thomas Pannunzio,WR,FR,5-8,160,"Aurora, CO",Pueblo South HS
92,Livingston Paogofie,DL,SO,6-1,269,"Arlington, TX",Bowie HS
94,Devin Phillips,DL,FR,6-1,318,"Monroe, LA",Neville HS
70,Joctavis Phillips,OL,FR,6-4,329,"West Monroe, LA",Neville HS
46,Adam Prentice,FB,SO,6-0,236,"Fresno, CA",Clovis HS
86,Ross Reiter,LS,FR,5-10,235,"Phoenix, AZ",Brophy College Prep
56,Rushton Roberts,DL,FR,6-4,220,"Jacksonville, FL",The Bolles School
10,J.C. Robles,QB,JR,6-5,215,"Visalia, CA",El Diamante HS
58,T.J. Roundtree,OL,SR,6-6,332,"Gainesville, FL",P.K. Yonge HS/Louisville
38,Adonis Rufran,CB,FR,5-8,175,"Colorado Springs, CO",William J. Palmer HS
45,Nate Ryken,FB,SR,6-1,235,"Berthoud, CO",Berthoud HS
87,Ryan Sayre,WR,SO,6-2,200,"Castle Rock, CO",Douglas County HS/Chadron State
36,Zach Schlager,LB,FR,6-0,211,"McCook, NE",McCook HS
18,Braylin Scott,DB,JR,6-3,196,"Bakersfield, CA",Liberty HS
3,EJ Scott,WR,FR,6-1,192,"Powder Springs, GA",McEachern HS
31,Maxx Shapiro,TE,SO,6-1,220,"Claremont, CA",Claremont HS
57,Kavesz Sherard,OL,FR,6-4,280,"Anderson, SC",T. L. Hanna HS
53,Caleb Smith,DL,SR,6-3,255,"Inglewood, CA",Santa Monica HS
45,Jacob Stanton,LB,FR,6-1,225,"Thornton, CO",Chaparral HS
37,Logan Stewart,CB,SO,6-1,195,"Loveland, CO",Mountain View HS/Iowa Central C.C.
41,Ryan Stonehouse,P,SO,5-11,170,"Santa Ana, CA",Mater Dei HS
49,Brandon Summer,P,SR,6-0,215,"Pueblo, CO",Pueblo West HS/Santa Monica CC
13,Trey Sutton,LB,SO,6-0,230,"Miami, FL",Westminster Christian HS
50,Corte Tapia,LB,FR,6-2,235,"Windsor, CO",Windsor HS
71,Jeff Taylor,OL,JR,6-1,305,"Jonesboro, GA",Jonesboro HS
90,Jonathan Terry,K,FR,6-1,175,"Castle Rock, CO",Castle View HS
52,Tre Thomas,LB,SR,6-2,223,"Denver, CO",Overland HS
20,A'Jon Vivens,WR,FR,5-11,190,"Denver, CO",Mullen HS
97,Huck Vollmar,LS,FR,6-3,200,"Colorado Springs, CO",Air Academy HS
