No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Peace Addo,OT,FR,6-6,310,"Silver Spring, MD",St. Frances Academy
69,Zach Baker,OG,JR,6-4,295,"Green Cove Springs, FL",Clay
89,Mark Birmingham,TE,SO,6-4,245,"Ashburn, VA",Briar Woods
31,Josh Blackwell,CB,FR,5-11,175,"Buford, GA",Buford
19,Jake Bobo,WR,FR,6-4,190,"Belmont, MA",Belmont Hill
11,Scott Bracey,WR,SO,6-2,210,"Richmond, VA",Benedictine
22,Brittain Brown,RB,SO,6-1,205,"Canton, GA",Cherokee
56,Elijiah Brown,DT,FR,6-4,305,"Charlotte, NC",Providence Day
68,Clark Bulleit,C,SR,6-3,285,"Tampa, FL",Jesuit
52,Cole Carteaux,LB,FR,6-2,200,"Brentwood, TN",Ravenwood
45,Griffin Carter,RB,SR,5-11,190,"San Marino, CA",Polytechnic
26,Michael Carter II,S,SO,5-10,180,"Douglasville, GA",South Paulding
92,Edgar Cerenord,DT,SR,6-1,305,"Miami, FL",American Heritage
67,Rakavius Chambers,OG,SO,6-3,310,"Opelika, AL",Opelika
36,Matthew Cone,K,SO,6-1,200,"Louisville, TN",Maryville
36,Elijah Deveaux,RB,SO,6-0,215,"Waxhaw, NC",Charlotte Christian
51,Victor Dimukeje,DE,SO,6-2,265,"Baltimore, MD",Boys' Latin School
38,Jack Driggers,K,SO,5-11,170,"Tallahassee, FL",Leon
26,Troy Duncan,WR,SO,6-2,190,"Stamford, CT",Stamford
21,Mataeo Durant,RB,FR,6-1,190,"McCormick, SC",McCormick
83,Zamari Ellis,TE,FR,6-4,245,"Henderson, NC",Southern Vance
30,Brandon Feamster,S,JR,6-3,205,"Exton, PA",Cheshire Academy [Conn.]
93,Ben Frye,DT,FR,6-3,260,"Dublin, OH",Dublin Coffman
86,DJ Fullard,WR,FR,5-11,165,"Florence, SC",Wilson
7,Keyston Fuller,WR,JR,6-0,185,"Griffin, GA",Griffin
41,Xander Gagnon,LB,SO,6-3,230,"Charlotte, NC",Charlotte Catholic
24,Jarett Garner,WR,FR,6-3,190,"Harrisburg, NC",Hickory Ridge
54,Kevin Gehsmann,LB,SR,6-0,230,"Greensboro, NC",Western Guilford
28,Mark Gilbert,CB,JR,6-1,175,"Fayetteville, NC",Terry Sanford
44,Joe Giles-Harris,LB,JR,6-2,240,"Nyack, NY",St. Joseph Regional [N.J.]
87,Noah Gray,TE,SO,6-4,240,"Leominster, MA",Leominster Senior
46,Joe Hardison,WR,FR,5-10,165,"Darien, CT",Taft School
63,Zach Harmon,C,SR,6-3,290,"Toledo, OH",Central Catholic
70,Christian Harris,OT,SR,6-6,310,"Suwanee, GA",Collins Hill
18,Quentin Harris,QB,JR,6-1,195,"Wilton, CT",Taft School
13,Jordan Hayes,S,JR,6-0,185,"Loganville, GA",Grayson
80,Daniel Helm,TE,SR,6-4,255,"Chatham, IL",Glenwood
42,Shaka Heyward,LB,FR,6-4,230,"Hoschton, GA",Mill Creek
32,Brandon Hill,LB,SO,6-3,225,"Orangeburg, SC",Heathwood Hall Episcopal
78,Casey Holman,OG,FR,6-4,295,"Snellville, GA",Brookwood
12,Gunnar Holmberg,QB,FR,6-3,190,"Wake Forest, NC",Heritage
59,Tre Hornbuckle,DE,JR,6-4,260,"Murray, KY",Murray
37,Jackson Hubbard,P,SO,6-3,190,"Dallas, TX",Highland Park
20,Marvin Hubbard III,RB,FR,5-9,185,"Tyrone, GA",Sandy Creek
4,Myles Hudzick,CB,SO,5-10,170,"Reston, VA",Bishop O'Connell
34,Ben Humphreys,LB,SR,6-2,225,"Newport Beach, CA",Mater Dei
25,Deon Jackson,RB,SO,6-0,220,"Atlanta, GA",Pace Academy
2,Javon Jackson,S,SO,5-11,195,"Tyrone, GA",Sandy Creek
23,James Jackson IV,RB,FR,5-11,210,"Cutler Bay, FL",Gulliver Prep
33,Leonard Johnson,S,FR,6-1,200,"Hayden, AL",Hayden
17,Daniel Jones,QB,JR,6-5,220,"Charlotte, NC",Charlotte Latin
53,Scott Jones,DT,JR,6-3,230,"Newport News, VA",Hampton Roads Academy
86,Drew Jordan,DE,SO,6-2,260,"Suwanee, GA",North Gwinnett
2,Daniel Karlin,QB,SO,6-3,220,"Providence, RI",Classical
15,Chris Katrenick,QB,FR,6-3,215,"Algonquin, IL",Harry D. Jacobs
81,Davis Koppenhaver,TE,SR,6-4,240,"Valencia, CA",Hart
77,Robert Kraeling,OT,SO,6-7,310,"Bishop, GA",Prince Avenue Christian
84,Trevon Lee,WR,SR,6-1,180,"Plantation, FL",Cardinal Gibbons
60,Patrick Leitten,OT,FR,6-7,265,"Brentwood, TN",Ravenwood
39,Jeremiah Lewis,CB,FR,6-0,180,"Plano, TX",Prestonwood Christian
5,Johnathan Lloyd,WR,SR,6-0,190,"Graham, NC",Southern Alamance
90,Terrell Lucas,DE,JR,6-3,255,"Hollywood, FL",Miramar
88,Jake Marwede,TE,FR,6-5,240,"Wilmette, IL",Loyola Academy
9,Jeremy McDuffie,S,SR,5-11,175,"Snellville, GA",Shiloh
71,Maurice McIntyre,OL,FR,6-2,320,"Jacksonville, NC",Northside
95,Trevon McSwain,DT,JR,6-6,300,"Suwanee, GA",Lambert
66,Jaylen Miller,OT,SO,6-3,310,"Jacksonville, FL",Providence
40,Jacob Morgenstern,LB,SO,6-4,210,"Lagrange, NY",St. Luke's School [Conn.]
94,Twazanga Mugala,DT,JR,6-3,250,"Charlotte, NC",Ardrey Kell
27,Damani Neal,S,FR,5-10,195,"Sterling, VA",The Bullis School [Md.]
4,Robert Nelson,QB,FR,6-2,195,"Los Gatos, CA",Los Gatos
1,Axel Nyembwe,DT,SO,6-2,310,"Bethesda, MD",The Avalon School
98,Chidi Okonya,DE,SO,6-6,245,"Riverdale, GA",Riverdale
45,Austin Parker,K,JR,6-1,185,"Mount Pleasant, NC",Mount Pleasant
85,Damond Philyaw-Johnson,WR,FR,6-1,170,"Pensacola, FL",West Florida Tech
6,Nicodem Pierre,RB,SR,6-2,220,"Miami, FL",Coral Reef
49,Koby Quansah,LB,JR,6-1,230,"Manchester, CT",Kingswood Oxford
3,T.J. Rahming,WR,SR,5-10,170,"Powder Springs, GA",McEachern
48,AJ Reed,K,SO,5-11,180,"Prattville, AL",Prattville
53,Tahj Rice,DT,FR,6-2,320,"Louisville, KY",Waggener
79,Jacob Rimmer,OG,FR,6-7,295,"Milan, TN",Milan
62,Lee Rodio,LS,JR,5-10,205,"Durham, NC",Northern
96,Chris Rumph II,DE,FR,6-3,225,"Gainesville, FL",Buchholz
65,Julian Santos,OG,JR,6-3,310,"East Lake, FL",East Lake
43,Rocky Shelton II,LB,FR,6-0,210,"Fort Lauderdale, FL",St. Thomas Aquinas
16,Dylan Singleton,S,JR,5-11,190,"Dacula, GA",Archer
11,Tim Skapek,K,JR,5-8,180,"Dallas, TX",St. Mark's School of Texas
14,Dennis Smith,WR,FR,6-2,185,"Gaffney, SC",Gaffney
75,Liam Smith,OT,SO,6-4,270,"Little Silver, NJ",Red Bank Catholic
54,Derrick Tangelo,DT,SO,6-2,310,"Potomac, MD",The Bullis School
82,Chris Taylor,WR,SR,6-1,185,"Miramar, FL",University
57,John Taylor,LS,SO,6-2,205,"Snellville, GA",Grayson
55,Will Taylor,C,FR,6-3,270,"Snellville, GA",Grayson
29,Nate Thompson,S,FR,6-3,190,"Sanford, NC",Southern Lee
61,Zach Thomson,OL,FR,6-5,255,"Greenwood Village, CO",Choate Rosemary [Conn.]
37,Ken Torain,CB,FR,6-2,190,"Tampa, FL",Jesuit
60,Noah Waddell,DE,JR,6-3,245,"Medina, OH",St. Edward
94,Collin Wareham,K,SR,5-9,180,"McLean, VA","St. Albans [Washington, D.C.]"
10,Marquis Waters,S,SO,6-0,205,"Delray Beach, FL",Atlantic
64,Tristan Westover,OG,SO,6-2,290,"Concord, NC",Cabarrus
35,Antone Williams,CB,SO,5-11,180,"Atlanta, GA",Woodward Academy
12,Mason Williams,CB,JR,5-11,180,"Pasadena, CA",St. Francis
50,Jack Wohlabaugh,C,SO,6-4,300,"Akron, OH",Walsh Jesuit
47,Ryan Wolitzer,RB,JR,5-9,180,"Purchase, NY",Rye Country Day
46,Aaron Wright,TE,SO,6-6,220,"Glen Allen, VA",Deep Run
58,Ben Wyatt,LS,SO,6-1,240,"Davidson, NC",Cannon School
8,Aaron Young,WR,JR,6-2,205,"Murrieta, CA",Murrieta Valley
