No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
96,Derek Adams,P,JR,6-0,197,"Manheim, PA",Manheim Central
69,Sam Allan,OL,FR,6-2,276,"Portage, MI",-
6,Matt Bahr,LB,SR,6-1,210,"Kenton, OH",Kenton
15,Woody Barrett,QB,SO,6-2,236,"Orlando, FL",Copiah-Lincoln C.C.
93,Matt Bell,DL,SO,5-11,240,"Lawrenceville, GA",Peachtree Ridge
29,Capone Blue,CB,FR,6-3,170,"Murrieta, CA",Murrieta Mesa
43,Tyler Britton,DE,SO,6-3,217,"Reynoldsburg, OH",Davenport
14,John Henry Bronczek,S,JR,5-7,189,"Massillon, OH",Massillon Washington
88,Conor Brumfield,TE,JR,6-3,240,"Acworth, GA",Allatoona
59,Will Burns,DL,FR,6-3,258,"Erie, PA",Cathedral Prep
26,Richie Carpenter Jr.,DB,JR,5-10,185,"Dayton, OH",Urbana
87,Mike Carrigan,WR,JR,5-9,168,"Tallahassee, FL",Godby
70,Jack Clement,OL,FR,6-3,300,"Springfield, IL",University of South Dakota
78,Zach Corrigall,OL,SO,6-3,280,"Akron, OH",St. Vincent-St. Mary
14,Dustin Crum,QB,SO,6-3,201,"Grafton, OH",Midview
39,Miles Daniel,CB,SO,5-9,166,"Oak Park, MI",Oak Park
60,Dalton DeChristopher,K,FR,5-10,162,"Orlando, FL",Bishop Moore
81,Dominic DiGioia,WR,JR,5-10,165,"Port Orange, FL",Stetson
89,Antwan Dixon,WR,JR,5-8,178,"Fort Myers, FL",South Fort Myers
45,Adam Dulka,TE,SO,5-9,218,"Brecksville, OH",Syracuse
65,Luke Dye,OL,FR,6-1,267,"Massillon, OH",Jackson
58,Theo Eboigbe,DE,SR,6-1,269,"Lithonia, GA",Arabia Mountain
82,D'J Edwards,WR,FR,6-1,190,"West Palm Beach, FL",Purdue
12,Darrick Edwards,RB,JR,5-6,180,"Frederick, MD",Linganore
25,Craig Elmore,RB,FR,5-9,227,"Chicago, IL",Phillips
1,Nick Faulkner,LB,JR,6-1,231,"Canton, OH",McKinley
42,Jordan Felice,DE,FR,6-4,235,"Parma, OH",Notre Dame College
34,Kesean Gamble,LB,SO,6-1,252,"Cincinnati, OH",Cincinnati Hills Christian Academy
64,Bryce Gibbs,OL,JR,6-3,284,"Wellington, OH",Wellington
17,Marquez Glover,QB,FR,6-1,175,"Ocala, FL",Vanguard
75,Adam Gregoire,OL,JR,6-6,313,"Canton, OH",Massillon Perry
44,Matt Harmon,LB,FR,6-5,222,"Rockwood, MI",Oscar Carlson
20,Trey Harrell,WR,JR,6-0,188,"Metaire, LA",Metaire Park Country Day
32,Dalton Hicks,LB,JR,5-11,219,"Delphos, OH",Delphos Jefferson
98,Dominic Hill,NT,JR,6-0,277,"Fort Worth, TX",Boswell
8,Elvis Hines,S,SO,5-10,172,"Camden, NJ",IMG Academy
53,Alex Hoag,DE,JR,6-3,250,"Venice, FL",Venice
24,Raekwon James,RB,SR,5-9,177,"New Orleans, LA",John Curtis
12,Raymond James,WR,SO,5-11,171,"Dayton, OH",Wayne
77,Daniel Johnson,OL,FR,6-5,265,"London, Canada",Catholic Central
41,Rodley Jolicoeur,S,FR,5-8,185,"Delray Beach, FL",Village Academy
22,Jim Jones,LB,SR,6-1,220,"Tallahassee, FL",Godby
28,Mandela Lawrence-Burke,LB,JR,6-0,185,"Steubenville, OH",Steubenville
46,Mitch Lengyel,TE,SO,6-4,225,"Cleveland, OH",Benedictine
57,William Luckey,LB,FR,6-2,253,"Oxon Hill, MD",Potomac
92,Theo Majette,DL,JR,5-11,238,"West Bloomfield, MI",West Bloomfield
68,Mike Marinelli,OL,JR,6-3,275,"Allison Park, PA",Hampton
30,Darryl Marshall,CB,SR,5-10,162,"Hyattsville, MD",DeMatha Catholic
2,Will Matthews,RB,JR,5-7,201,"Destrehan, LA",Destrehan
90,Colten McFadden,K,FR,6-0,200,"Poland, OH",Poland Seminary
83,Lon'kevious McFadden,WR,FR,6-4,201,"Pahokee, FL",Pahokee
23,Isaiah McKoy,WR,FR,6-3,182,"Norcross, GA",Norcross
25,Juantez McRae,S,SR,5-10,185,"Baltimore, MD",Franklin
21,Montre Miller,CB,FR,5-10,161,"Blythewood, SC",Westwood
67,Nathan Monnin,OL,SO,6-5,270,"Piqua, OH",Piqua
49,Kalil Morris,NT,SR,6-2,322,"Columbus, OH",Bishop Hartley
62,Mike Morris,OL,FR,6-1,282,"Dayton, OH",IMG Academy
19,A.J. Musolino,LB,FR,6-3,215,"Struthers, OH",Struthers
84,Jalil Nelson,WR,FR,5-9,174,"Bowie, MD",Bowie
91,Neiman Novitski,DL,FR,6-2,238,"Gibsonia, PA",Pine-Richland
48,Keenan Orr,WR,FR,6-5,195,"Forest, IN",South Dakota State
