No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
14,Solomon Ajayi,LB,JR,6-1,230,"Frisco, TX",-
43,Benjamin Alexander,S,SO,6-2,175,"Spring Mills, PA",-
38,Aidan Alves,P,FR,6-1,220,"Dillsburg, PA",-
85,Stuart Ashley,K,FR,5-11,185,"Front Royal, VA",-
55,Tolen Avery,DL,SR,6-3,295,"Galveston, TX",-
15,Chris Barrett,TE,SO,6-3,245,"Clearwater, FL",-
98,Logan Beadles,DL,FR,6-3,305,"Piedmont, AL",-
31,Elijah Benton,S,JR,6-1,205,"Forest, VA",-
64,Jacob Bodden,OL,FR,6-5,320,"Hoover, AL",-
30,Michael Bollinger,FB,SO,5-11,230,"Spartanburg, SC",-
59,Damian Bounds,OL,SO,6-1,300,"Ellenwood, GA",-
33,Frank Boyd,RB,FR,5-11,190,"Chesterfield, VA",-
63,Carter Bradley,OL,FR,6-3,270,"Lynchburg, VA",-
17,Kedrick Bradley,LB,SR,5-11,230,"Chattanooga, TN",-
8,Landon Brown,QB,FR,6-1,210,"Tulsa, OK",-
31,Brody Brumm,WR,FR,6-0,195,"Winamac, IN",-
12,Stephen Calvert,QB,JR,6-2,180,"Plantation, FL",-
95,Emmanuel Cater,DL,FR,6-1,275,"Hiram, GA",-
50,Henry Chibueze,OL,FR,6-3,340,"Woodbridge, VA",-
86,Michael Chorowicz,WR,SO,5-11,175,"Kohler, WI",-
17,Khaleb Coleman,WR,FR,6-2,205,"Washington, DC",-
66,Ethan Crawford,OL,JR,6-4,300,"Augusta, GA",-
4,Mason Cunningham,QB,JR,6-0,200,"Shelbyville, TN",-
3,Rion Davis,S,JR,6-0,190,"Hopkins, SC",-
22,Kimani Donaldson,CB,SO,6-0,180,"Jonesboro, GA",-
56,Dontae Duff,OL,JR,6-1,330,"Mesquite, TX",-
35,Tyren Dupree,LB,FR,6-2,205,"Leesburg, AL",-
94,Vincent Elefante,DL,JR,6-4,285,"Upland, CA",-
96,Chris Escamilla,DL,JR,6-2,225,"Stafford, VA",-
46,Ryan Eshleman,TE,FR,6-6,250,"Myerstown, PA",-
6,"Ceneca Espinoza, Jr.",LB,SO,6-1,215,"Arlington, VA",-
82,B.J. Farrow,WR,SR,6-1,190,"Lynchburg, VA",-
8,Jimmy Faulks,CB,JR,6-1,185,"St. Petersburg, FL",-
61,Ben Fiordelise,OL,SR,6-3,325,"Kalona, IA",-
40,Zac Foutz,TE,JR,6-3,250,"Roanoke, VA",-
