No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
9,Zach Abey,WR,SR,6-2,212,"Pasadena, MD",Archbishop Spalding
14,Carlinos Acie,SB,FR,5-9,185,"McKeesport, PA",McKeesport Area
55,Mike Adzima,OG,JR,6-2,282,"Wallington, NJ",Bergen Catholic
69,Adam Amosa-Tagovailoa,OT,SR,6-2,278,"Ewa Beach, HI",James Campbell
55,Will Andersen,DL,FR,6-2,300,"Madison, NJ",Delbarton
62,Lance Angulo,OG,SR,6-2,285,"Holtville, CA",Holtville
90,Pierce Banbury,OL,FR,6-2,305,"Aldie, VA",Oakton
33,Carter Bankston,OLB,JR,6-3,235,"Birmingham, AL",Briarwood Christian
77,Bryan Barrett,C,SR,6-3,330,"Denton, TX",John H. Guyer
47,Griffin Baumoel,LB,SO,6-2,229,"Canton, OH",Canton Central Catholic
91,Nick Bernacchi,OL,FR,6-2,290,"Fairfax, VA",J.W. Robinson
69,Timber Berzins,DL,FR,6-4,253,"Annapolis, MD",St. Mary's
46,Ian Blake,OLB,SO,6-2,215,"Boerne, TX",Louis D. Brandeis
40,Jeremiah Boyd,OLB,FR,6-0,225,"Newport News, VA",Heritage
22,Travis Brannan,SB,JR,6-0,180,"Austin, TX",Vandegrift
20,Kevin Brennan,S,FR,5-11,205,"Westfield, NJ",Don Bosco Prep
15,Peter Brown,WR,FR,6-1,195,"Novato, CA",Marin Catholic
46,Tony Brown,OLB,FR,6-3,210,"Sicklerville, NJ",Timber Creek
24,Mike Cabrera,S,SO,5-10,198,"Downey, CA",Downey
59,Eric Cal,C,JR,6-3,267,"Waxhaw, NC",Providence Day
26,Jamale Carothers,SB,FR,5-9,190,"Bowling Green, KY",Bowing Green
51,Paul Carothers,LB,JR,6-1,228,"Flowery Branch, GA",Greater Atlanta Christian
4,Caleb Clear,DB,FR,6-1,188,"Memphis, TN",Cordova
64,Mattie Conlon,DL,FR,6-2,292,"Bronx, NY",Fordham Prep
88,Mychal Cooper,WR,FR,6-5,220,"San Antonio, TX",Taft
9,Dakare Coston,DB,FR,6-2,192,"Virginia Beach, VA",Oceal Lakes
80,Kody Crider,WR,SO,6-3,226,"Gallatin, TN",Goodpasture Christian
56,Nizaire Cromartie,OLB,JR,6-2,243,"Greensboro, NC",Dudley
6,Emmett Davis,WR,SO,6-1,177,"Arnold, MD",Broadneck
86,OJ Davis,WR,JR,6-2,225,"Shelbyville, TN",Shelbyville Central
65,Nick Dell'Acqua,DL,FR,6-4,280,"Chula Vista, CA",Mater Dei
48,Tory Delmonico,OLB,SR,6-2,226,"Beaver Falls, PA",West Allegheny
48,Sam Dixon,FB,FR,5-9,195,"San Marcos, CA",Mission Hills
37,Cameron Dudeck,SB,SR,5-9,189,"Hamilton Square, NJ",The Hun School
93,Marcus Edwards,DE,JR,6-4,288,"Tucson, AZ",Sabino
62,Buck Elliott,DE,SR,6-4,238,"Richmond, VA",Douglas Freeman
54,Ben Everett,OG,SO,6-4,270,"Johns Creek, GA",Northview
50,Diego Fagot,OLB,FR,6-3,255,"Ft. Lauderdale, FL",Calvary Christian
14,Micah Farrar,CB,SO,6-0,189,"Cincinnati, OH",St. Xavier
96,Ben Fee,K,FR,5-10,220,"Commerce Township, MI",Orchard Lake St. Mary's
23,Myles Fells,SB,SO,5-11,180,"Little Rock, AR",Joe T. Robinson
98,Mike Flowers,DT,SO,6-3,330,"Hermitage, TN",Donelson Christian
11,Evan Fochtman,OLB,SO,6-1,194,"Columbia, MD",Archbishop Spalding
68,David Forney,OG,JR,6-3,297,"Walkersville, MD",Georgetown Prep
92,Luca Fratianne,OL,FR,6-2,275,"Simi Valley, CA",Newbury Park
38,Anthony Gargiulo,FB,SR,6-2,239,"Freehold, NJ",Colts Neck
67,Chris Gesell,OG,SR,6-4,288,"San Diego, CA",St. Augustine
49,Kyle Gibbs,LS,SO,6-2,212,"Corona, CA",Norco
18,John Gillis,CB,SR,5-11,187,"Lawrenceville, GA",Archer
1,Ben Glass,QB,FR,6-0,195,"Memphis, TN",St. George's
83,Marcell Gleaton,WR,FR,6-3,216,"Ellenwood, GA",Community Christian
28,Jamal Glenn,DB,FR,5-11,175,"Laurel, MD",Maret School (DC)
63,Joe Goff,OT,JR,6-5,284,"Framingham, MA","Episcopal (Alexandria, Va.)"
2,Tyger Goslin,QB,FR,5-11,195,"Moorpark, CA",Moorpark
88,Jacob Gregory,OLB,SO,6-3,229,"Suwanee, GA",Centennial
16,Jeremy Griffis,CB,JR,5-9,178,"Burlington, NC",Southern Durham
13,Juan Hailey,S,SR,6-1,199,"Louisville, KY",Louisville Central
32,Bryan Hammond,FB,SR,5-10,205,"The Colony, TX",The Colony
42,Sion Harrington,LB,JR,6-3,223,"Mooresville, NC",South Iredell
