No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
90,Erin Austin,DL,JR,6-2,269,"Vallejo, CA",Laney College/Heritage HS
53,Cody Baker,DL,SR,6-3,293,"Issaquah, WA",Eastside Catholic HS
10,DaQuan Baker,LB,SR,6-2,250,"Compton, CA",North Dakota/Centennial HS
9,"Stanley Barnwell, Jr.",S,SR,6-2,200,"Opa-locka, FL",Coffeyville CC/Monsignor Pace
75,Erik Beilman,OL,JR,6-4,263,"San Antonio, TX",Brandeis HS
17,Ben Bertram,DL,FR,6-2,226,"Albuquerque, NM",Sandia HS
52,Aaron Blackwell,DL,JR,6-3,288,"Peoria, AZ",Mesa CC/Liberty HS
21,Nico Bolden,S,FR,6-3,207,"Woodbury, MN",Woodbury HS
49,David Brown,LB,SO,6-1,217,"Albuquerque, NM",Eldorado HS
13,Jalin Burrell,CB,SR,6-0,195,"Riverside, CA",Moorpark JC/Patriot HS
27,Brandon Burton,LB,JR,6-0,215,"Los Angeles, CA",UCLA/Junipero Serra HS
9,Bryson Carroll,RB,SO,5-6,185,"San Antonio, TX",Roosevelt HS
60,Colston Chacon,OL,FR,6-3,275,"La Habra, CA",Corona Del Mar HS
34,Bobby Cole,RB,FR,5-9,199,"Chatsworth, CA",Sierra Canyon HS
92,Jermane Conyers,DL,SR,6-3,334,"Rossville, GA",Dodge City CC/Ridgeland HS
56,Austin Cook,OL,JR,6-5,295,"Fort Scott, KS",Butler CC/Fort Scott HS
28,Ahmari Davis,RB,JR,5-10,182,"Oakland, CA",Laney College/James Logan HS
84,Brayden Dickey,TE,SR,6-5,245,"North Vancouver, Canada",Washington/Chaminade Prep
8,Q' Drennan,WR,JR,6-2,194,"El Paso, TX",Americas HS
96,Tyson Dyer,P,SO,6-2,198,"Queensland, Australia",Palomar College/Palm Beach Currumbin State HS
34,Jared EnRico,DS,SO,6-1,195,"La Mirada, CA",La Mirada HS
11,Rhashaun Epting,LB,SO,6-2,218,"Chicago, IL",Proviso West HS
82,Andrew Erickson,WR,FR,6-2,185,"Albuquerque, NM",Manzano HS
79,Chris Estrella,OL,JR,6-4,294,"San Jacinto, CA",Mt. San Jacino JC/San Jacinto HS
25,Blake Fehrmann,LB,FR,6-3,221,"Brookfield, WI",Brookfield HS
29,Jordan Flack,LB,SR,6-3,215,"Newbury Park, CA",Moorpark JC/Newbury Park HS
93,Nahje Flowers,DL,SO,6-3,278,"Los Angeles, CA",Dorsey HS
