No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
93,Erik Abrell,LS,FR,6-1,220,"Aurora, IL",Aurora Christian/Western Illinois
83,Rod Alexander,WR,SR,6-0,175,"Miramar, FL",Everglades/St. Francis (Pa.)
13,Joe Bonds,OLB,FR,6-2,217,"Chicago, IL",De La Salle Institute
37,Brett Bostad,FB,FR,6-0,241,"Kennedale, TX",Kennedale
89,Mitchell Brinkman,TE,JR,6-3,250,"Council Bluffs, IA",Lewis Central
10,D.J. Brown,WR,SR,5-9,185,"North Little Rock, AR",North Little Rock
1,Dale Brown,TE,SR,6-3,300,"Lee's Summit, MO",Lee's Summit West
40,Drequan Brown,DE,SR,6-2,230,"Chicago, IL",Bremen/Independence (Kans.) CC
16,Amir Brummett,WR,FR,6-1,189,"Decatur, IL",MacArthur
29,Adam Buirge,S,JR,6-0,207,"Minneapolis, MN",Park Center
15,Marcus Childers,QB,SO,6-0,222,"Adairsville, GA",Adairsville
45,Jordan Cole,LB,FR,6-2,213,"Ferguson, MO",McCluer South-Berkeley
12,Josh Corcoran,DE,SR,6-3,251,"Lakeville, MN",Lakeville South
38,Jaquis Covington,S,JR,5-9,161,"Plainfield, IL",Plainfield North
70,Marques Cox,OL,FR,6-5,300,"Peoria, IL",Peoria
88,Daniel Crawford,TE,JR,6-2,245,"Macomb, MI",Dakota
74,Calvin Dassow,OL,FR,6-7,313,"Menominee Falls, WI",Sussex Hamilton
80,Mike DeHaan,TE,FR,6-5,232,"Tinley Park, IL",Andrew
95,Jawon Denton,DE,FR,6-2,204,"Chicago, IL",Morgan Park
37,Lance Deveaux Jr.,LB,JR,5-11,211,"Pompano Beach, FL",St. Thomas Aquinas
35,Erick Doke,TB,FR,6-1,227,"Kenosha, WI",Bradford
39,Joshua Earl,S,FR,6-1,227,"Naperville, IL",Neuqua Valley
3,Jalen Embry,CB,SR,5-11,197,"Detroit, MI",Martin Luther King Jr./Iowa Central
36,Matt Ference,P,SO,5-11,198,"St. Louis, MO",Lafayette
11,Trayshon Foster,S,JR,6-0,201,"Tuscaloosa, AL",Tuscaloosa Academy
2,Andrew Gantz,K,SR,5-10,178,"Dayton, OH",Centerville/Cincinnati
46,Rayshawn Gay,LB,FR,6-1,219,"Maywood, IL",Proviso East
85,Ryan Gibbons,WR,SO,5-11,187,"Park Ridge, IL",Maine South
11,Ryan Graham,QB,SR,6-1,214,"Wheaton, IL",Wheaton-Warrenville South
42,Andrew Gregory,LB,SO,6-1,226,"Normal, IL",Normal Community
91,Jeffrey Griffin Jr.,DL,FR,6-0,263,"Homewood, IL",Homewood-Flossmoor
63,Ezekiel Gueths,OL,SO,6-5,312,"Shawano, WI",Shawano Community
23,Justin Hall,DB,FR,5-9,183,"Homewood, IL",Homewood-Flossmoor
