No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
58,Joshua Alabi,OL,JR,6-5,305,"Detroit, MI",Cass Tech
3,Damon Arnette,CB,JR,6-0,195,"Fort Lauderdale, FL",St. Thomas Aquinas
17,Kamryn Babb,WR,FR,6-0,200,"St. Louis, MO",Christian Brothers College
28,Alex Badine,CB,JR,5-11,186,"Brooklyn, NY",Monroe College
12,Matthew Baldwin,QB,FR,6-3,205,"Austin, TX",Lake Travis
12,Sevyn Banks,CB,FR,6-0,195,"Orlando, FL",Jones
55,Malik Barrow,DT,SO,6-2,280,"Tampa, FL",Catholic & IMG Academy
43,Ryan Batsch,S,FR,6-3,205,"Cincinnati, OH",Loveland
13,Rashod Berry,TE,JR,6-4,259,"Lorain, OH",Lorain
52,Dante Booker,LB,SR,6-3,235,"Akron, OH",St. Vincent-St. Mary
32,Tuf Borland,LB,SO,6-1,230,"Bolingbrook, IL",Bolingbrook
97,Nick Bosa,DE,JR,6-4,263,"Fort Lauderdale, FL",St. Thomas Aquinas
76,Branden Bowen,OL,JR,6-7,312,"Draper, UT",Corner Canyon
50,Nathan Brock,OL,JR,6-4,288,"Powell, OH",Olentangy Liberty
26,Cameron Brown,CB,FR,6-0,185,"St. Louis, MO",Christian Brothers College
5,Baron Browning,LB,SO,6-3,240,"Fort Worth, TX",Kennedale
98,Jerron Cage,DT,FR,6-2,290,"Cincinnati, OH",Winton Woods
21,Parris Campbell,WR,SR,6-1,208,"Akron, OH",St. Vincent-St. Mary
57,Jack Cappabianca,LB,FR,6-2,225,"Berlin Center, OH",Western Reserve
91,Drue Chrisman,P,SO,6-3,215,"Cincinnati, OH",Cincinnati LaSalle H.S.
4,Chris Chugunov,QB,JR,6-1,203,"Skillman, NJ",West Virginia
18,Jonathon Cooper,DE,JR,6-4,257,"Gahanna, OH",Lincoln
43,Robert Cope,RB,FR,5-11,195,"Dublin, OH",Jerome
9,Jashon Cornell,DE,JR,6-3,273,"St. Paul, MN",Cretin-Derham Hall
56,Aaron Cox,DL,SO,6-3,255,"Mantua, OH",Crestwood
61,Gavin Cupp,OL,SO,6-4,308,"Leipsic, OH",Leipsic H.S.
16,Kory Curtis,QB,SO,6-3,228,"Cape Coral, FL",Island Coast
84,Brock Davin,TE,JR,6-3,235,"Cincinnati, OH",St. Xavier
