No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
48,Bolaji Akinyemi,LB,FR,6-2,215,"Tracy, CA",Tracy
88,Michael Alfieri,WR,FR,6-0,190,"Portland, OR",Jesuit
9,Tino Allen,WR,SO,5-11,205,"Belle Glade, FL",Glades Central
98,Cody Anderson,DE,FR,6-4,258,"Springfield, OR",Thurston
99,Elu Aydon,DT,JR,6-3,378,"Leone, American Samoa",Leone HS
20,B.J. Baylor,RB,FR,5-11,199,"Wharton, TX",Wharton
31,Braelen Bettles,S,FR,6-1,190,"Happy Valley, OR",Clackamas
52,Bradley Bickler,DE,FR,6-7,254,"Beaverton, OR",Southridge
2,Conor Blount,QB,SO,6-1,204,"Waukesha, WI",Waukesha West HS
86,Andre Bodden,WR,JR,6-0,178,"Carson, CA",Cathedral HS
8,Trevon Bradford,WR,JR,6-0,179,"Oregon City, OR",Oregon City HS
87,Bryce Bramscher,TE,FR,6-5,219,"Medford, OR",St. Mary's
27,Briceton Branch Jr.,CB,FR,6-0,170,"Portland, OR",Jesuit
73,Blake Brandel,OL,JR,6-7,307,"Milwaukie, OR",Central Catholic HS
89,Sebastian Briski,DL,FR,6-3,232,"Pago Pago, American Samoa",Samoana
40,Jaelen Bush,DE,FR,6-7,262,"Lacey, WA",Timberline
35,Kameron Carroll,LB,JR,6-3,219,"Ventura, CA",Buena HS
46,Jordan Choukair,PK,JR,6-1,195,"Poway, CA",Poway HS
65,Onesimus Clarke,OL,FR,6-4,313,"Waianae, HI",Waianae
12,Jack Colletto,QB,SO,6-3,222,"Camas, WA",Camas
78,Clay Cordasco,OL,JR,6-5,309,"Cornish, ME",Kennett
13,TraJon Cotton,S,FR,6-1,187,"Sacramento, CA",Inderkum
77,Jack Courtemanche,OL,FR,6-6,250,"Eugene, OR",Marist
95,Keishon Dawkins,DE,FR,6-5,287,"Wilsonville, OR",West Linn
51,Kammy Delp,OL,SR,6-3,318,"Pomona, CA",Diamond Ranch HS
76,Yanni Demogerontas,OL,SR,6-3,287,"Orland Park, IL",Sandburg HS
82,Job Dockery,WR,SO,5-11,184,"Tacoma, WA",Curtis
23,Isaiah Dunn,CB,SO,6-0,183,"Antioch, CA",Antioch
93,Shawn Elliott,DE,FR,6-2,246,"Lake Oswego, OR",Lake Oswego
72,Miki Fifita,DL,JR,6-4,296,"Wailuku, HI",IMG Academy [FL] HS
37,Keegan Firth,LS,JR,6-4,230,"Corvallis, OR",Crescent Valley HS
16,Champ Flemings,WR,FR,5-5,143,"Pasadena, CA",Cathedral
92,Isaac Garcia,DL,FR,6-4,248,"Bellevue, WA",Bellevue HS
24,Justin Gardner,CB,FR,6-2,169,"Charlotte, NC",Shiloh (Ga).
13,Tristan Gebbia,QB,FR,6-2,195,"Calabasas, CA",Calabasas
26,Jaydon Grant,CB,FR,6-0,174,"West Linn, OR",West Linn HS
29,Jordan Gregory,S,SO,5-10,190,"Katy, TX",Obra D. Tompkins HS
14,Kaleb Hayes,CB,FR,6-1,183,"San Bernadino, CA",San Gorgonio
18,Timmy Hernandez,WR,SR,6-0,198,"Phoenix, AZ",Mountain Pointe HS
10,Omar Hicks-Onu,S,JR,6-1,192,"Carrollton, TX",Hebron HS
