No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
46,Andrew Adams,LB,JR,5-10,221,"Little Rock, AR",Davidson/Central HS
77,Alan Ali,OL,FR,6-4,300,"Fort Worth, TX",Timber Creek
86,Conner Allen,WR,FR,5-8,180,"Dallas, TX",Highland Park
56,Harrison Barton,OL,SO,6-3,300,"Bellaire, TX",Houston Christian
14,Ryan Becker,TE,JR,6-5,245,"Marble Falls, TX",Marble Falls
84,Judah Bell,WR,FR,6-3,215,"Tyler, TX",Bishop T.K. Gorman
7,Brandon Benson,WR,SO,6-1,215,"Waco, TX",La Vega
94,Chris Biggurs,DT,JR,6-2,300,"Coppell, TX",Coppell
13,Jourdan Blake,CB,SR,6-0,190,"Princeton, TX",Baylor/Princeton HS
30,Kyle Blaskovich,LB,FR,6-2,225,"Moorestown, NJ",Moorestown High School
34,Jordan Brooks-Wess,WR,FR,5-8,175,"Grapevine, TX",Grapevine
39,Darren Brown,DT,FR,6-3,305,"Converse, TX",Judson
9,William Brown,QB,FR,6-4,220,"Rosenberg, TX",Lamar Consolidated
52,Gerrit Choate,DE,SO,5-11,230,"Dallas, TX",Utah/Parish Episcopal
8,Rodney Clemons,DB,JR,6-0,200,"Katy, TX",Taylor
97,Turner Coxe,DE,FR,6-2,250,"Dallas, TX",Highland Park
28,Christian Davis,CB,JR,6-0,200,"Waco, TX",Midway
50,Paka Davis,DE,SR,6-0,235,"Kailu-a-Kona, HI",TCU/Kamehameha Hawaii
51,Pono Davis,DT,JR,6-1,300,"Kailu-a-Kona, HI",Tyler JC/Kamehameha Hawai'i
16,Trevor Denbow,LB,SO,6-0,225,"Corsicana, TX",Navarro College/Corsicana
72,Nick Dennis,OL,JR,6-4,315,"Midland, TX",Navarro College/Midland Lee
46,Matt Dorrity,WR,FR,5-8,180,"Coppell, TX",Coppell
92,Shabazz Dotson,DT,FR,6-3,260,"Cedar Hill, TX",Cedar Hill
25,Myles Duke,LB,SO,6-2,245,"Baytown, TX",Goose Creek
41,Preston Ellison,LB,FR,6-2,215,"Odessa, TX",Permian
26,Brent Freeman,S,SR,5-8,185,"Houston, TX",North Central College/Lutheran South Academy
2,Ke'Mon Freeman,RB,JR,5-11,225,"Texarkana, TX",Liberty-Eylau
22,Myron Gailliard,WR,JR,5-11,185,"Mansfield, TX",Mansfield Timberview
10,Demerick Gary,DT,JR,6-3,285,"Dallas, TX",Kimball
65,Jordan Gipson,OL,FR,6-3,285,"Bay City, TX",Bay City
10,Armanii Glaspie,WR,JR,5-10,175,"Mansfield, TX",TCU/Mansfield
83,Kylen Granson,TE,JR,6-3,220,"Austin, TX",Rice/Westlake
12,Derek Green,QB,FR,6-3,200,"Leawood, KS",Rockhurst
43,J.R. Griffin,RB,JR,5-9,215,"Richardson, TX",Air Force Academy/J.J. Pearce
29,Justin Guy-Robinson,CB,SO,5-10,180,"Pearland, TX",Pearland
9,Shaine Hailey,LB,SO,5-11,215,"Dallas, TX",Bishop Dunne
95,Jake Hall,DT,SR,6-5,265,"Springdale, AR",Arkansas/Har-Ber
32,Jack Hansing,K,SO,5-11,200,"Oklahoma City, OK",Heritage Hall
7,"Robert Hayes, Jr.",CB,JR,6-0,190,"Slidell, LA",Coffeyville CC/Salmen
8,Ben Hicks,QB,JR,6-2,220,"Waco, TX",Midway
75,Hayden Howerton,OL,SO,6-3,290,"Katy, TX",Katy
79,Larry Hughes,OL,SR,6-6,310,"Carrollton, TX",Kansas/Creekview
18,William Jeanlys,LB,SR,6-1,215,"Boynton Beach, FL",Pope John Paul II
5,Ar’mani Johnson,CB,FR,5-11,180,"Missouri City, TX",Ridge Point
12,Kevin Johnson,CB,JR,5-10,180,"Waskom, TX",Waskom
15,Treveon Johnson,WR,FR,6-3,190,"Brenham, TX",Brenham
72,Patrick Jones,DT,SO,6-1,285,"Fort Worth, TX",Arlington Heights
5,Xavier Jones,RB,JR,5-11,215,"Spring, TX",Spring
42,Ra-Sun Kazadi,S,FR,5-11,180,"Waco, TX",Jonesboro
36,Terry Keys III,CB,FR,6-0,175,"Dickinson, TX",Dickinson
76,Levon Livingston,OL,JR,6-7,290,"Washington, DC",Navarro College/Ballou
44,Harrison Loveless,DT,FR,6-3,300,"Cypress, TX",Cypress Ranch
34,Brice Madison,S,SO,5-8,190,"Houston, TX",Bellaire Episcopal
16,Christian McAnalley,QB,FR,6-1,187,"Dallas, TX",Highland Park
43,Brady McCanles,S,FR,5-11,190,"Overland Park, KS",Rockhurst
90,Ken McLaurin,DT,SO,6-3,320,"Aubrey, TX",Ryan
6,Elijah McQueen,S,SO,5-10,200,"Terrell, TX",Terrell
11,Jared Miles,WR,FR,6-1,195,"New Orleans, LA",McDonogh 35
93,Kevin Miles,K,SO,6-0,204,"San Anselmo, CA",Sir Francis Drake
11,Kyran Mitchell,LB,SR,6-0,225,"Houston, TX",Lamar
14,Richard Moore,LB,JR,6-0,230,"Cedar Hill, TX",Texas A&M/Cedar Hill
45,Will Moore,K,SO,6-0,180,"Dallas, TX",Highland Park
78,Beau Morris,OL,SO,6-6,300,"Baton Rouge, LA",Blinn College/St. Michael The Archangel
68,Nick Natour,OL,SR,6-5,295,"Frisco, TX",Lone Star
38,Toby Ndukwe,DE,FR,6-2,240,"Richmond, TX",George Ranch
22,Tyeson Neals,DE,JR,6-2,265,"Moore, OK",Northeastern Oklahoma A&M/Moore
2,Patrick Nelson,S,JR,6-1,205,"Chicago, IL",Illinois/Hales Franciscan
91,Terrance Newman,DT,FR,5-11,310,"Duncanville, TX",Duncanville
18,Jacob Oehrlein,QB,FR,6-1,210,"Brenham, TX",Brenham
4,Mikial Onu,S,JR,5-11,205,"Sugarland, TX",George Ranch
4,Tyler Page,WR,SO,5-11,190,"Friendswood, TX",Friendswood
24,Jimmy Phillips Jr.,LB,FR,6-2,220,"Mesquite, TX",Poteet
31,Merek Pierce,RB,JR,5-9,200,"Frisco, TX",Valparaiso/John Paul II
3,James Proche,WR,JR,5-11,190,"Dallas, TX",DeSoto
57,Chad Pursley,OL,SR,6-4,300,"Mansfield, TX",Legacy
82,Corey Rau,TE,SO,6-3,260,"Katy, TX",Cinco Ranch
81,Ben Redding,TE,FR,6-4,225,"Friendswood, TX",Friendswood
32,JC Rispress,LB,FR,5-10,185,"Fort Worth, TX",All Saints Episcopal
21,"Reggie Roberson, Jr.",WR,SO,6-0,195,"DeSoto, TX",West Virginia/Mesquite Horn
3,Delano Robinson,LB,SO,6-0,235,"Denton, TX",Billy Ryan
89,Kevin Robledo,K,JR,6-0,180,"Thousand Oaks, CA",Florida State/LA Pierce/Westlake
20,Collin Rock,S,SO,6-0,200,"Cypress, TX",Cypress Ranch
47,Jamie Sackville,P,JR,5-9,200,"Melbourne, Australia",Caulfield Grammar School
27,Michael Salerno,S,FR,6-0,185,"Encino, CA",Crespi
1,CJ Sanders,WR,SR,5-9,185,"Granada Hills, CA",Notre Dame/Notre Dame HS
35,Delontae Scott,DE,JR,6-5,260,"Irving, TX",Nimitz
99,Warren Scott,P,FR,6-1,165,"Woodberry Forest, VA",Woodberry Forest
53,Michael Sehlinger,LS,JR,6-2,240,"Louisville, KY",Saint Xavier
70,Kadarius Smith,OL,SO,6-3,300,"Plano, TX",Plano
44,James Sowards,WR,FR,6-4,200,"Nacogdoches, TX",Nacogdoches
40,Noah Spears,LB,SO,6-1,240,"Irving, TX",Nimitz
21,Cole Sterns,S,SR,5-11,185,"Tucson, AZ",Northern Arizona/Sahuaro
54,Garrett Stotts,LS,SR,5-11,245,"Lakeway, TX",Lake Travis
1,Eric Sutton,CB,JR,5-10,185,"Cedar Hill, TX",Cedar Hill
88,Hunter Thedford,TE,JR,6-6,260,"Comanche, TX",Comanche
71,Jaylon Thomas,OL,FR,6-4,300,"Lubbock, TX",Coronado
69,Jacob Todora,OL,SO,6-4,300,"Frisco, TX",Wakeland
17,Austin Upshaw,QB,FR,6-1,215,"La Porte, TX",La Porte
49,Cole Voyles,LS,FR,6-0,195,"Houston, TX",Memorial
33,Jordan Ward,LB,JR,6-2,235,"Sugarland, TX",Kempner
46,Jackson Weaver,S,FR,5-11,185,"Columbus, OH",Upper Arlington
74,Braxton Webb,OL,SO,6-4,300,"San Angelo, TX",Central
6,Braeden West,RB,SR,5-11,185,"Katy, TX",Seven Lakes
96,Noah Westerfield,DE,SR,6-4,250,"Frisco, TX",Cal/Wakeland
64,Bryce Wilds,OL,JR,6-6,305,"Freeport, TX",Brazosport
55,Gary Wiley,DE,FR,6-3,225,"Longview, TX",Pine Tree
17,Jordon Williams,LB,JR,6-0,230,"Houston, TX",Jersey Village
33,TaMerik Williams,RB,FR,6-1,205,"Angleton, TX",Angleton
23,Jordan Wyatt,CB,SR,6-0,195,"Wylie, TX",East
