No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
7,Montel Aaron,QB,SO,6-5,199,"Antelope, CA",Antelope HS
31,Ethan Aguayo,LB,JR,6-2,228,"Mission Viejo, CA",JSerra HS
95,Cameron Alexander,DE,SO,6-5,278,"Los Angeles, CA",Mira Costa HS
38,L.J. Anderson,CB,FR,6-0,175,"Oakland, CA",Moreau HS
91,E.J. Ane,DL,FR,6-2,240,"Fort Irwin, CA",Silver Valley HS
93,Sinjun Astani,DE,SO,6-4,248,"Malibu, CA",Loyola HS
4,Antwaun Ayers,WR,FR,6-0,178,"West Covina, CA","Baldwin Park HS, Northview HS"
6,Johnny Balderas,CB,FR,6-1,183,"Shafter, CA","Liberty HS, Shafter HS"
77,Max Barth,OL,FR,6-6,280,"Lodi, CA",St. Mary's HS
11,JaQuan Blackwell,WR,SO,6-0,192,"Perris, CA",Citrus Hill HS
13,Jermaine Braddock,WR,FR,6-1,195,"Covina, CA",Charter Oak HS
9,Bryson Bridges,DT,SR,6-2,266,"Temecula, CA",Chaparral HS
14,"Bobby Brown, II",S,SO,6-0,179,"Lancaster, CA",Paraclete HS
30,Jackson Burrill,LB,SO,6-2,230,"San Jose, CA",Bellarmine Prep
51,Devon Calloway,LB,FR,6-0,220,"Northridge, CA",Oaks Christian HS
14,Michael Carrillo,QB,SR,5-11,190,"Poway, CA",Christian High
62,Jesse Chamberlain,C,FR,6-3,303,"Burbank, CA",Burroughs HS
48,Gurdeep Chopra,TE,FR,6-2,252,"San Jose, CA",Willow Glen HS
72,Jake Colman,OL,SR,6-3,308,"Ventura, CA",Buena HS
22,Thai Cottrell,WR,SR,5-7,181,"Oceanside, CA",Oceanside HS
65,Robert Crandall,OL,FR,6-3,300,"Arroyo Grande, CA",Mission Prep
38,Bryce Crawford,K,SR,6-3,244,"Frisco, TX",Heritage HS
41,Hadari Darden,LB,JR,6-3,213,"Berkeley, CA",Moreau Catholic HS
87,"Derrick Deese, Jr.",TE,JR,6-4,225,"La Palma, CA",Kennedy HS
34,Jalend Dinwiddie,S,FR,5-11,179,"Stockton, CA",Stagg HS
42,Junior Fehoko,LB,FR,6-4,235,"East Palo Alto, CA",Saint Francis HS
85,Brett Foley,LB,JR,6-3,234,"San Jose, CA",Archbishop Mitty HS
66,Dominic Fredrickson,OG,JR,6-4,291,"Pittsburg, CA",Freedom HS
84,Bailey Gaither,WR,JR,6-1,178,"Paso Robles, CA",Paso Robles HS
60,Chris Galleta,OL,FR,6-0,293,"San Diego, CA",Mater Dei Catholic HS
92,Cade Hall,DL,FR,6-2,235,"Moragn Hill, CA",Bellarmine Prep
82,Isaiah Hamilton,WR,FR,5-11,180,"Baldwin Park, CA",Charter Oak HS
94,Jamaar Hardy,DE,FR,6-3,276,"Antioch, CA",Deer Valley HS
45,Kyle Harmon,LB,FR,6-0,225,"Antioch, CA",Freedom HS
33,Michael Harris III,RB,FR,5-8,185,"Visalia, CA",Redwood HS
15,Tre Hartley,WR,SR,6-0,203,"Milpitas, CA",Milpitas HS
1,Chandler Hawkins,S,SR,5-11,207,"Los Angeles, CA",St. John Bosco HS
50,Harrison Hoffman,LS,JR,6-4,232,"Westlake Village, CA",Oaks Christian HS
9,Justin Holmes,WR,SR,6-2,219,"Roseville, CA",Oakmont HS
56,Kyle Hoppe,C,SO,6-1,285,"Temecula, CA",Chaparral HS
41,Steven Houston,WR,FR,6-4,182,"Dublin, CA",Dublin HS
81,Billy Humphreys,TE,SO,6-5,234,"Malibu, CA",Notre Dame HS
26,Andrew Jenkins,DB,FR,5-10,175,"Stockton, CA",St. Mary's HS
25,Tre Jenkins,S,FR,6-1,205,"Stockton, CA",St. Mary's HS
97,Christian Johnson,DE,SO,6-6,289,"Olivehurst, CA",Wheatland HS
33,Jasyhi Johnson,CB,FR,5-7,140,"Los Angeles, CA",Lawndale HS
1,Jeremy Kelly,WR,SR,6-2,199,"Inglewood, CA",Salesian HS
79,Troy Kowalski,OT,JR,6-5,307,"Glendale, AZ",Mountain Ridge HS
16,Chance LaChappelle,QB,FR,6-4,210,"Sacramento, CA",Sheldon HS
4,Sailosi Latu,DT,SR,6-3,327,"American Fork, UT",American Fork HS
27,"Jonathan Lenard, Jr.",S,SO,6-1,209,"Beaumont, TX",Rio Mesa HS
18,Austin Liles,WR,SO,6-3,190,"Anaheim, CA",Orange HS
12,Josh Love,QB,JR,6-2,199,"Mission Viejo, CA",Long Beach Poly HS
48,Brendan Manigo,RB,FR,5-10,190,"San Jose, CA",Bellarmine Prep
67,Korey Mariboho,OL,JR,6-3,287,"Tustin, CA",JSerra HS
53,Alii Matau,LB,SO,6-1,226,"Milpitas, CA",Milpitas HS
39,Matthew Mercurio,PK,FR,6-1,173,"Salinas, CA",Palma HS
32,Brandon Monroe,RB,SR,6-1,237,"Loomis, CA",Del Oro HS
19,Dakari Monroe,CB,SR,5-11,191,"San Jose, CA",Archbishop Mitty HS
78,Deano Motes,NT,JR,6-5,275,"Chandler, AZ",Perry HS
64,Jaime Navarro,OG,FR,6-3,275,"Temecula, CA",Great Oak HS
23,Tyler Nevens,RB,SO,6-0,223,"Hacienda Heights, CA",Los Altos HS
17,Leki Nunn,WR,FR,5-11,180,"San Mateo, CA",Serra HS
89,Josh Oliver,TE,SR,6-5,250,"Paso Robles, CA",Paso Robles HS
37,Isaiah Ossai,LB,FR,5-9,201,"San Jose, CA",Oak Grove HS
71,Tyler Ostrom,OL,FR,6-3,280,"Ventura, CA",Saint Bonaventure HS
11,Jesse Osuna,LB,JR,6-0,225,"Morgan Hill, CA",Live Oak HS
21,DeJon Packer,RB,SR,5-11,213,"San Jose, CA",Gunderson HS
49,Brian Papazian,P,FR,6-1,200,"Chino Hills, CA",Ayala HS
43,Justin Parcells,LB,SO,5-11,220,"Cypress, CA",Servite HS
74,Anthony Pardue,OL,FR,6-5,280,"Murrieta, CA",Murrieta Valley HS
28,Tysyn Parker,LB,SO,6-1,222,"Gardena, CA",Serra HS
88,Jackson Parks,TE,FR,6-3,244,"Agoura Hills, CA",Chaminade HS
49,Michael Pryor,LB,FR,6-3,230,"Pittsburg, CA",Pittsburg HS
44,"Charlie Ramirez, Jr.",S,JR,5-10,195,"Pittsburg, CA",Pittsburg HS
57,Trevor Robbins,OL,SO,6-4,284,"San Jose, CA",Archbishop Mitty HS
20,Malike Roberson,RB,SR,5-8,187,"Harbor City, CA",Serra HS
8,Boogie Roberts,DT,SR,6-2,289,"Los Angeles, CA",Narbonne HS
99,Dimitri Sakalia,DL,FR,6-3,231,"East Palo Alto, CA",Menlo Atherton HS
5,Jamal Scott,LB,SR,6-2,226,"Anaheim, CA",Magnolia HS
23,Nehemiah Shelton,CB,SO,6-2,160,"Gardena, CA",Serra HS
29,Cameron Smith,CB,SO,6-0,179,"Corona, CA",Roosevelt HS
55,Jack Snyder,OT,SO,6-5,288,"Mill Valley, CA",Marin Catholic HS
61,Jacob Songer,OL,FR,6-5,285,"Santa Barbara, CA",Bishop Diego HS
70,Tyler Stevens,OG,FR,6-4,300,"Chandler, AZ",Hamilton HS
54,Demanuel Talauati,DL,FR,6-1,265,"San Diego, CA",Madison HS
90,Je'Von Taylor,DE,FR,6-1,231,"Colton, CA",Grand Terrace HS
40,Isaak Togia,LB,FR,6-1,200,"Garden Grove, CA",Pacifica HS
