No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
30,Logan Ammons,RB,FR,5-8,180,"New Baunfels, TX",Canyon HS
89,Kendall Ardoin,TE,SR,6-5,245,"Ville Platte, LA",Ville Platte
1,Jonathan Banks,QB,SR,6-2,230,"Houston, TX",Nimitz
33,Tirise Barge,S,SO,5-11,190,"Moultrie, GA",Colquitt County HS
34,Jared Bertrand,RB,SR,5-5,180,"Covington, LA",Archbishop Hannan
49,Zachary Block,P,SR,6-5,200,"Clermont, FL",East Ridge
27,Ygenio Booker,RB,FR,5-11,205,"Brooksville, FL",Hernando HS
10,Darius Bradwell,RB,JR,6-1,230,"Tallahassee, FL",Godby
71,Ben Bratcher,OL,FR,6-6,295,"Dallas, TX",J.J. Pearce
52,Dominique Briggs,OL,SR,6-3,295,"Tulsa, OK",Coffeyville CC
31,Larry Brooks,S,FR,6-0,195,"Kennedale, TX",Kennedale HS
13,Quentin Brown,S,FR,6-1,210,"Conroe, TX",Conroe HS
86,Sorrell Brown,WR,FR,6-3,200,"Arlington, TX",Martin HS
59,Sam Bruchhaus,LB,FR,6-3,200,"Lake Charles, LA",St. Louis Catholic
4,Larry Bryant,S,JR,6-1,205,"Kennesaw, GA",North Cobb
14,Dorian Camel,CB,FR,6-1,175,"Baton Rouge, LA",Scotlandville Magnet HS
20,Cameron Carroll,RB,FR,6-0,230,"Flowood, MS",Northwest Rankin HS
37,Macon Clark,S,FR,6-0,185,"St. Rose, LA",Destrehan HS
79,Joey Claybrook,OL,FR,6-6,290,"Starkville, MS",Starkville HS
88,Jabril Clewis,WR,SR,6-2,210,"San Diego, CA",Grossmont College
14,Christian Daniels,QB,FR,6-2,205,"Elon, NC",Western Alamance HS
6,Corey Dauphine,RB,JR,6-0,200,"Port Arthur, TX",Texas Tech
64,Corey Dublin,OL,SO,6-4,300,"New Orleans, LA",Jesuit HS
60,Geron Eatherly,LS,JR,6-0,225,"San Antonio, TX",Tom C. Clark
5,Terren Encalade,WR,SR,6-0,190,"East Pointe a la Hache, LA",Belle Chasse
57,Noah Fisher,OL,SR,6-5,325,"Decatur, GA",South Alabama
7,Devin Glenn,RB,SR,5-7,160,"New Orleans, LA",Warren Easton
96,Casey Glover,PK,FR,6-3,175,"Jericho, NY",Friends Academy
62,Merek Glover,PK,JR,6-0,195,"Jericho, NY",Friends Academy
35,Lawrence Graham,LB,JR,5-10,230,"Lauderhill, FL",American Heritage
16,P.J. Hall,S,JR,5-11,190,"Hoover, AL",Hoover
32,Grant Hamel,S,FR,5-11,185,"Overland Park, KS",Blue Valley North HS
12,Sean Harper,S,JR,6-1,205,"Fayette County, GA",Fayette County
25,Will Harper,S,JR,6-0,195,"Memphis, TN",Sandy Creek
40,Zachery Harris,LB,SR,6-0,220,"New Orleans, LA",Holy Cross
45,Randy Harvey,PK,JR,6-0,210,"Destrehan, LA",Destrehan
54,Carlos Hatcher,DE,FR,6-3,235,"Carrollton, TX",Hebron HS
66,Nik Hogan,OL,FR,6-4,290,"Flowood, MS",Northwest Rankin HS
19,Josh Holl,QB,FR,6-2,205,"Houston, TX",Cypress Christian School
9,Keon Howard,QB,JR,6-1,205,"Laurel, MS",Laurel
22,Stephon Huderson,RB,SO,5-9,190,"Petal, MS",Petal HS
4,P.J. Hurst,QB,SO,6-1,175,"Pacific Palisades, CA",Palisades Charter
63,Cameron Jackel,OL,FR,6-6,290,"Marrero, LA",Archbishop Shaw HS
39,La’Dedric Jackson,LB,FR,6-1,220,"Montgomery, AL",Sidney Lanier High School
93,Jamiran James,NT,FR,6-1,280,"New Orleans, LA",De La Salle HS
80,Tyrick James,TE,FR,6-2,250,"China Spring, TX",China Spring HS
95,Avery Jenkins,NT,FR,5-9,250,"New Orleans, LA",Metairie Country Day
74,Devon Johnson,OL,SR,6-5,290,"Amite, LA",Amite HS
77,Jeffery Johnson,NT,FR,6-2,320,"Brookhaven, MS",Brookhaven HS
34,Patrick Johnson,DE,SO,6-3,255,"Chattanooga, TN",Notre Dame HS
50,Tyler Johnson,OL,JR,6-3,280,"Atlanta, GA",Stephenson
11,Amare Jones,RB,FR,5-11,190,"Frisco, TX",Frisco Heritage HS
84,Charles Jones II,TE,SR,6-4,255,"New Orleans, LA",St. Augustine
29,Keitha Jones Jr.,LB,FR,6-1,220,"Port Arthur, TX",Memorial High School
21,Chris Joyce,DB,FR,5-11,170,"Hampton, GA",Dutchtown HS
90,Robert Kennedy,DE,SR,6-1,275,"Belle Chasse, LA",Belle Chasse
26,Thakarius Keyes,CB,JR,6-1,195,"Laurel, MS",Laurel
69,Hunter Knighton,OL,SR,6-5,300,"Pottstown, PA",Miami (Fla.)
98,Nick Kubiet,DE,FR,6-4,250,"Palm Coast, FL",Matanzas HS
36,Chase Kuerschen,S,SO,6-1,210,"Knoxville, TN",Knoxville Catholic HS
8,Willie Langham,CB,FR,6-1,185,"McAdory, AL",McAdory HS
87,Kevin LeDee,WR,FR,6-4,195,"Cypress Ridge, TX",Cypress Ridge HS
2,Dane Ledford,QB,FR,6-0,190,"Argyle, TX",Argyle HS
72,John Leglue,OL,SR,6-7,310,"Alexandria, LA",Holy Savior Menard Central
51,Stephen Lewerenz,OL,FR,6-3,275,"Gainesville, FL",Buchholz HS
1,Donnie Lewis Jr.,CB,SR,6-0,195,"Baton Rouge, LA",Central
27,Nick Martorell,LB,FR,6-1,215,"Pennsauken, NJ",Bishop Eustace Prep
53,Keyshawn McLeod,OL,JR,6-4,305,"Port Charlotte, FL",Port Charlotte HS
12,Justin McMillan,QB,SR,6-3,210,"Cedar Hill, TX",Cedar Hill/LSU
44,Juan Monjarres,DE,FR,6-2,230,"New Orleans, LA",St. Augustine HS
9,Jaylon Monroe,CB,SO,5-9,175,"Mesquite, TX",West Mesquite HS
28,Marvin Moody,LB,SO,6-2,225,"Bryant, AR",Bryant HS
3,Darnell Mooney,WR,JR,5-11,175,"Gadsden, AL",Gadsden
43,Coby Neenan,PK,SO,6-2,190,"Dothan, AL",Northview
13,Brian Newman,WR,SR,5-10,180,"Houston, TX",St. Pius X
21,James Poche,RB,FR,6-0,195,"New Orleans, LA",Newman HS
40,Connor Prouet,TE,FR,6-0,245,"New Orleans, LA",Jesuit HS
76,Michael Remondet,OL,FR,6-4,275,"Youngsville, LA",Ascension Episcopal School
15,Jacob Robertson Jr.,WR,SO,6-0,175,"College Park, GA",Woodward Academy
55,Cameron Sample,DE,SO,6-3,280,"Snellville, GA",Shiloh HS
91,Noah Seiden,DE,FR,6-2,250,"Mandeville, LA",St. Paul's School
70,Timothy Shafter,OL,FR,6-4,275,"Hingham, MA",Hingham HS
19,Taris Shenall,S,SR,6-0,195,"Marrero, LA",John Ehret
42,Torri Singletary Jr.,DE,FR,6-4,235,"Baldwin, FL",Baldwin County HS
68,Henry Stern,NT,JR,6-1,290,"San Francisco, CA",Sacred Heart Cathedral Prep
92,Sterling Stockwell,PK,FR,5-9,185,"Orlando, FL",Dr. Phillips HS
56,Austin Streaty,LS,FR,5-8,190,"Nashville, TN",Montgomery Bell HS
2,Roderic Teamer Jr.,S,SR,6-0,205,"New Orleans, LA",Brother Martin
30,Alfred Thomas,DE,FR,6-2,290,"Montgomery, AL",Sidney Lanier High School
23,Ryan Thompson,WR,FR,-,-,"St. Louis, MO",MICDS
82,Jaetavian Toles,WR,SO,6-0,185,"Houston, TX",Stratford HS
83,Nick Toppino,WR,FR,5-10,190,"Tokyo, Japan",IMG Academy
17,Jorien Vallien,WR,FR,6-3,180,"Alexandria, LA",Alexandria Senior HS
38,KJ Vault,LB,FR,6-1,205,"Hoover, AL",Hoover HS
46,Will Wallace,TE,FR,6-4,245,"Natchez, MS",Cathedral HS
99,Justin Walton,DE,FR,6-1,240,"Cleveland, OH",University School
75,Max Wattenmaker,OL,FR,5-11,255,"Bedford, NY",Fox Lane
48,De'Andre Williams,NT,SO,6-3,290,"Baton Rouge, LA",Scotlandville Magnet
57,Peter Woullard,DE,SR,6-4,235,"New Orleans, LA",St. Augustine
78,Davon Wright,DE,FR,6-1,290,"Donaldsonville, LA",Donaldsonville HS
97,Ryan Wright,P,FR,6-3,245,"San Ramon, CA",California HS
47,Andrew Zuckerman,RB,JR,5-9,185,"Potomac, MD",Winston Churchill
