No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
91,Mike Allen,DL,FR,6-5,270,"Sugar Hill, GA",Lanier
25,Marquis Alston Jr.,DB,FR,6-0,190,"Smyrna, GA",Harrison
70,Ryan Anderson,OL,SR,6-6,305,"Raleigh, NC",Wakefield
1,Alex Bachman,WR,SR,6-0,190,"Westlake Village, CA",Oaks Christian
26,Justin Bartee,DB,SO,5-10,205,"Vienna, VA",Oakton
18,Carlos Basham Jr.,DL,SO,6-5,270,"Roanoke, VA",Northside
21,Essang Bassey,DB,JR,5-10,190,"Columbus, GA",Columbus
54,Elontae Bateman,DL,JR,6-2,285,"Memphis, TN",Ridgeway
26,Christian Beal-Smith,RB,FR,5-10,190,"Winston-Salem, NC",East Forsyth
35,Willy Bemiss,WR,FR,5-11,180,"Richmond, VA",St. Christopher's
73,Jake Benzinger,OL,JR,6-7,295,"Williamston, MA",Mt. Greylock
53,Dion Bergan,DL,FR,6-1,280,"Kissimmee, FL",Kissimmee-Osceola
40,Rondell Bothroyd,DL,FR,6-4,270,"Mansfield, CT",E.O. Smith
13,Tayvon Bowers,QB,FR,6-1,205,"Harrisburg, PA",Bishop McDevitt
97,Ben Brown,PK,JR,6-2,175,"Chevy Chase, MD",Bullis
32,Jeff Burley,LB,FR,6-2,230,"Jackson, GA",Jackson
5,Arkeem Byrd,DB,SO,6-1,190,"Savannah, GA",Jenkins
6,Chris Calhoun,DL,SR,6-4,250,"Alpharetta, GA",Centennial
36,Cade Carney,RB,JR,5-11,215,"Advance, NC",Davidson Day
87,Teddy Centofanti,WR,FR,5-11,170,"Winchester, MA",Winchester
23,Brandon Chapman,TE,SO,6-5,255,"Grove City, OH",Grove City
56,Spencer Clapp,OL,FR,6-6,280,"Gibsonville, NC",Eastern Guilford
88,Steven Claude,WR,JR,6-2,195,"Miami, FL",Champagnat Catholic
22,Matt Colburn II,RB,SR,5-10,200,"Irmo, SC",Dutch Fork
18,Matthew Considine,QB,FR,6-6,210,"St. Augustine, FL",St. Joseph Academy
43,Anthony D'Angelo,DB,FR,5-6,165,"Medfield, MA",St. Mark's School
20,Coby Davis,DB,SO,5-11,200,"Upper Marlboro, MD",Maret School
29,DeAndre' Delaney,RB,SO,6-3,205,"Morristown, TN",Morristown West
83,Maguire DiLenge,WR,FR,5-7,165,"Washington, DC",Gonzaga
10,Kenneth Dicks III,DB,FR,6-0,195,"Suwanee, GA",Lambert
52,Dayton Diemel,LS,JR,5-10,225,"Hudson, WI",Hudson
3,Greg Dortch,WR,SO,5-9,170,"Richmond, VA",Highlands Springs
34,Will Drawdy,RB,FR,6-0,180,"Easley, SC",Easley
81,Ian Driscoll,WR,FR,5-10,170,"Garden City, NY",Holderness School
77,Mike Edwards,OL,FR,6-6,370,"Hope Mills, NC",South View
11,Darren Ford,PK,SR,6-2,200,"Howell, MI",Howell/Hope College
97,Royce Francis,DL,FR,6-3,240,"Acworth, GA",Allatoona
86,Jack Freudenthal,TE,JR,6-3,240,"Richmond, VA",Trinity Episcopal
57,Jake Galli,LB,FR,6-0,215,"Washington, DC",Gonzaga
71,Nathan Gilliam,OL,JR,6-5,290,"Knoxville, TN",Farragut
2,Cameron Glenn,DB,SR,6-1,205,"Stone Mountain, GA",Stephenson
39,Keegan Good,DB,SO,6-0,190,"Pinehurst, NC",Pinecrest
13,Malik Grate,DB,SO,6-0,180,"Pendleton, SC",Pendleton
37,Nasir Greer,DB,FR,6-0,200,"Stockbridge, GA",Stockbridge
27,Tyriq Hardimon,DB,FR,6-0,195,"Marietta, GA",Lassiter
10,Sam Hartman,QB,FR,6-1,190,"Charlotte, NC",Oceanside Collegiate (SC)
74,Phil Haynes,OL,SR,6-4,310,"Raleigh, NC",Enloe
95,Connor Hebbeler,DE,FR,6-2,250,"Franklin Lakes, NJ",Bergen Catholic
78,Orlando Heggs II,OL,FR,6-3,305,"Jacksonville, FL",The Bolles School
4,Amari Henderson,DB,JR,6-1,180,"Charlotte, NC",Mallard Creek
75,Justin Herron,OL,SR,6-5,290,"Silver Spring, MD",Bullis
2,Kendall Hinton,QB,JR,6-0,195,"Durham, NC",Southern Durham
21,Isaiah Isaac,WR,FR,5-10,165,"Buford, GA",Buford
41,JaCorey Johns,LB,FR,6-4,230,"Cartersville, GA",Cartersville
11,Davis Johnson,WR,SO,5-11,180,"Alpharetta, GA",Milton
80,Waydale Jones,WR,FR,6-4,195,"Beeville, TX",A.C. Jones
66,Goran Jovanovic,OL,FR,6-4,280,"Ashburn, VA",Paul VI Catholic
55,Michael Jurgens,OL,FR,6-4,280,"Damascus, MD",Damascus
90,Sulaiman Kamara,DL,SO,6-2,290,"Richmond, VA",Hermitage
28,Zion Keith,DB,FR,6-1,185,"Florence, SC",Wilson
