No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
51,Jake Abbott,LB,FR,6-0,222,"Fairmont, WV",Fairmont Senior HS
23,Jordan Adams,CB,JR,6-0,176,"Reisterstown, MD",Franklin
-,Pius Adomako,S,FR,5-10,190,"Annandale, NJ",North Hunterdon
98,Tyrese Allen,DL,FR,6-3,304,"Paintsville, KY",Paintsville
11,Jack Allison,QB,SO,6-6,203,"Palmetto, FL",Palmetto HS
6,Dravon Askew-Henry,S,SR,6-0,202,"Aliquippa, PA",Aliquippa HS
3,Toyous Avery Jr.,S,SR,5-11,205,"Covington, GA",Newton HS
24,Hakeem Bailey,CB,JR,6-0,190,"Atlanta, GA",Pebblebrook HS
85,T.J. Banks,TE,FR,6-5,253,"Duquesne, PA",East Allegheny
97,Connor Barwis,DL,FR,6-0,282,"Reading, PA",Exeter Township HS
80,Jesse Beal,TE,FR,6-6,262,"Washington, DC",South County
76,Chase Behrndt,OL,SO,6-4,306,"Wildwood, MO",Lafayette HS
18,Charlie Benton,LB,SO,6-2,213,"Opelika, AL",Opelika
91,Matt Bezjak,TE,SO,6-5,252,"Loveland, OH",Loveland HS
40,Kenny Bigelow Jr.,DL,SR,6-4,307,"Wilmington, DE",Eastern Christian
39,Dante Bonamico,S,SO,5-8,180,"Bridgeport, WV",Bridgeport HS
61,Chris Brown,OL,FR,6-4,258,"Casper, WY",Natrona County
27,E.J. Brown,S,FR,5-10,204,"Stone Mountain, GA",Tucker HS
58,Joe Brown,OL,JR,6-4,369,"Compton, CA",Paramount
4,Leddie Brown,RB,FR,5-11,211,"Philadelphia, PA",Saints John Newmann and Maria Goretti
57,Michael Brown,OL,JR,6-3,366,"Compton, CA",Paramount
78,Jacob Buccigrossi,OL,SO,6-3,306,"Pittsburgh, PA",North Hills HS
77,Daniel Buchanan,DL,FR,6-4,309,"Gilbert, WV",Mingo Central HS
14,Tevin Bush,RB,SO,5-6,160,"New Orleans, LA",Landry-Walker HS
55,Yodny Cajuste,OL,SR,6-5,321,"Miami, FL",Miramar HS
34,Shea Campbell,LB,JR,5-11,240,"Morgantown, WV",Morgantown HS
35,Josh Chandler,LB,FR,5-10,228,"Canton, OH",Canton McKinley
39,Henry Cook,LB,FR,6-2,232,"Westminster, MD",South Carroll HS
99,Sam Cookman,DL,FR,6-2,239,"Romney, WV",Hampshire HS
32,VanDarius Cowan,LB,SO,6-4,236,"Palm Beach Gardens, FL",Palm Beach Gardens
16,William Crest Jr.,WR,SR,6-1,214,"Baltimore, MD",Dunbar HS
62,Zach Davis,OL,SO,6-2,316,"St. Marys, WV",St. Marys HS
22,Anthony DelPercio,WR,FR,5-8,208,"Middletown, DE",Middletown HS
46,Reese Donahue,DL,JR,6-4,276,"Milton, WV",Cabell Midland HS
34,Lorenzo Dorr,RB,SO,5-9,195,"Fredericksburg, VA",Riverbend
41,Elijah Drummond,TE,SO,6-0,231,"Bridgeport, WV",Bridgeport HS
60,Noah Drummond,OL,FR,6-0,282,"Bridgeport, WV",Bridgeport
38,Isaiah Esdale,WR,SO,6-0,194,"Elkton, MD",Eastern Christian Academy
7,Brendan Ferns,LB,SO,6-2,225,"St. Clairsville, OH",St. Clairsville HS
86,Randy Fields Jr.,WR,FR,6-2,193,"Newark, DE",St. Frances Academy
74,James Gmiter,DL,FR,6-3,319,"Bethel Park, PA",Bethel Park
57,Nate Green,DL,SO,6-4,257,"Wellsburg, WV",Brooke HS
7,Will Grier,QB,SR,6-2,223,"Charlotte, NC",Davidson Day School
52,J.P. Hadley,LS,FR,6-2,258,"Lacey, NJ",Donovan Catholic
27,Kwincy Hall,WR,FR,5-5,154,"Washington, DC",Saint Frances Academy
65,Isaiah Hardy,OL,SR,6-6,335,"Laurel Springs, NJ",Timber Creek Regional HS
84,Jovani Haskins,TE,SO,6-4,245,"Bergenfield, NJ",Bergenfield HS
45,Adam Hensley,LB,JR,6-2,235,"Centerville, OH",Centerville HS
11,Chase Hill,S,FR,5-11,176,"Waco, TX",Live Oak Classical
43,Luke Hogan,K,SO,6-1,209,"Keller, TX",Keller HS
3,Trent Jackson,QB,FR,6-2,200,"Stevensville, MD",Kent Island
85,Sam James,WR,FR,6-0,165,"Richmond Hill, GA",Richmond Hill
12,Gary Jennings Jr.,WR,SR,6-2,215,"Stafford, VA",Colonial Forge HS
36,Ricky Johns,WR,FR,6-3,193,"North Wales, PA",North Penn HS
79,Matt Jones,OL,JR,6-3,328,"Hubbard, OH",Hubbard HS
25,Osman Kamara,S,SO,5-10,206,"Harrisburg, PA",Bishop McDevitt HS
15,Billy Kinney,P,SR,6-4,221,"Morgantown, WV",University HS
33,T.J. Kpan,RB,FR,5-8,178,"McMurray, PA",Peters Township
91,Tavis Lee,DL,FR,6-2,255,"Martinsburg, WV",Martinsburg
31,Casey Legg,K,FR,6-4,199,"Charleston, WV",Cross Lanes Christian
26,Deamonte Lindsay,S,JR,6-1,207,"Martinsburg, WV",Martinsburg HS
17,Exree Loe,LB,FR,6-0,217,"Johnstown, PA",Greater Johnstown Area HS
22,Jake Long,CB,SO,5-11,194,"Columbus, OH",Hamilton Township HS
11,David Long Jr.,LB,JR,5-11,221,"Cincinnati, OH",Winton Woods HS
10,Trey Lowe III,QB,FR,6-2,211,"Collierville, TN",Bolivar Central
28,Rashon Lusane,S,SO,5-11,203,"Norristown, PA",Malvern HS
37,Kolby Mack,WR,FR,5-11,168,"Oak Park, MI",Oak Park
29,Sean Mahone,CB,SO,5-11,200,"Liberty Township, OH",Lakota West HS
82,Dominique Maiden,WR,SR,6-5,207,"Temecula, CA",Temecula Valley HS
23,Evan Matthes,P,FR,6-1,208,"Reston, VA",South Lakes
68,Briason Mays,OL,FR,6-3,302,"Bolivar, TN",Bolivar Central
41,Jaydon McGhee,LB,FR,6-1,215,"Charlotte, NC",Vance
53,Colton McKivitz,OL,JR,6-7,300,"Jacobsburg, OH",Union Local HS
6,Kennedy McKoy,RB,JR,6-0,198,"Lexington, NC",North Davidson HS
19,Barry Moreland,CB,JR,5-11,190,"Zion, IL",Zion Township
4,Josh Norwood,CB,JR,5-10,174,"Valdosta, GA",Valdosta
87,Mike O'Laughlin,TE,FR,6-5,231,"Glen Ellyn, IL",Fenwick
32,Martell Pettaway,RB,JR,5-9,210,"Detroit, MI",Martin Luther King HS
1,Derrek Pitts Jr.,CB,SO,6-0,180,"Dunbar, WV",South Charleston HS
51,Kyle Poland,LS,SO,6-2,229,"Morgantown, WV",Morgantown HS
13,Jeffery Pooler Jr.,DL,SO,6-2,272,"Dayton, OH",Dunbar
33,Quondarius Qualls,LB,SR,6-1,229,"Farmerville, LA",Union Parish HS
8,Kwantel Raines,S,FR,6-3,198,"Aliquippa, PA",Aliquippa
67,Josh Ritchie,DL,FR,6-0,267,"Morgantown, WV",University
12,Jabril Robinson,DL,SR,6-2,273,"Leland, NC",North Brunswick
2,Kenny Robinson Jr.,S,SO,6-2,198,"Wilkinsburg, PA",Imani Christian HS
5,Ezekiel Rose,DL,SR,6-2,276,"Clarksdale, MS",Clarksdale HS
-,Malachi Ruffin,CB,FR,5-10,166,"Nashville, NC",Nash Central
31,Zach Sandwisch,LB,SO,6-2,225,"Woodville, OH",Central Catholic HS
69,Blaine Scott,OL,FR,6-3,339,"West Portsmouth, OH",Sciotoville Community
73,Josh Sills,OL,SO,6-6,320,"Sarahsville, OH",Meadowbrook HS
13,David Sills V,WR,SR,6-4,210,"Wilmington, DE",Eastern Christian Academy
48,Skyler Simcox,K,SR,6-0,187,"Abingdon, VA",Abingdon
1,T.J. Simmons,WR,SO,6-2,200,"Birmingham, AL",Clay-Chalkville HS
8,Marcus Simms,WR,JR,6-0,194,"Bowie, MD",Sherwood HS
20,Alec Sinkfield,RB,FR,5-9,187,"Delray Beach, FL",American Heritage HS
54,Eric Sjostedt,OL,FR,6-3,250,"Ystad, Sweden",Bristol Academy of Sport
89,Dillon Spalding,WR,FR,6-1,215,"Lorton, VA",South County
30,Evan Staley,K,SO,6-1,184,"Romney, WV",Hampshire HS
9,JoVanni Stewart,LB,JR,5-8,191,"Katy, TX",Katy HS
66,Adam Stilley,OL,FR,6-0,279,"Martinsburg, WV",Martinsburg HS
55,Dante Stills,DL,FR,6-4,289,"Fairmont, WV",Fairmont Senior
56,Darius Stills,DL,SO,6-1,296,"Fairmont, WV",Fairmont Senior HS
64,Rex Sunahara,LS,JR,6-6,240,"Bay Village, OH",Bay/Rhode Island
42,Logan Thimons,FB,SO,6-0,231,"Sarver, PA",Freeport Area HS
90,Brenon Thrift,DL,SR,6-2,295,"Monroeville, PA",Gateway HS
70,Tyler Thurmond,OL,FR,6-4,288,"Buford, GA",Buford HS
10,Dylan Tonkery,LB,SO,6-0,222,"Bridgeport, WV",Bridgeport HS
47,Joseph Turner,TE,FR,6-0,228,"Morgantown, WV",Morgantown HS
71,Junior Uzebu,OL,FR,6-5,299,"Atlanta, GA",Alpharetta
-,Devan Wade,CB,JR,5-9,173,"Westerville, OH",Westerville South
28,Keith Washington Jr.,CB,JR,6-0,180,"Prattville, AL",Prattville
35,Brady Watson,RB,SR,5-6,213,"Ridgeley, WV",Frankfort HS
88,Trevon Wesco,TE,SR,6-4,274,"Martinsburg, WV",Musselman HS
83,Bryce Wheaton,WR,FR,6-3,210,"Fuquay-Varina, NC",Holly Springs
72,Kelby Wickline,OL,JR,6-4,298,"Stillwater, OK",Stillwater HS
59,Luke Williams,LB,SO,6-0,232,"Parkersburg, WV",Parkersburg South HS
87,Stone Wolfley,DL,JR,6-4,260,"Morgantown, WV",Morgantown HS
