No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
68,Kirby Adcock,OL,SO,6-5,288,"Nashville, AR",Nashville HS
3,McTelvin Agim,DL,SR,6-3,300,"Texarkana, TX",Hope HS
44,Jermarcus Arnold,RB,JR,5-8,186,"Marianna, AR",Arkansas Baptist
84,Peyton Ausley,WR,FR,6-2,185,"Austin, TX",Vandegrift HS
28,Reid Bauer,K,SO,5-11,198,"Magnolia, TX",Magnolia HS
86,Jamario Bell,DL,SR,6-5,265,"Junction City, AR",Junction City HS
35,Matt Berry,DB,SR,5-10,200,"Booneville, AR",Booneville HS/Ouachita Baptist University
24,LaDarrius Bishop,DB,FR,6-0,193,"Ashdown, AR",Ashdown HS
15,Simeon Blair,DB,FR,5-10,200,"Pine Bluff, AR",Pine Bluff HS
5,Rakeem Boyd,RB,JR,6-0,213,"Houston, TX",Stratford HS/Independence CC (Kan.)
9,Greg Brooks Jr.,DB,FR,5-11,179,"Harvey, LA",West Jefferson HS
34,Martaveous Brown,DB,SO,6-0,190,"Marianna, AR",Ouachita Baptist
21,Montaric Brown,DB,SO,6-0,187,"Ashdown, AR",Ashdown HS
16,Treylon Burks,WR,FR,6-3,223,"Warren, AR",Warren HS
23,Devin Bush,DB,FR,6-0,203,"New Orleans, LA",Edna Karr HS
54,Austin Capps,OL,SR,6-4,304,"Star City, AR",Star City HS
91,Taurean Carter,DL,FR,6-3,288,"Mansfield, TX",Mansfield Legacy HS
1,Jalen Catalon,DB,FR,5-10,196,"Mansfield, TX",Mansfield Legacy HS
6,Kendall Catalon,WR,SO,5-9,184,"Mansfield, TX",Mansfield Legacy HS/Southern
17,Malik Chavis,DB,FR,6-2,198,"Rison, AR",Rison HS
17,Hudson Clark,DB,FR,6-2,171,"Dallas, TX",Highland Park HS
66,Ty Clary,OL,JR,6-4,285,"Fayetteville, AR",Fayetteville HS
13,Collin Clay,DL,FR,6-5,285,"Oklahoma City, OK",Putnam City HS
57,Shane Clenin,OL,SO,6-6,302,"Festus, MO",Jefferson HS
