No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
20,Anthony Adkins,RB,FR,6-1,251,"Hodgenville, KY",Larue County
51,Ryan Aguilar,LS,FR,6-2,234,"Bakersfield, CA",Liberty HS
29,Izzy Akojie,DB,FR,6-1,180,"Upper Marlboro, MD",Dr. Henry A. Wise Jr. (USMAPS)
13,Christian Anderson,QB,JR,6-1,165,"Bronx, NY",Cardinal Hayes
32,Jonathan Andrews,DB,SO,6-1,176,"Hampton, GA",Dutchtown
99,Andrew Bagley,K,FR,5-11,180,"West Point, NY",James I. O'Neill
4,Cade Ballard,QB,FR,5-9,204,"Greeneville, TN",Greeneville
58,Sam Barczak,OL,FR,6-2,269,"Tyrone, GA",Sandy Creek (USMAPS)
40,Cade Barnard,RB,SO,6-3,220,"Seminole, TX",Seminole
31,Trey Bartlett,RB,FR,5-9,185,"West Jordan, UT",Herriman
44,Gavin Bassett,LB,JR,6-1,215,"Farmington, MN",Farmington (USMAPS)
63,Jake Baumert,OL,SR,6-3,300,"Lucas, TX",Lovejoy (USMAPS)
23,Adam Bazan,RB,FR,5-10,189,"Missouri City, TX",Ridge Point (USMAPS)
10,Maurice Bellan,QB,FR,5-10,179,"Fulton, MD",The Peddie School
39,Bryton Belvin,TE,SO,6-7,230,"Orlando, FL",Lake Highland Prep
57,Connor Bishop,OL,FR,6-3,271,"Holland, PA",Archbishop Wood
10,Jordan Blackman,WR,JR,5-11,185,"Lake View Terrace, CA",Saint Genevieve
34,Rashaad Bolton,RB,SR,5-11,235,"Bonaire, GA",Veterans (USMAPS)
97,Kwabena Bonsu,DL,SO,6-4,260,"Austell, GA",South Cobb
21,Zack Boobas,RB,JR,5-10,180,"Nicholson, GA",Jefferson
15,Tim Boone,DB,FR,5-9,178,"Lutz, FL",Berkeley Prep
8,Javhari Bourdeau,DB,JR,5-9,185,"Miramar, FL",Flanagan (USMAPS)
11,Elijah Boyd,DB,FR,6-2,180,"Erlanger, KY",Western Reserve Academy (USMAPS)
10,Marquel Broughton,DB,FR,5-10,198,"Lawrenceville, GA",Mountain View (USMAPS)
75,Ryan Bryce,DL,FR,6-5,264,"Ambler, PA",St. Joseph's Prep (USMAPS)
33,Jakobi Buchanan,RB,FR,6-0,178,"St. Charles, MO",Chaminade Prep (USMAPS)
44,Shayne Buckingham,TE,FR,6-4,252,"Dacula, GA",Dacula (USMAPS)
48,Kaelin Byrd,RB,SO,5-11,205,"Milton, GA",Cambridge (USMAPS)
46,Chris Cameron,TE,SO,6-4,205,"Baton Rouge, LA",Catholic (USMAPS)
56,DeLani Carter,LB,FR,5-11,221,"Springdale, MD",Charles H. Flowers
46,Andre Carter II,LB,FR,6-5,230,"Missouri City, TX",Cheshire Academy
36,Cole Caterbone,WR,FR,6-1,185,"Plantation, FL",St. Thomas Aquinas HS (USMAPS)
42,Wilson Catoe,LB,SO,6-2,225,"Suwanee, GA",Peachtree Ridge
92,Reed Chandler,DL,FR,6-3,234,"Grimesland, NC",D.H. Conley
51,Grady Chapman,DL,FR,6-4,249,"Carlisle, PA",Carlisle
54,Cole Christiansen,LB,SR,6-2,225,"Suffolk, VA",Nansemond-Suffolk Academy
82,Kjetil Cline,WR,SR,6-0,205,"Woodbury, MN",IMG Academy
6,Glen Coates,WR,SR,6-0,195,"Davidson, NC",Davidson Day School (USMAPS)
95,Nolan Cockrill,DL,SO,6-3,230,"Centreville, VA",Westfield
45,David Cooper,K,SR,6-2,185,"Alexandria, VA",Bishop Ireton
98,Matteo Cordray,K,FR,5-9,170,"Dallas, TX",Highland Park (USMAPS)
48,Trevor Cosenke,LB,FR,6-3,233,"Aldie, VA",John Champe (USMAPS)
57,Jacob Covington,DL,SR,6-2,260,"Liberty Hill, TX",Liberty Hill (USMAPS)
43,Clayton Cribb,LB,FR,5-10,234,"Denver, NC",North Lincoln
22,Cedrick Cunningham Jr.,DB,SO,6-0,190,"Cassatt, SC",North Central (USMAPS)
82,Veshe Daniyan,WR,FR,6-1,170,"Balch Springs, TX",North Mesquite (USMAPS)
19,Zion Davis-Thompson,DB,FR,6-2,185,"Stafford, VA",North Stafford
73,Jaxson Deaton,OL,SR,6-4,310,"Frisco, TX",Frisco (USMAPS)
19,Dominic Distefano,RB,JR,5-7,170,"Pflugerville, TX",Hendrickson (USMAPS)
83,Reikan Donaldson,WR,FR,6-2,167,"Dallas, GA",Wheeler (USMAPS)
17,Colton Dooley,RB,FR,5-11,196,"Nolensville, TN",Nolensville
91,Ryan Duran III,DL,SO,6-5,220,"Gibsonia, PA",Pine-Richland (USMAPS)
87,Sean Eckert,WR,SO,6-3,204,"Centreville, VA",Westfield (USMAPS)
18,Jake Ellington,DL,SR,6-3,240,"Zebulon, NC",East Wake
30,Ton Evans,RB,SO,5-8,185,"Sharpsburg, GA",Northgate (USMAPS)
52,Alex Faulkner,OL,FR,6-4,277,"Mishawaka, IN",Mishawaka (USMAPS)
50,Robert Fitzsimmons,OL,FR,6-5,260,"Freeport, NY",Freeport (USMAPS)
89,Scott Flanick,LS,SR,6-2,235,"Montgomery, NY",Pine Bush (USMAPS)
89,Chris Frey,DL,FR,6-5,255,"Canyon Lake, CA",Temescal Canyon (USMAPS)
66,DJ Fuller Jr.,OL,FR,6-3,282,"Saint Albans, NY",Christ The King Regional
60,David Gray,DL,FR,6-4,298,"Durham, NC",Hillside (USMAPS)
80,Chris Gregg,WR,SR,6-0,190,"La Verne, CA",Damien
84,Kevin Hamilton,WR,SO,6-1,188,"Springfield, VA",Robert E. Lee (USMAPS)
26,Quindrelin Hammonds,DB,FR,6-0,181,"Covington, GA",Alcovy (USMAPS)
40,Peyton Hampton,LB,FR,6-1,226,"Advance, NC",Davie County
16,Malik Hancock,RB,SR,5-8,170,"Apopka, FL",Edgewater
46,Zach Harding,P,SO,6-5,200,"St. Peters, MO",Living Word Christian
54,Blake Harris,OL,FR,6-2,275,"Irmo, SC",Ben Lippen School (USMAPS)
11,Walter Harris,QB,FR,6-1,224,"Slidell, LA",Northshore (USMAPS)
88,Camden Harrison,WR,JR,6-2,195,"Allen, TX",Allen (USMAPS)
79,Cade Hawley,OL,FR,6-4,246,"Elgin, TX",Lexington
86,Christian Hayes,WR,SR,6-0,200,"Escondido, CA",La Jolla Country Day (USMAPS)
60,Alex Herndon,OL,SR,6-2,260,"Savannah, GA",Calvary Baptist Day
32,Artice Hobbs IV,RB,JR,5-9,175,"Covington, GA",Newton (USMAPS)
30,Cameron Hoelscher,LB,FR,6-2,235,"Springfield, OH",North (USMAPS)
85,Trenton Hollinquest,WR,FR,6-0,184,"Humble, TX",Creek
51,Kamaron Holloway,OL,SO,6-3,250,"Cedar Hill, TX",Duncanville (USMAPS)
64,Lachlan Holt,OL,FR,6-2,262,"Richmond Hill, GA",Richmond Hill
8,Kelvin Hopkins Jr.,QB,SR,5-10,205,"Charlotte, NC",Independence (USMAPS)
43,Brooks Hosea,P,SO,6-0,175,"Marietta, GA",Blessed Trinity (USMAPS)
94,Conor Hough,DL,FR,6-2,218,"Wilmette, IL",Loyola Academy
90,Jack Hough,DL,JR,6-3,230,"Wilmette, IL",Choate Rosemary Hall
29,A.J. Howard,RB,SO,6-0,200,"Toccoa, GA",Stephens County (USMAPS)
55,JB Hunter,OL,JR,6-4,265,"Oceanside, CA",Oceanside (USMAPS)
80,Ryan Jackovic,WR,FR,6-5,220,"Sewickley, PA",Quaker Valley
59,Henry Janeway,DL,FR,6-4,237,"Macomb, MI",Eisenhower (USMAPS)
6,Caleb John,DB,SO,5-10,174,"Lanham, MD",St. Frances Academy (USMAPS)
59,Mike Johnson,OL,SR,6-3,280,"Hinsdale, IL",Hinsdale (USMAPS)
20,Cam Jones,DB,SR,6-0,200,"Dacula, GA",Spring Valley (S.C.)
27,Cameron Jones,DB,FR,5-9,170,"Carson, CA",Harvard-Westlake (USMAPS)
47,Jarrod Jones,LB,SR,5-10,210,"Prattville, AL",Prattville (USMAPS)
7,Jemel Jones,QB,FR,5-10,199,"The Colony, TX",The Colony (USMAPS)
