No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
40,Maurice Adika,RB,JR,5-8,209,"Kettering, OH",Kettering Fairmont
61,Kellen Adler,OL,FR,6-3,290,"Brighton, MI",Detroit Catholic Central
38,Jacob Allen,LB,FR,5-11,222,"Perry, OH",Perry
37,Darren Anders,LB,FR,5-11,222,"North Olmsted, OH",North Olmsted
18,Jordan Anderson,DB,FR,5-10,192,"Harper Woods, MI",Harper Woods
47,Robert Atkinson,LB,JR,6-2,210,"Marble Falls, TX",Marble Falls
92,Deonta Belser,DL,SR,6-4,270,"Cincinnati, OH",Elder/Highland CC
95,Andrew Bench,DL,FR,6-3,217,"Elmore, OH",Genoa
2,Caleb Biggers,DB,SO,5-11,185,"Prince Frederick, MD",Calvert Hall College
13,Jamari Bozeman,DB,SR,6-2,190,"West Palm Beach, FL",Suncoast Community
55,Caleb Bright,OL,JR,6-4,282,"Urbandale, IA",Urbandale
86,Tyrone Broden,WR,FR,6-4,169,"West Bloomfield, MI",West Bloomfield
44,Karl Brooks,DL,SO,6-4,259,"Lansing, MI",Lansing Sexton
3,Evan Brown,LB,SO,5-10,205,"Toledo, OH",Anthony Wayne
44,Declan Burt,TE,JR,6-4,210,"Lynnfield, MA",St. John's Prep/Bryant
48,James Carolan,LS,JR,5-11,205,"Anthem, AZ",Boulder Creek
87,Joey Carroll,TE,FR,6-6,240,"Toledo, OH",St. Francis de Sales
1,Andrew Clair,RB,JR,5-10,199,"St. Louis, MO",St. Louis University
55,Kholbe Coleman,LB,JR,6-0,217,"Hoover, AL",Hoover
45,Victor Copeland Jr.,TE,FR,6-2,225,"Toledo, OH",Toledo Central Catholic
85,Cavon Croom,WR,JR,6-0,175,"Sandusky, OH",Sandusky
5,Sy Dabney,DB,SO,6-0,199,"Orchard Lake, MI",St. Mary's Prep
26,Davion Daniels,DB,FR,5-10,174,"Hubbard, OH",Hubbard
16,LaBronz Davis,QB,FR,6-3,200,"Westerville, OH",Westerville Central
32,Patrick Day,DB,FR,5-11,160,"Hilliard, OH",Bradley
12,Bryson Denley,RB,JR,5-10,173,"Cibolo, TX",Steele
83,Austin Dorris,TE,SR,6-5,248,"Shadyside, OH",Shadyside/Indiana
72,Derek Downs,OL,SO,6-8,291,"Westerville, OH",Westerville North
89,Jack Duffer,WR,FR,6-2,185,"Hilliard, OH",Bradley
71,Zach Dziengelewski,OL,SO,6-4,274,"Swanton, OH",Swanton
31,Tre'Ron Fullerton,RB,SO,5-6,160,"Cleveland, OH",Glenville/Virginia Union
16,Konota Gaskins,DB,FR,5-11,174,"McKeesport, PA",McKeesport
35,DeMontae Haigler,DL,JR,6-1,268,"Montgomery, AL",Carver/Phoenix College
56,Walter Haire,DL,SO,6-3,267,"Indianapolis, IN",North Central
10,Torrian Hampton,LB,JR,6-4,216,"Lakeland, FL",Lakeland
76,Luke Harmon,OL,FR,6-4,285,"Grand Rapids, MI",Catholic Central
16,James Harris Jr.,DB,FR,6-1,177,"Pompano Beach, FL",Blanche Ely
85,Jevon Henderson,DL,FR,6-4,265,"Centerville, OH",Centerville
34,Brock Horne,LB,FR,6-1,231,"Romeo, MI",Romeo
28,JaJuan Hudson,DB,FR,5-10,168,"Camden, NJ",Camden
24,Hafiz Igiekhume,DB,FR,6-0,182,"Kettering, OH",Kettering Fairmont
22,Melvin Jackson III,DB,SR,6-0,185,"Sandusky, OH",St. Mary's Central Catholic
90,Anthony Johnson,DL,FR,6-2,270,"Cleveland, OH",Cleveland Heights
6,Isaiah Johnson-Mack,DB,JR,6-3,232,"Belle Glade, FL",William T. Dwyer/Washington State
24,Davon Jones,RB,SR,5-10,235,"Worcester, MA",St. John's/Boston College
42,Chris Karras,TE,FR,6-4,223,"Columbus, OH",St. Francis DeSales
8,David Konowalski,DL,SR,6-3,242,"Milwaukee, WI",Waukesha West
65,Jack Kramer,OL,SR,6-3,301,"Plainfield, IL",Plainfield North
23,Charles Lamar,RB,SR,6-2,215,"Lake Mary, FL",Lake Mary
54,Nico Lautanen,DL,SR,6-3,278,"Mentor, OH",Mentor
