No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
55,Michael Adams,OL,SO,6-1,306,"Summerville, GA",Chattooga
51,Peter Agabe,LB,JR,6-2,215,"N. Miami Beach, FL",Orlando Christian Prep
53,Jalen Allen,OL,SR,6-2,295,"Indianapolis, IN",Pike
20,DJ Anderson,DB,SR,5-11,189,"Silver Spring, MD",Montgomery Blair
21,Rico Arnold,WR,SO,6-0,184,"Athens, GA",Clarke Central
74,Tim Baten,DL,SO,6-5,322,"Charlotte, NC",Victory Christian
94,Isaiah Belk,DL,FR,6-2,260,"Charlotte, NC",Butler
18,Prince Bemah,LB,FR,6-1,222,"Gastonia, NC",Hunter Huss
2,Cam Bent,WR,SO,5-11,180,"Bluffton, SC",Bluffton
20,Kendric Blake,WR,FR,6-2,190,"Jacksonville, NC",Jacksonville
37,Max Blitstein,K,FR,6-0,185,"Mooresville, NC",Lake Norman Charter
31,Trey Bly,DB,FR,5-8,150,"Charlotte, NC",Myers Park
19,Connor Bowler,P,SO,6-4,195,"Glenmoore, PA",Downingtown West
43,Ryan Braithwaite,DB,SO,6-2,195,"Ashburn, VA",Broad Run
23,Jamel Brown,RB,FR,5-11,192,"Desert Pines, NV",Desert Pines
11,Preston Brown,QB,FR,5-10,183,"Charlotte, NC",West Mecklenburg
7,Anthony Butler,LB,SR,6-0,221,"Charlotte, NC",Vance
29,Calvin Camp,RB,SO,5-8,178,"Hickory, NC",Shelby
85,Ryan Carriere,TE,JR,6-3,245,"Loganville, GA",Grayson
99,Taylor Chandler,DE,FR,6-2,220,"New London, NC",North Stanly
36,Robert Cheatem,DB,JR,6-0,186,"DeLand, FL",Bishop Moore Catholic
71,Cameron Clark,OL,SR,6-5,296,"Greensboro, NC",Ben L. Smith
39,Kyle Corbett,P,JR,6-0,202,"Pinehurst, NC",Pinecrest
11,Jonathan Cruz,K,SO,5-9,170,"Cartersville, GA",Cartersville
31,Josh Curry,WR,FR,-,-,"Charlotte, NC",Myers Park
28,Ben DeLuca,DB,SR,6-1,201,"Orlando, FL",Bishop Moore
90,Tommy Doctor,DL,SR,6-4,270,"Buffalo, NY",Fork Union
4,Cameron Dollar,WR,SO,6-1,189,"Denver, NC",East Lincoln
1,Micaleous Elder,WR,FR,5-9,165,"Cleveland, TN",Blackman
70,D'Mitri Emmanuel,OL,SO,6-1,295,"Waxhaw, NC",Marvin Ridge
2,Brelin Faison-Walden,LB,JR,6-1,207,"Greensboro, NC",Grimsley
95,Andrew Favaro,K,SO,5-11,230,"Knoxville, TN",Webb School
30,Ishod Finger,RB,FR,5-6,170,"Charlotte, NC",Metrolina Christian
68,Jaelin Fisher,OL,JR,6-2,278,"Nashville, TN",Pearl Cohn
1,Ja'Cione Fugate,DB,JR,5-10,182,"Hampton, VA",Kecoughtan
34,Jeff Gemmell,LB,SR,6-3,234,"Wake Forest, NC",Heritage
82,Zach Gemmell,WR,SO,6-2,190,"Wake Forest, NC",Heritage
15,Marquavis Gibbs,DB,SR,6-0,195,"West Palm Beach, FL",Suncoast
6,Tre' Goode,WR,FR,6-3,185,"Jamestown, NC",Ragsdale
56,Will Graham,LB,JR,6-0,229,"Durham, NC",Cardinal Gibbons
77,Malik Harkness,OL,FR,6-4,300,"Lugoff, SC",Lugoff-Elgin
87,Isaiah Harris,TE,SR,6-2,251,"Indian Trail, NC",Marvin Ridge
10,Tyriq Harris,DE,SR,6-3,241,"Roanoke, VA",Hidden Valley
12,Christian Haynes,DB,SR,5-7,186,"Jacksonville, NC",Southwest Onslow
25,Noah Henderson,WR,FR,6-1,195,"Nashville, TN",Christ Presbyterian Academy
5,Alex Highsmith,DE,SR,6-3,244,"Wilmington, NC",Eugene Ashley
19,Kyle Holcomb,QB,FR,5-10,175,"Charlotte, NC",Mountain Island Charter
98,Timmy Horne,DL,JR,6-5,311,"Wadesboro, NC",Anson
44,Jaxon Hughes,DE,FR,6-6,243,"Greensboro, NC",Northern Guilford
88,Jacob Hunt,TE,SO,6-4,255,"Rome, GA",The Darlington School
38,Kendric Ivey,DB,SO,5-11,178,"Stallings, NC",Cuthbertson
73,Yontez Jarrell,OL,FR,6-6,265,"Jacksonville, FL",Ed White
15,Justin Jeffery,WR,FR,6-1,170,"Richmond Hill, GA",Richmond Hill
41,Christian Kaplan,K,FR,6-0,180,"Clemmons, NC",West Forsyth
7,Brett Kean,QB,SR,6-1,221,"Cleveland, OH",St. Edward
48,Michael Kelly,DL,FR,6-3,225,"Graham, NC",Graham
26,Bryce Kimbrough,DB,SO,-,-,"Detroit, MI",Cass Technical
32,Benny LeMay,RB,SR,5-9,218,"Matthews, NC",Butler
62,Austin Lee,OL,JR,6-1,287,"Mooresville, NC",Lake Norman
52,Matthew Longley,DE,JR,6-2,225,"New Orleans, LA","Springfield (Toledo, Ohio)"
8,Nafees Lyon,DB,SR,5-9,188,"Charlotte, NC",Mallard Creek
17,Luke Martin,LB,JR,6-1,225,"Cumming, GA",Dawson County
23,Matt Martinez,DB,FR,6-2,180,"Mooresville, NC",Mooresville Senior
39,George Maya,LB,SO,6-1,218,"Apex, NC",Middle Creek
5,Aaron McAllister,RB,JR,5-10,226,"Live Oak, FL",Suwannee
61,Doug McLaughlin,LS,FR,6-1,220,"Indian Trail, NC",Porter Ridge
4,Lance McMillan,DB,FR,6-0,160,"Greensboro, NC",Grimsley
45,Javonte Misenheimer,LB,SO,6-1,230,"Concord, NC",Jay M. Robinson
91,Corey Mobley,DE,JR,6-3,225,"Charlotte, NC",Myers Park
30,Tyler Murray,LB,JR,-,-,"Jacksonville, FL",Baldwin
44,Zack Nicholson,P,FR,-,-,"Statesville, NC",Statesville
6,Marquill Osborne,DB,SR,5-11,185,"Cornelius, NC",Hough
46,Dillon Overholt,DB,FR,6-2,188,"Tryon, NC",Polk County
26,Caleb Parker,RB,FR,6-0,188,"Wilmington, NC",Eugene Ashley
89,Quinton Patten,WR,FR,6-0,185,"Blythewood, SC",Blythewood
29,Jonnie Pitman,DB,FR,5-11,175,"Temple Hills, MD",Potomac
42,Tiaseer Rambert,LB,FR,6-2,210,"Jacksonville, NC",Jacksonville
69,Dejan Rasuo,OL,FR,6-6,280,"Greensboro, NC",Ragsdale
10,Dylan Ratliff,QB,FR,6-0,165,"Harrisburg, NC",Hickory Ridge
58,Johnny Ray,DL,JR,6-4,258,"Mt. Pleasant, SC",Wando
84,Rhett Read,TE,JR,6-4,230,"Buffalo, TX",Leon
24,Malachi Rennix,RB,FR,5-7,160,"Concord, NC",Northside Christian
3,Chris Reynolds,QB,SO,5-11,199,"Mocksville, NC",Davie
81,Tyler Ringwood,WR,JR,6-3,221,"Buffalo, NY",Bishop-Timon-St. Jude
80,Christian Roberson,TE,SR,6-5,245,"Powder Springs, GA",McEachern
24,Solomon Rogers,DB,FR,6-0,180,"Wake Forest, NC",Rolesville
86,Moss Saccomanno,TE,SO,6-4,235,"Smiths Station, AL",Smiths Station
22,Henry Segura,LB,SO,6-2,208,"Tallahassee, FL",Leon
33,Jaylon Sharpe,LB,FR,6-3,225,"Charlotte, NC",Rocky River
86,Antoine Shaw,DE,SO,6-2,235,"Rockingham, NC",Richmond Senior
16,Evan Shirreffs,QB,SR,6-5,210,"Jefferson, GA",Jefferson
13,Terrick Smalls Jr.,RB,FR,5-9,199,"Savannah, GA",Benedictine Military
92,Demond Stewart,DL,JR,6-2,295,"Laplace, LA",East St. John
54,Dominic Taylor,OL,SR,6-3,287,"Snellville, GA",Shiloh
8,Willie Taylor,QB,FR,6-3,195,"Cary, NC",Green Hope
50,John Thierfelder,LB,SO,6-2,225,"Gastonia, NC",St. Joseph Academy
14,Joe Thompson,WR,JR,6-1,201,"Ashburn, VA",Stone Bridge
35,Josh Tilque,LS,FR,6-1,180,"Charlotte, NC",Statesville
75,Jonathan Timmons,OL,JR,6-3,345,"Memphis, TN",Southwind
9,Victor Tucker,WR,SO,5-11,182,"Miami Gardens, FL",Carol City
59,B.J. Turner,LB,FR,6-1,208,"Greensboro, NC",Page
18,Jackson Van Sickle,K,SR,6-1,205,"Charlotte, NC",Charlotte Christian
60,Bryan Wallace,DL,FR,6-5,260,"Berryville, VA",Clarke County
40,Markees Watts,LB,SO,6-2,215,"Gaston, SC",Dutch Fork
63,Jacob Webb,OL,SO,6-5,286,"Canton, GA",Creekview
72,Gage Welborn,OL,FR,6-5,265,"Stanley, NC",East Lincoln
97,Damon Weldon,DE,FR,6-4,238,"Roanoke, VA",William Fleming
47,Jack Wellenhofer,LS,JR,6-2,193,"Rocky Mount, NC",Rocky Mount Senior
17,Ford Werness,QB,FR,6-0,189,"Raleigh, NC",Millbrook
93,Emmanuel White,DE,SO,6-7,235,"Huntersville, NC",Victory Christian
27,Bryson Whitehead,DB,FR,5-11,180,"Cornelius, NC",Hough
83,Chris Wiggins,WR,FR,6-1,184,"Greensboro, NC",Grimsley
96,Jaison Williams,DE,SR,6-1,225,"Trussville, AL",Hewitt Trussville
38,Jaylan Williams,TE,FR,6-4,220,"Acworth, GA",Allatoona
35,Lacy Williams,DB,FR,5-11,178,"Jacksonville, NC",Northside
