No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Malik Banks,DB,FR,6-1,203,"Hockessin, DE",Howard HS of Technology
38,Lavarey Banton,RB,FR,5-10,215,"Hartford, CT",Hartford Public
12,Mike Beaudry,QB,SR,6-5,250,"Orlando, FL",Hagerty HS
2,Myles Bell,DB,FR,6-0,172,"Plantation, FL",St. Thomas Aquinas
28,Dante Black,RB,FR,5-10,191,"Lilburn, GA",Brookwood
60,Ben Bonvicini,OL,SR,6-1,314,"Torrington, CT",Torrington
79,Noel Brouse,OL,JR,6-4,279,"Slatington, PA",Parkland
83,Ardell Brown,WR,SR,5-10,180,"Rochester, NY",Bishop Kearney
72,Rayonte Brown,OL,FR,6-6,255,"Baltimore, MD",Dundalk HS
47,Justin Bryant,LB,FR,5-11,227,"Bridgewater, NJ",Bridgewater-Raritan
3,Garrison Burnett,WR,SO,5-10,193,"Washington, DC",Maret School
63,Kevin Cahill,LS,FR,6-3,230,"Summit, NJ",Summit
39,Ryan Carroll,DB,SO,6-1,180,"Temple Hills, MD",Potomac
86,Kevens Clercius,WR,FR,6-3,195,"Montreal, Canada",Henri-Bourassa
25,Tyler Coyle,DB,JR,6-1,205,"Windsor, CT",Windsor
70,Cam DeGeorge,OL,JR,6-4,290,"Lynnfield, MA",Lynnfield
93,Pierce DeVaughn,DL,FR,6-4,251,"Plano, TX",Prestonwood Christian
31,Malik Dixon,DB,FR,6-0,189,"Orlando, FL",Wekiva HS
85,Russell Dixon,TE,FR,6-2,206,"Edmonton, Canada",-
82,Mason Donaldson,WR,JR,6-2,207,"Allentown, PA",Salisbury Township
88,Matt Drayton,WR,FR,6-1,198,"Jacksonville, FL",Raines HS
8,Jalon Ferrell,DB,FR,6-2,202,"Miami, FL",Miami Killian Senior
81,Jacob Flynn,WR,FR,5-11,174,"Southington, CT",Southington High School
13,Miles Foerster,QB,FR,6-2,207,"Amherst, MA",St. Thomas More
27,Omar Fortt,LB,JR,6-0,196,"Stamford, CT",St. Luke's High School
5,Terrence Ganyi,LB,FR,6-2,211,"Montreal, Canada",Dalbe Viau
42,T.J. Gardner,DL,SO,6-2,244,"Windsor, CT",Windsor
46,AJ Garson,DL,JR,6-4,234,"Palm Beach Gardens, FL",Oxbridge Academy
89,Jahkai Gill,WR,FR,5-9,175,"Hartford, CT",Capital Prep Magnet School
36,Khyon Gillespie,RB,FR,5-11,175,"Hartford, CT",Capital Prep Magnet School
45,Ryan Gilmartin,LB,JR,5-11,227,"Weddington, NC",Charlotte Christian Academy
96,Dalmont Gourdine,DL,FR,6-3,272,"Charleston, SC",Garrett Academy
81,Brett Graham,P,JR,6-3,200,"State College, PA",State College Area
6,Eddie Hahn,LB,JR,6-3,223,"Port Monmouth, NJ",Red Bank Catholic
87,Cameron Hairston,WR,SO,6-2,190,"Lee's Summit, MO",Lee's Summit North
3,Diamond Harrell,DB,JR,6-1,192,"Canoga Park, CA",Chaminade College Prep
49,Clayton Harris,K,FR,6-0,170,"Havre de Grace, MD",Havre de Grace
58,Dillon Harris,LB,JR,6-0,225,"Bloomfield, CT",Cheshire Academy
64,Christian Haynes,OL,FR,6-4,304,"Bowie, MD",Bowie
14,Tahj Herring-Wilson,DB,JR,6-1,190,"Hartford, CT",Suffield Academy
54,Robert Holmes,OL,SO,6-3,310,"West Palm Beach, FL",Oxbridge Academy
55,Stanley Hubbard III,OL,SO,6-3,293,"Capitol Heights, MD",St. John's College
92,Noah Iden,K,FR,6-2,205,"North Kingstown, RI",North Kingstown
84,Elijah Jeffreys,WR,FR,6-4,207,"Somerville, MA",Somerville
36,Jaylen Jones,DB,FR,6-1,193,"Houston, TX",Hastings
48,Kevon Jones,DL,SO,6-2,252,"East Hartford, CT",East Hartford
57,Travis Jones,DL,SO,6-4,336,"New Haven, CT",Wilbur Cross
39,Hayden Jordan,WR,FR,5-7,173,"Hartford, CT",Sport and Medical Sciences Acad.
38,Winston Jules,DB,FR,5-11,166,"Brooklyn, NY",Salisbury School
53,Brian Keating,LS,JR,6-0,230,"Darien, CT",Darien
20,Robert P. King III,DB,SO,6-0,182,"Philadelphia, PA",Father Judge
4,Steven Krajewski,QB,FR,6-4,207,"Macomb, MI",Colquitt County
32,Shamel Lazarus,DB,FR,6-2,184,"Jamaica, NY",Erasmus Hall
7,Micah Leon,QB,SO,6-5,215,"Boynton Beach, FL",Boca Raton
56,Nino Leone,OL,JR,6-4,312,"Middleton, MA",Pingree School
26,Stanley Little,RB,SR,5-9,190,"Waterbury, CT",Kennedy High School
21,Jeremy Lucien,DB,SO,6-2,185,"Moore Township, PA",Choate Rosemary Hall
75,Chase Lundt,OL,FR,6-7,285,"Arlington, TX",Martin HS
99,Luke Magliozzi,P,SO,6-3,197,"Westmeadows, Australia",Essendon Keilor
80,Heron Maurisseau,WR,FR,5-10,179,"Bellport, NY",St. Anthony's
40,Jayce Medlock,TE,FR,6-2,225,"DeSoto, TX",DeSoto HS
34,Kevin Mensah,RB,JR,5-9,198,"Worcester, MA",Shepherd Hill Regional High School
59,Andrew Migliaccio,DL,JR,6-3,280,"Granby, CT",Granby Memorial
43,Jackson Mitchell,LB,FR,6-2,210,"Ridgefield, CT",Ridgefield HS
35,Dominico Moncion,RB,SO,5-9,196,"Storrs, CT",Liberty Christian Academy
68,Justin Moore,DL,FR,6-4,273,"Carrollton, TX",Trinity Christian
41,D.J. Morgan,LB,SR,6-2,224,"Norwalk, CA",Saint John Bosco
29,Jordan Morrison,LB,FR,6-1,204,"Hamilton, NJ",Steinert-Hamilton East
50,Dylan Niedrowski,OL,FR,6-4,303,"Reading, PA",Exeter Township
30,Donevin O'Reilly,RB,SR,5-9,190,"Glastonbury, CT",Glastonbury HS
90,Tim O'Shea,TE,FR,6-4,230,"Southington, CT",Southington
62,Noel Ofori-Nyadu,OL,FR,6-2,280,"Arlington, TX",Timberview
