No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
77,Nick Abbs,OL,SR,6-5,295,"Portland, OR",Gresham HS/Fresno City College
58,Dante Adkins Jr.,OL,FR,6-3,287,"Lancaster, CA",Highland HS
79,Nick Aibuedefe,OL,SR,6-4,285,"Sacramento, CA",Capital Christian HS
75,Alex Akingbulu,OL,JR,6-5,285,"Carson, CA",Narbonne HS/UCLA
70,Tim Anderson,OL,JR,6-5,270,"Mission Viejo, CA",Capistrano Valley HS/Saddleback College
81,Ricardo Arias,TE,FR,6-1,219,"Fresno, CA",Clovis West HS
90,Kevin Atkins,DT,JR,6-2,295,"Murrieta, CA",Vista Murrieta HS
6,Levelle Bailey,LB,FR,6-2,200,"Sacramento, CA",Luther Burbank HS
29,Estevan Barragan,RB,FR,5-8,173,"Ceres, CA",Central Valley HS
71,Marc-David Bien-Aime,OL,FR,6-5,350,"Montreal, Canada",Montmorency College
28,Jevon Bigelow,RB,SO,6-1,218,"Fresno, CA",Central HS/Wyoming
49,Tanner Blount,LB,FR,6-0,210,"Clovis, CA",Buchanan HS
5,Devo Bridges,LB,FR,6-2,245,"Rialto, CA",Carter HS
85,Erik Brooks,WR,FR,5-7,165,"Corona, CA",Roosevelt HS
45,Kurtis Brown,DL,SO,6-1,290,"Bakersfield, CA",Liberty HS/Arizona
14,Jaron Bryant,DB,SR,6-1,185,"Fort Worth, TX",Duncanville HS
72,Dontae Bull,OL,SO,6-6,324,"Victoria, Canada",Belmont Secondary
42,Richard Cage,LB,SO,6-1,220,"Corona, CA",Eleanor Roosevelt HS
34,Kyvin Carroll,LB,FR,5-11,248,"Bryant, AR",Benton HS
73,Elijah Carson,OL,FR,6-8,303,"San Diego, CA",Morse HS
8,Chris Coleman,WR,SO,5-11,186,"Bakersfield, CA",Garces Memorial HS
17,Steven Comstock,QB,FR,6-0,199,"Glendora, CA",Northview HS
5,Jalen Cropper,WR,FR,5-11,155,"Parlier, CA",Buchanan HS
51,Alex Cruz,DE,SO,6-2,240,"Concord, CA",Concord HS
47,Blake Cusick,P,SR,6-2,185,"Monrovia, CA",Monrovia HS
19,Frank Dalena,WR,SR,5-8,155,"Fresno, CA",San Joaquin Memorial HS
39,Jason Diaz Jr.,DB,JR,5-10,170,"Fresno, CA",Clovis West HS/San Jose City College
10,Peyton Dixon,RB,FR,5-11,200,"Reno, NV",Bishop Manogue HS
43,Alex Dumais,DL,FR,6-3,285,"Montreal, Canada",Saint Paul-CA HS
27,LJ Early,DB,JR,5-11,197,"Tulare, CA",Tulare Western HS/Bakersfield College
34,Zion Echols,RB,JR,5-9,185,"Covina, CA",Charter Oak/Cal/Mt. San Antonio College
4,Emoryie Edwards,WR,FR,5-11,193,"Tulare, CA",Tulare Union
2,Patrick Elima-Jeune,WR,SO,6-0,194,"Inglewood, CA",Morningside HS
16,Rian Fields,LB,FR,6-5,201,"Irvine, CA",Irvine HS
4,Wylan Free,DB,SO,6-2,185,"Compton, CA",Lynwood HS
51,Jace Fuamatu,OL,FR,6-3,295,"Bellflower, CA",St. John Bosco
37,Asa Fuller,K,SO,6-2,220,"Fountain Valley, CA",Servite HS
36,Cade Fuller,P,FR,6-2,200,"Long Beach, CA",Servite HS
30,Kenny Gagnon,DB,JR,5-11,185,"La Quinta, CA",Desert Christian Academy
2,Chris Gaston,DB,SO,6-1,183,"La Puente, CA",Bishop Amat HS
56,Zack Gieg,OL,FR,6-0,290,"Salinas, CA",Valley Christian HS
3,Jamal Glaspie,WR,FR,6-0,178,"Los Angeles, CA",Culver City HS
7,Derrion Grim,WR,SR,6-1,195,"Stockton, CA",McNair HS/Delta JC
7,Jake Haener,QB,SO,6-0,193,"Danville, CA",Monte Vista/Washington
53,Travis Hansen,OL,FR,6-0,270,"Palmdale, CA",Paraclete HS
32,Romello Harris,RB,JR,5-11,187,"Tulare, CA",Tulare Union HS/Washington State
93,Jasad Haynes,DT,SR,6-1,285,"Fresno, CA",Clovis North HS
41,Dorrzel Hicks,LB,SR,5-10,222,"Sacramento, CA",Grant HS/College of San Mateo
9,Josh Hokit,RB,SR,6-1,225,"Clovis, CA",Clovis HS
48,Jacob Hollins,LB,SO,6-1,215,"Fresno, CA",Central HS/Illinois
23,Juju Hughes,DB,SR,5-11,188,"Hanford, CA",Hanford HS
98,Keiti Iakopo,DT,SR,5-11,290,"Santa Ana, CA",Fountain Valley HS/Golden West College
10,Deven Jarvis,DB,FR,6-0,195,"West Covina, CA",Bishop Amat HS
18,Isaiah Johnson,DL,SO,6-3,235,"Modesto, CA",Downey HS
24,Saevion Johnson,RB,JR,6-0,210,"Pearland, TX",Pearland Dawson HS
33,Kwami Jones,DE,SR,6-2,250,"San Francisco, CA",Serra HS/College of San Mateo
26,Randy Jordan,DB,FR,5-9,170,"Tulare, CA",Tulare Union HS
25,Josh Kelly,WR,FR,6-1,179,"Fresno, CA",San Joaquin Memorial HS
45,Carson King,P,FR,6-0,190,"Livermore, CA",Foothill HS
11,Sherwin King Jr.,LB,FR,5-11,210,"Fresno, CA",Sunnyside
62,Matt Kjeldgaard,OL,FR,6-2,295,"Oakdale, CA",Oakdale HS
18,Nate Lamb,QB,FR,6-3,210,"Visalia, CA",Tulare Union HS
35,Malachi Langley,LB,FR,6-0,230,"Los Angeles, CA",Pasadena HS
91,Matt Lawson,DL,FR,6-0,295,"Ontario, CA",Colony HS
38,Bralyn Lux,DB,FR,5-9,170,"San Jose, CA",King's Academy
