No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
77,Brian Abosi,OL,SO,6-8,300,"Worcester, MA",St. John's/Worcester Academy
15,Jordan Adams,CB,SR,5-11,185,"Reisterstown, MD",Franklin/West Virginia
22,Bilal Ally,RB,JR,5-11,185,"Jacksonville, FL",Clay
81,Delvin Attafah,WR,FR,6-1,200,"Worcester, MA",Abby Kelley Foster Charter School
83,Adam Billard,WR,SO,6-0,200,"Marion, MA",Tabor Academy/Wagner College
62,Harry Blair,LS,SO,6-3,210,"Garden City, NY",Garden City
45,Cyrus Bonsu,RB,FR,5-10,205,"Worcester, MA",Abby Kelley Foster Charter Public School
13,"James Bowe, Jr.",LB,SR,6-1,195,"Miami, FL",Killian
4,Noah Boykin,DB,FR,6-1,180,"Washington, DC",Howard D. Woodson/Notre Dame
12,Andrew Brito,QB,SO,5-8,170,"Paramus, NJ",Paramus Catholic/College of the Canyons (Calif.)
1,Jessie Britt,WR,SO,5-10,205,"Lake Alfred, FL",Auburndale
34,Kevin Brown,RB,FR,6-0,225,"Dorchester, MA",Everett
97,Jake Byczko,DL,JR,6-3,260,"Auburn, MA",Lawrence Academy/Saint John's
30,Mike Caggiano,K,SR,5-10,175,"Manalapan, NJ",Manalapan
20,Claudin Cherrelus,LB,SO,6-1,205,"Golden Gate, FL",Golden Gate
59,Larnel Coleman,OL,JR,6-7,300,"Malden, MA",St. Clement
86,Will Connery,WR,JR,5-10,175,"Reading, MA",Reading Memorial/Trinity College (Conn.)
17,Michael Curtis,QB,SR,6-2,215,"Richardson, TX",Prime Prep Academy/Trinity Valley Community College
31,Logan Darby,S,JR,6-0,190,"Bentonville, AR",Bentonville/Southwestern College (Calif.)
38,Tanner Davis,S,FR,5-11,190,"Kingston, NY",Cheshire Academy (Conn.)
90,Evan Deckers,LS,SO,6-3,250,"Avon, CT",Avon Old Farms
45,Adam Deese,TE,SO,6-2,245,"Belmont, MA",Belmont
73,Chris DiTommaso,DL,SO,6-4,305,"Franklin Lakes, NJ",Ramapo
4,Brennon Dingle,WR,JR,5-10,180,"Baltimore, MD",Perry Hall
36,Andre Domond,CB,JR,5-9,195,"Cambridge, MA",Cambridge Rindge & Latin
84,Ryan Driscoll,WR,FR,5-11,165,"Franklin, MA",Franklin
37,Nathan Drislane,LB,SO,5-10,200,"Lynnfield, MA",Lynnfield
96,Patrick Duffy,K,FR,5-10,150,"Wilmington, DE",Salesianum
19,Garrett Dzuro,QB,FR,5-11,200,"Lakewood, OH",St. Edward
18,Taylor Edwards,TE,JR,6-4,260,"Wilmington, DE",Alexis I. DuPont
19,Samuel Emilus,WR,SO,6-1,200,"Montreal, Canada",Vanier College
52,Uchenna Ezewike,DL,FR,6-1,230,"Fort Lauderdale, FL",Stranahan
68,Helber Fagundes,OL,FR,6-5,290,"Methuen, MA",Everett
3,Mike Fallon,QB,JR,6-2,195,"Milton, MA",Milton/Sacred Heart (Conn.)
84,Liam Fitzpatrick,WR,SO,5-10,195,"Winchester, MA",Winchester
55,Wilson Frederic,DL,FR,6-2,275,"Everett, MA",Everett
37,Cooper Garcia,K,SR,5-8,220,"Ventura, CA",Nordhoff/Ventura College
88,George Georgopoulos,P,SO,6-2,225,"Greenville, SC",J.L. Mann
44,Xavier Gonsalves,DL,FR,6-3,255,"Mashpee, MA",Mashpee
75,Xavier Graham,OL,FR,6-3,315,"Niceville, FL",Niceville
82,Melvin Hill,WR,SO,6-2,200,"Mobile, AL",Baker
85,Kyle Horn,TE,SR,6-5,245,"Pembroke, MA",Pembroke
25,Chris Hunt,CB,SO,6-0,180,"Virginia Beach, VA",Bishop Sullivan
21,Tyshaun Ingram,DL,SR,6-1,225,"Orlando, FL",Winter Park
27,Elijah Johnson,CB,FR,5-11,195,"East Longmeadow, MA",East Longmeadow
16,Josiah Johnson,TE,FR,6-5,210,"Jacksonville, FL",Bolles School
10,"Jermaine Johnson, Jr.",WR,FR,5-10,165,"Hyattsville, MD",DeMatha Catholic
14,Taj Jones,ATH,FR,6-2,200,"Paterson, NJ",Pope John XXIII
35,Shannon Junior II,DL,FR,6-3,210,"Humble, TX",Atascocita
40,Aaron Kelly,S,JR,6-2,190,"Washington, DC",Potomac/ASA College (N.Y.)
76,Jaylen Larry,OL,SO,6-3,275,"Pasadena, CA",Oaks Christian/Milford Academy (N.Y.)
63,Grant Laws,DL,FR,6-0,305,"Halifax, MA",Xavieran Brothers
32,Tyris Lebeau,LB,SO,6-1,210,"Montreal, Canada",Vanier College
28,Justin Lewis,CB,SO,5-10,170,"Opelika, AL",Opelika
5,Donte Lindsey,CB,FR,5-9,175,"Fayetteville, NC",Mountain Pointe (Ariz.)
61,Max Longman,OL,FR,6-5,320,"Portage, MI",Portage Central
29,Martin Mangram,S,SR,5-11,190,"Buford, GA",Buford
98,Jeremy Martin,K,JR,5-11,190,"Charlton, MA",Shepherd Hill/Plymouth State
21,Jared Martino,RB,FR,5-10,215,"Malden, MA",Cheshire Academy (Conn.)
56,Cletus Mathurin,DL,FR,6-2,290,"Hartford, CT",Cheshire Academy
51,Sharkell Matthews,LB,FR,6-1,225,"Boston, MA",Salisbury School (Conn.)
46,Cole McCubrey,LB,JR,6-1,235,"Boylston, MA",West Boylston/Tahanto
18,Luke McMenamin,QB,FR,6-3,205,"Milton, MA",Milton
27,Jack Melville,CB,FR,6-0,190,"Boston, MA",Boston College High School
2,Jarvis Miller,LB,SR,6-2,225,"Suffield, CT",Suffield/Penn State
79,Alec Miseo,OL,FR,6-3,300,"Bridgewater, NJ",Bridgewater-Raritan
60,Timothy Moulton,DL,FR,6-3,240,"Philadelphia, PA",Archbishop Ryan
39,Dante Nardi,CB,FR,5-10,170,"Kingston, NY",Berkshire School (Mass.)
23,Michael Nesmith,LB,SO,5-9,190,"Hallandale Beach, FL",Hallandale
7,Joseph Norwood,S,SO,5-11,180,"Chattanooga, TN",Brainerd
95,Jordan O'Connor,LS,FR,6-0,230,"Fairport, NY",Fairport
17,Chinedu Ogbonna,LB,JR,6-2,225,"Marietta, GA",Wheeler
53,Parker Ogle,OL,FR,6-3,280,"Palm Beach Gardens, FL",Palm Beach Gardens
24,Nick Orekoya,RB,JR,5-10,210,"Billerica, MA",Everett/Avon Old Farms (Conn.)
87,Jacob Orlando,TE,FR,6-5,230,"Buffalo, NY",Williamsville North
99,Dennis Osagiede,DL,SO,6-0,290,"Missouri City, TX",Ridge Point
91,Evan Padilla,K,SO,5-7,175,"San Diego, CA",Del Norte
14,Jaret Pallotta,QB,FR,6-5,215,"Massillon, OH",Jackson
6,Sadiq Palmer,WR,SR,6-2,190,"Red Bank, NJ",Red Bank Regional
64,Charles Payson,OL,FR,6-0,290,"Worcester, MA",Doherty Memorial
87,Avien Peah,DL,SR,6-2,260,"Providence, RI",La Salle Academy
42,Kerry Raymond,RB,SO,5-11,215,"Brockton, MA",Brockton
23,Cam Roberson,WR,JR,5-11,190,"Bakersfield, CA",Garces Memorial/Bakersfield College
9,Isaiah Rodgers,CB,SR,5-10,170,"Tampa, FL",Blake
47,Da'Shon Ross,LB,FR,5-11,210,"Moore Haven, FL",Moore Haven
33,Mike Ruane,LB,JR,5-11,230,"Middletown, NJ",Rumson-Fair Haven Regional
43,Victor Santiago,RB,SO,5-9,165,"Bethlehem, PA",Liberty High School/Milford Academy (N.Y.)
11,Zak Simon,WR,SO,5-10,180,"Temecula, CA",Temecula Valley
66,Aditya Singh,OL,FR,5-10,265,"East Brunswick, NJ",East Brunswick
89,Solomon Siskind,TE,SO,6-4,220,"Brockton, MA",Tabor Academy
26,Xavier Steele,LB,SO,5-11,190,"Hemet, CA",Orange Lutheran
78,Michael Sullivan,OL,FR,6-5,325,"Norfolk, MA",Noble & Greenough
57,Ray Thomas-Ishman,OL,SR,6-5,320,"Philadelphia, PA",Simon Gratz
94,Charly Timite,DL,JR,6-3,280,"Philadelphia, PA",Simon Gratz
67,Dalton Tomlison,OL,SO,6-5,310,"Beaver, OH",Eastern
48,Gilberto Torres,RB,JR,6-0,225,"Willimantic, CT",Windham/Victor Valley College (Calif.)
48,Trace Trant,LB,FR,6-0,210,"Tewksbury, MA",Tewksbury Memorial
80,Javon Turner,WR,JR,6-1,195,"Newark, NJ",Paramus Catholic/Lackawanna College
69,Bryce Wade,OL,JR,6-7,285,"Albuquerque, NM",Eldorado/Jones County College
12,Josh Wallace,CB,FR,6-1,170,"Hyattsville, MD",DeMatha Catholic
92,Caeleb Washington,DL,SO,6-1,275,"Melbourne, FL",Melbourne/Georgia Prep Sports Academy (Ga.)
54,Johnathon Weir,DL,FR,5-10,230,"Maplewood, NJ",Milford Academy (N.Y.)
13,Randall West,QB,SR,6-4,220,"Moorestown, NJ",Lawrenceville School
8,Dariyan Wiley,WR,FR,6-3,200,"Douglasville, GA",Douglasville County
42,Billy Wooden,DL,FR,6-2,290,"Towson, MD",Calvert Hall
50,Mike Yerardi,OL,SR,6-4,320,"Cohasset, MA",Cohasset/Suffield Academy (Conn.)
