No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Connor Adair,QB,SO,6-4,191,"Trussville, AL",Hewitt-Trussville HS
37,Jaylon Allen,DE,FR,6-2,228,"Humble, TX",Atascocita HS
16,Nehemiah Augustus,LB,JR,6-0,203,"Patterson, LA",Patterson HS
84,Calvin Austin III,WR,SO,5-9,163,"Memphis, TN",Harding Academy
76,Blaine Bishop,OL,FR,6-3,290,"Tallahassee, FL",North Florida Christian
41,Sanchez Blake Jr.,DB,SO,6-0,204,"Olive Branch, MS",Olive Branch HS
68,Nathan Bradley,OL,FR,6-3,316,"Millington, TN",Tipton-Rosemark Academy
42,Preston Brady,LS,SO,6-0,215,"Cordova, TN",Evangelical Christian School
57,Nigel Brannon,DL,FR,6-5,350,"Oklahoma City, OK",John Marshall HS
95,Keith Brigham,DL,SR,6-3,292,"Normal, IL",West/Pima CC
9,John Broussard Jr.,DB,JR,6-0,179,"Phenix City, AL",Central HS/Auburn
99,Braylon Brown,DL,SO,6-4,260,"Cordova, TN",Cordova HS
3,Keith Brown Jr.,LB,JR,6-1,236,"Madison, MS",Madison Central HS/Northwest Mississippi CC
11,Joey Bryant,DB,SR,6-1,180,"Liliha, HI",Saint Louis/Arizona State
2,T.J. Carter,DB,JR,5-11,189,"Nashville, TN",Stratford HS
25,Rodrigues Clark,RB,FR,6-0,202,"Starkville, MS",Starkville HS
7,Chris Claybrooks,DB,SR,6-0,176,"Nashville, TN",McGavock HS/Fort Scott CC/Coahoma CC
13,Jalil Clemons,DL,FR,6-3,240,"Starkville, MS",Starkville HS
47,Colton Cochran,DB,JR,6-0,202,"Memphis, TN",St. Benedict at Auburndale
10,Damonte Coxie,WR,JR,6-3,197,"Reserve, LA",East St. John HS
8,Xavier Cullens,LB,SO,6-1,220,"Ecru, MS",North Pontotoc HS
5,Everitt Cunningham,DE,JR,6-3,241,"West Point, MS",West Point HS/East Mississippi CC
75,Matt Dale,OL,JR,6-6,335,"Raymond, MS",Kemper County HS/Hinds CC
88,Tyce Daniel,TE,SO,6-4,233,"Paducah, KY",McCracken County HS
72,Michael Denson,OL,SO,6-5,275,"Rockwall, TX",Rockwall=Heath/Tyler JC
79,Scottie Dill,OL,SR,6-7,297,"Eads, TN",Briarcrest Christian HS
94,Joseph Dorceus,DL,JR,6-0,260,"Spring, TX",Spring HS
97,Wardalis Ducksworth,DL,JR,6-4,248,"Mize, MS",Mize HS/Jones County JC
5,Sean Dykes,TE,SR,6-2,221,"Houston, TX",Manvel HS
50,Jared Edwards,TE,FR,6-4,281,"Evensville, TN",Rhea County HS
74,Isaac Ellis,OL,FR,6-2,310,"Monroe, LA",Carroll HS
77,Obinna Eze,OL,SO,6-8,303,"Nashville, TN",Davidson Academy
80,Coye' Fairman,WR,SO,6-3,203,"Humble, TX",Atascocita HS
71,Evan Fields,OL,FR,6-5,293,"Sharpsburg, GA",East Coweta HS
24,Cameron Fleming,DB,FR,5-7,176,"Cedar Hill, TX",Cedar Hill HS
16,Sky Forest,QB,FR,6-5,230,"Memphis, TN",Lausanne
45,Raymond Fracchia,DB,FR,5-11,187,"Memphis, TN",Christian Brothers HS
32,Jacobi Francis,DB,JR,5-10,186,"Covington, GA",Newton HS
19,Kenneth Gainwell,RB,FR,5-11,191,"Yazoo City, MS",Yazoo County HS
34,Tyler Garvey,LB,SO,6-1,218,"Collierville, TN",Collierville HS
