No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
83,Erick All,TE,FR,6-4,229,"Fairfield, OH",Fairfield
49,Lucas Andrighetto,RB,SO,5-11,202,"Mountain View, CA",St. Francis
34,Jordan Anthony,LB,JR,6-0,245,"Silver Spring, MD",IMG Academy
52,Karsen Barnhart,OL,FR,6-4,301,"Paw Paw, MI",Paw Paw
23,Michael Barrett,LB,SO,6-0,227,"Valdosta, GA",Lowndes
41,John Baty,DB,SR,5-11,170,"Honolulu, HI",Hilton Head Island
36,Ramsey Baty,TE,SO,6-5,225,"Fort Lauderdale, FL",Archbishop McCarthy
8,Ronnie Bell,WR,SO,6-0,184,"Kansas City, MO",Park Hill
7,Tarik Black,WR,JR,6-3,215,"Hamden, CT",Cheshire Academy
74,Ben Bredeson,OL,SR,6-5,325,"Hartland, WI",Arrowhead
46,Matt Brown,RB,JR,6-0,225,"Solon, OH",Solon
35,Luke Buckman,TE,SO,6-5,235,"Holland, MI",Holland
45,Peter Bush,RB,SR,6-2,220,"Newport Beach, CA",Corona Del Mar
20,Nicholas Capatina,RB,JR,5-9,192,"Detroit, MI",Novi Catholic
18,George Caratan,P,SO,6-2,221,"Pacific Palisades, CA",St. Thomas More
58,Zach Carpenter,OL,FR,6-5,320,"Cincinnati, OH",Archbishop Moeller
23,Jordan Castleberry,RB,FR,5-7,185,"Lakewood, OH",St. Edward
44,Jared Char,RB,SR,5-11,200,"Farmington Hills, MI",Harrison
24,Zach Charbonnet,RB,FR,6-1,220,"Camarillo, CA",Oaks Christian
33,Camaron Cheeseman,LS,SR,6-4,230,"New Albany, OH",Gahanna Lincoln
30,Tyler Cochran,DB,SR,6-1,206,"Royal Oak, MI",Orchard Lake St. Mary's
4,Nico Collins,WR,JR,6-4,222,"Birmingham, AL",Clay-Chalkville
54,Kraig Correll,OL,SO,6-4,296,"Easton, PA",Blair Academy
4,Michael Danna,DL,SR,6-2,261,"Detroit, MI",Warren De La Salle
23,Jared Davis,DB,JR,5-11,202,"Frankenmuth, MI",Frankenmuth
37,Dane Drobocky,DL,SR,6-3,245,"Bowling Green, KY",Bowling Green
50,Michael Dwumfour,DL,SR,6-2,282,"Scotch Plains, NJ",DePaul Catholic
82,Nick Eubanks,TE,SR,6-5,256,"Plantation, FL",American Heritage
41,Adam Fakih,LB,JR,6-2,228,"Dearborn Heights, MI",Detroit Country Day
17,Sammy Faustin,DB,SO,6-2,195,"Naples, FL",Naples
38,Joseph Files,TE,SR,6-4,253,"Lake Orion, MI",Cranbrook Kingwood
66,Chuck Filiaga,OL,JR,6-6,341,"Aledo, TX",Aledo
60,Luke Fisher,OL,FR,6-4,270,"Plymouth, MI",Plymouth
62,Mica Gelb,OL,FR,6-4,299,"Washington, DC",Woodrow Wilson
57,Joey George,DL,SO,6-0,283,"Walled Lake, MI",Walled Lake Western
8,Devin Gil,LB,SR,6-1,236,"Pembroke Pines, FL",Flanagan
29,Jordan Glasgow,LB,SR,6-1,226,"Aurora, IL",Marmion Academy
31,Vincent Gray,DB,SO,6-2,185,"Rochester, MI",Rochester Adams
22,Gemon Green,DB,SO,6-2,180,"DeSoto, TX",DeSoto
13,German Green,DB,SO,6-2,180,"DeSoto, TX",DeSoto
32,Louis Grodman,DB,SR,5-11,196,"Commerce, MI",Walled Lake Northern
43,Tyler Grosz,WR,SR,6-1,203,"Auburn Hills, MI",Avondale
99,Trey Harper,LS,SR,6-5,240,"Dayton, OH",Chaminade-Julienne
49,Keshaun Harris,DB,FR,5-11,176,"Lansing, MI",Waverly
17,Will Hart,P,SR,6-3,206,"Hunting Valley, OH",University School
25,Hassan Haskins,RB,SO,6-1,220,"Eureka, MO",Eureka Senior
20,Brad Hawkins,DB,JR,6-1,218,"Camden, NJ",Suffield Academy (Conn.)
76,Ryan Hayes,OL,SO,6-7,299,"Traverse City, MI",Traverse City West
64,Mahdi Hazime,OL,FR,6-2,319,"Toronto, Canada",Fordson
16,Ren Hefley,QB,FR,6-0,177,"Bryant, AR",Bryant
30,Daxton Hill,DB,FR,6-0,190,"Tulsa, OK",Booker T. Washington
24,Lavert Hill,DB,SR,5-11,182,"Detroit, MI",Martin Luther King
15,Christopher Hinton,DL,FR,6-4,303,"Johns Creek, GA",Greater Atlanta Christian School
59,Joel Honigford,OL,JR,6-6,284,"Sugarcreek, OH",Garaway
7,Khaleke Hudson,LB,SR,6-0,220,"McKeesport, PA",McKeesport
28,Danny Hughes,RB,FR,6-0,192,"Naperville, IL",Naperville Central
97,Aidan Hutchinson,DL,SO,6-6,278,"Plymouth, MI",Divine Child
15,Giles Jackson,WR,FR,5-9,188,"Antioch, CA",Freedom
95,Donovan Jeter,DL,JR,6-3,290,"Beaver Falls, PA",Beaver Falls
6,Cornelius Johnson,WR,FR,6-3,209,"Greenwich, CT",Brunswick School
22,George Johnson,WR,FR,6-0,193,"Stuart, FL",Martin County
23,Quinten Johnson,DB,FR,5-10,198,"Washington, DC",St. John's College
61,Dan Jokisch,OL,SR,6-5,296,"Clarkston, MI",Orchard Lake St. Mary's
53,Trente Jones,OL,FR,6-4,294,"Grayson, GA",Grayson
77,Trevor Keegan,OL,FR,6-6,316,"Crystal Lake, IL",Crystal Lake
16,Jaylen Kelly-Powell,DB,JR,6-0,180,"Detroit, MI",Cass Technical
2,Carlo Kemp,DL,SR,6-3,286,"Boulder, CO",Fairview
92,Karl Kerska,K,FR,6-2,213,"Dexter, MI",Dexter
32,Nolan Knight,LB,FR,6-3,197,"Northville, MI",Northville
40,Caden Kolesar,DB,FR,5-10,196,"Westlake, OH",St. Edward
78,Griffin Korican,OL,SO,6-6,305,"Seattle, WA",O'Dea
37,Jonathan Lampani,LB,SR,6-1,234,"Grand Rapids, MI",Grand River Prep
9,Andy Maddox,QB,FR,6-4,212,"Prairie Village, KS",Shawnee Mission East
24,Jake Martin,WR,SR,5-11,197,"Grand Rapids, MI",Forest Hills Northern
42,Ben Mason,DL,JR,6-3,270,"Newtown, CT",Newtown
73,Jalen Mayfield,OL,SO,6-5,319,"Grand Rapids, MI",Catholic Central
10,Dylan McCaffrey,QB,JR,6-5,220,"Castle Rock, CO",Valor Christian
43,Jake McCurry,WR,JR,6-0,192,"Solon, OH",Solon
44,Cameron McGrone,LB,SO,6-1,232,"Indianapolis, IN",Lawrence Central
84,Sean McKeon,TE,SR,6-5,246,"Dudley, MA",Shepherd Hill Regional
12,Cade McNamara,QB,FR,6-1,205,"Reno, NV",Damonte Ranch
14,Josh Metellus,DB,SR,6-0,218,"Pembroke Pines, FL",Flanagan
5,Joe Milton,QB,SO,6-5,245,"Pahokee, FL",Olympia
2,Jake Moody,K,SO,6-0,198,"Northville, MI",Northville
80,Mike Morris,DL,FR,6-6,262,"Belle Glade, FL",American Heritage
85,Mustapha Muhammad,TE,SO,6-4,261,"Missouri City, TX",Ridge Point
54,Carl Myers,DL,SR,6-2,286,"Grand Rapids, MI",West Catholic
80,Hunter Neff,WR,FR,6-2,219,"Chelsea, MI",Chelsea
40,Ryan Nelson,LB,JR,5-10,198,"Northville, MI",Northville
99,Gabe Newburg,DL,FR,6-5,250,"Clayton, OH",Northmont
82,Desmond Nicholas,WR,SR,5-11,182,"Buffalo, NY",Canisius
3,Quinn Nordin,K,SR,6-1,196,"Rockford, MI",Rockford
71,David Ojabo,DL,FR,6-5,245,"Aberdeen, United Kingdom",Blair Academy
50,Michael Onwenu,OL,SR,6-3,350,"Detroit, MI",Cass Technical
92,Phillip Paea,DL,JR,6-4,302,"Berrien Springs, MI",Berrien Springs
2,Shea Patterson,QB,SR,6-2,202,"Shreveport, LA",IMG Academy
19,Kwity Paye,DL,JR,6-4,277,"Providence, RI",Bishop Hendricken
9,Donovan Peoples-Jones,WR,JR,6-2,208,"Detroit, MI",Cass Technical
3,Jalen Perry,DB,FR,6-0,190,"Dacula, GA",Dacula
38,Geoffrey Reeves,LB,SR,6-0,217,"Detroit, MI",University of Detroit Jesuit
39,Lawrence Reeves,LB,SO,6-0,200,"Bloomfield Hills, MI",Brother Rice
27,Hunter Reynolds,DB,JR,6-0,198,"South Orange, NJ",Choate Rosemary Hall
3,Brad Robbins,P,JR,6-1,199,"Westerville, OH",Westerville South
79,Greg Robinson,OL,SR,6-6,306,"Hudson, OH",Hudson
12,Josh Ross,LB,JR,6-2,232,"Southfield, MI",St. Mary's
51,Cesar Ruiz,OL,JR,6-4,319,"Camden, NJ",IMG Academy
55,Nolan Rumler,OL,FR,6-3,321,"Akron, OH",Archbishop Hoban
75,Jon Runyan,OL,SR,6-5,321,"Moorestown, NJ",St. Joseph's Prep
43,Andrew Russell,DB,FR,6-2,190,"Victor, NY",Victor
19,Mike Sainristil,WR,FR,5-10,183,"Everett, MA",Everett
81,Nate Schoenle,WR,SR,6-2,206,"Plymouth, MI",Ann Arbor Gabriel Richard
86,Luke Schoonmaker,TE,SO,6-6,242,"Hamden, CT",Hamden Hall
39,Alan Selzer,K,SR,6-3,178,"Dallas, TX",Lake Highlands
89,Carter Selzer,TE,JR,6-8,248,"Kansas City, MO",Rockhurst
6,Michael Sessa,QB,SR,6-8,215,"Hinsdale, IL",Hinsdale Central
81,Will Sessa,TE,FR,6-6,203,"Hinsdale, IL",Hinsdale Central
45,Adam Shibley,LB,JR,6-1,225,"Cleveland, OH",St. Ignatius
58,Mazi Smith,DL,FR,6-3,305,"Grand Rapids, MI",East Kentwood
10,Anthony Solomon,LB,FR,6-1,205,"Fort Lauderdale, FL",St. Thomas Aquinas
72,Stephen Spanellis,OL,SR,6-5,295,"Baltimore, MD",Gilman School
67,Jess Speight,DL,JR,6-5,288,"Richmond, VA",The Collegiate School
70,Jack Stewart,OL,FR,6-4,291,"New Canaan, CT",New Canaan
71,Andrew Stueber,OL,JR,6-7,334,"Darien, CT",Darien
1,Ambry Thomas,DB,JR,6-0,182,"Detroit, MI",Martin Luther King
13,Charles Thomas,LB,FR,6-0,233,"Atlanta, GA",St. Thomas More
39,Matt Torey,WR,SO,5-10,178,"Sterling Heights, MI",Brother Rice
3,Christian Turner,RB,SO,5-11,200,"Buford, GA",Buford
5,DJ Turner,DB,FR,6-0,180,"Suwanee, GA",IMG Academy
6,Josh Uche,LB,SR,6-2,250,"Miami, FL",Columbus
91,Taylor Upshaw,DL,SO,6-4,240,"Bradenton, FL",Braden River
40,Ben VanSumeren,RB,SO,6-2,244,"Essexville, MI",Garber
68,Andrew Vastardis,OL,SR,6-3,319,"Ashburn, VA",Stone Bridge
9,Joey Velazquez,LB,FR,6-0,213,"Columbus, OH",St. Francis De Sales
18,Luiji Vilain,DL,JR,6-4,244,"Ottawa, Canada",Episcopal (Va.)
49,William Wagner,LS,FR,6-1,236,"Alpharetta, GA",Alpharetta
96,Julius Welschof,DL,SO,6-6,278,"Miesbach, Germany",FOS Altoetting
15,Jacob West,WR,SR,6-1,212,"Pinckney, MI",Pinckney
18,Brendan White,WR,SR,6-1,197,"Scottsdale, AZ",Notre Dame Prep
13,Tru Wilson,RB,SR,5-10,200,"Warren, MI",De La Salle
26,J'Marick Woods,DB,JR,6-3,213,"Florence, AL",Florence
31,Jack Young,WR,JR,6-1,196,"Pittsburgh, PA",Mt. Lebanon
