No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Tevis Abraham,WR,SO,6-2,205,"Baton Rouge, LA",Southern Lab HS
14,Josh Adkins,QB,SO,6-2,217,"Spring Branch, TX",Smithson Valley HS
84,Ethan Albertson,K,SO,6-2,223,"San Diego, CA",Mt. Carmel HS/Grossmont College
22,Eli Anderson,RB,SO,5-11,208,"La Habra, CA",La Habra HS
70,David Ash,OL,SO,6-4,300,"El Paso, TX",Eastwood HS
81,Ivan Avina,DB,FR,5-9,193,"El Paso, TX",Eastlake HS
2,Chris Bell,DB,JR,6-3,205,"Hendersonville, TN",Pope John Paul II HS/Independence CC
65,Tony Bello,OL,SR,6-4,300,"Denver, CO",Bear Creek HS
6,Andre Bodison,WR,JR,6-4,205,"Palm Coast, FL",Matanzas HS/New Mexico Military Institute
-,Michael Bowe Jr.,LB,JR,6-3,225,"Plantation, FL",American Heritage HS/City College of San Francisco
80,Trevor Brohard,LB,SO,6-3,232,"Los Lunas, NM",Los Lunas HS
18,Dylan Brown,K,SR,6-1,182,"Chandler, AZ",Hamilton HS/Phoenix College
18,Marcus Buckley,DL,SO,6-2,290,"Weatherford, TX",Weatherford HS
1,Ray Buford Jr.,DB,SR,6-2,205,"Detroit, MI",Southfield HS/Independence CC
35,Josh Carlson,P,SO,6-0,183,"Glibert, AZ",Gilbert HS/Dixie State
2,OJ Clark,WR,SR,5-7,160,"Wichita Falls, TX",Wichita Falls HS
66,Patrick Colesante,OL,FR,6-2,292,"Missouri City, TX",Elkins HS
11,Chance Cook,DB,JR,6-0,210,"Canadian, TX",Canadian HS/Oklahoma State
9,Drew Dan,WR,JR,6-3,190,"Muskogee, OK",Checotah HS
41,Brennon Davis,LB,JR,6-2,233,"Grapevine, TX",Grapevine HS/Tyler JC
4,Robert Downs III,WR,JR,5-11,195,"Anaheim, CA",Valley Christian HS/Fullerton JC
76,Sage Doxtater,OL,SR,6-7,330,"Welland, Canada",Canada Prep Academy
31,Mike Edwards,DL,SO,6-3,230,"Muskogee, OK",Muskogee HS
17,Weston Eget,QB,FR,6-2,195,"Santa Clarita, CA",West Ranch HS
36,Alex Escobar,RB,FR,5-9,190,"Peoria, AZ",Centennial HS
73,Luteru Fedler,OL,FR,6-3,277,"Murrieta, CA",Murrieta Valley HS
7,Javahn Fergurson,LB,SR,6-1,230,"Baton Rouge, LA",Southern Lab HS
4,Joshua Ferguson,LB,FR,5-11,225,"Katy, TX",Taylor HS
80,Jahre Fish,WR,JR,5-11,170,"Washington, DC",St. Frances Academy
26,Josh Foley,RB,FR,5-10,205,"Rio Rancho, NM",Rio Rancho HS
57,Jacob Franklin,LB,SO,6-3,233,"Peoria, AZ",Centennial HS/Glendale CC
49,Nick Giacolone,LB,FR,6-3,215,"Venice, FL",Venice HS
