No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
44,Joseph Appiah Darkwa,DT,FR,6-5,272,"North Rhine-Westphalia, Germany",Don Bosco Gymnasium
43,Trevor Baker,TE,JR,6-3,227,"Easton, PA",Lewis S. Mills (Conn.)
90,Damion Barber,DT,JR,6-3,290,"Harrisburg, PA",Harrisburg
51,Hakeem Beamon,DE,FR,6-3,259,"Midlothian, VA",Manchester
86,Alec Berger,WR,JR,5-11,175,"McKinney, TX",McKinney
83,Nick Bowers,TE,SR,6-4,260,"Kittanning, PA",Kittanning Senior
7,Jaquan Brisker,S,JR,6-1,210,"Pittsburgh, PA",Gateway
13,Ellis Brooks,LB,JR,6-1,234,"Mechanicsville, VA",Benedictine College Prep
6,Cam Brown,LB,SR,6-5,233,"Burtonsville, MD",Bullis School
24,DJ Brown,CB,JR,5-10,183,"College Park, GA",Creekside
4,Journey Brown,RB,JR,5-11,206,"Meadville, PA",Meadville
21,Noah Cain,RB,FR,5-10,206,"Baton Rouge, LA",IMG Academy (Fla.)
94,Joe Calcagno,SN,JR,6-0,279,"Elmhurst, IL",Fenwick
23,Weston Carr,WR,SR,6-2,202,"Benicia, CA",Benicia
5,Tariq Castro-Fields,CB,JR,6-0,197,"Upper Marlboro, MD",Riverdale Baptist School
90,Rafael Checa,K,SO,6-2,201,"Chevy Chase, MD",St. John's College H.S.
88,Dan Chisena,WR,SR,6-3,202,"Downingtown, PA",Downingtown-East
50,Max Chizmar,LB,JR,6-2,230,"Mars, PA",Mars Area
14,Sean Clifford,QB,JR,6-2,216,"Cincinnati, OH",Saint Xavier
97,Sebastian Costantini,K,FR,5-11,177,"Collegeville, PA",Malvern Prep
77,Judge Culpepper,DT,SO,6-4,284,"Tampa, FL",H.B. Plant
96,Anthony DaSilva,K,FR,5-11,154,"Bethlehem, PA",Bethlehem Catholic
51,Dalton Daddona,OL,FR,6-2,281,"Allentown, PA",Bethlehem Catholic
63,Collin De Boef,OL,SO,6-5,258,"State College, PA",State College Area
10,Lance Dixon,LB,FR,6-2,213,"West Bloomfield, MI",West Bloomfield
5,Jahan Dotson,WR,SO,5-11,175,"Nazareth, PA",Nazareth Area
8,John Dunmore,WR,FR,6-1,179,"Fort Lauderdale, FL",Chaminade-Madonna College Prep
