No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
36,Jaylan Alexander,LB,SO,6-1,235,"Hoffman Estates, IL",Hoffman Estates
18,Cam Allen,CB,FR,6-1,190,"Bluefield, VA",Graham
10,Amad Anderson Jr.,WR,FR,5-11,175,"Staten Island, NY",Curtis
33,Jackson Anthrop,WR,JR,5-11,190,"West Lafayette, IN",Central Catholic
20,Alfred Armour,RB,FR,6-1,235,"Indianapolis, IN",Warren Central
21,Markus Bailey,LB,SR,6-1,240,"Columbus, OH",Hilliard Davidson
32,Elijah Ball,LB,FR,6-1,210,"Indianapolis, IN",Ben Davis
55,Derrick Barnes,DE,JR,6-1,245,"Covington, KY",Holy Cross
56,Viktor Beach,OL,SO,6-4,305,"Fort Myers, FL",Bishop Verot
3,David Bell,WR,FR,6-2,210,"Indianapolis, IN",Warren Central
24,Nyles Beverly,DB,FR,6-0,195,"Macadonia, OH",Nordonia
48,Kyle Bilodeau,TE,FR,6-5,245,"Mechanicsville, VA",Woodberry Forest
21,Jordan Bonner,WR,FR,6-2,200,"Carrollton, GA",Carrollton
70,Will Bramel,OL,FR,6-6,295,"Danville, KY",Boyle County
51,Bryce Brown,OL,JR,6-1,280,"Evansville, IN",Evansville North
14,Danny Carollo,QB,JR,6-1,210,"Lake Forest, IL",Lake Forest
57,Will Chapman,LB,FR,5-11,215,"Indianapolis, IN",Cathedral
80,Camdyn Childers,WR,FR,6-0,195,"Fort Wayne, IN",Carroll
28,Zac Collins,P,SO,6-0,195,"Louisville, KY",Saint Xavier
19,Brooks Cormier,P,FR,6-5,215,"Tuscaloosa, AL",American Christian Academy
68,Cam Craig,OL,FR,6-5,290,"Dublin, OH",Jerome
95,Jack Cravaack,DE,FR,6-5,250,"Cincinnati, OH",Madeira
66,Alex Criddle,OL,JR,6-3,305,"Broken Arrow, OK",Thomas Edison Academy
42,David Day,CB,SR,5-10,190,"Indianapolis, IN",North Central
58,Branson Deen,DL,FR,6-2,265,"Indianapolis, IN",Lawrence Central
85,J.D. Dellinger,K,JR,6-2,195,"Charlotte, NC",Charlotte Country Day
22,King Doerue,RB,FR,5-10,210,"Amarillo, TX",Tascosa
83,Malcolm Dotson,WR,SR,6-2,200,"Indianapolis, IN",Cathedral
43,Kieren Douglas,LB,SO,6-2,220,"Pickerington, OH",Pickerington Central
87,Payne Durham,TE,FR,6-5,255,"Suwanee, GA",Peachtree Ridge
84,Noah Ellison,WR,SO,6-0,190,"Louisville, KY",Trinity
97,Semisi Fakasiieiki,DE,JR,6-2,250,"Compton, CA",Dominguez
93,Steven Faucheux,DT,FR,6-5,285,"West Chester, OH",Lakota West
61,Ryan Flaherty,OL,JR,6-3,285,"New Carlisle, IN",New Prairie
25,Tario Fuller,RB,SR,6-0,200,"Sugar Hill, GA",Lanier
72,Sam Garvin,OL,SO,6-3,295,"Fishers, IN",Hamilton Southeastern
6,Jalen Graham,S,FR,6-3,215,"Detroit, MI",Cass Tech
26,Marvin Grant,S,FR,6-2,205,"Detroit, MI",Martin Luther King
49,Zane Greene,S,FR,6-0,200,"Indianapolis, IN",Pike
13,Tyler Hamilton,CB,SO,5-9,175,"Hilton Head, SC",Hilton Head
78,Grant Hermanns,OL,JR,6-7,295,"Albuquerque, NM",Rio Rancho
5,Da'Joun Hewitt,RB,FR,5-10,205,"Nashville, TN",Davidson Academy
98,Kai Higgins,DE,JR,6-4,260,"Pomona, CA",Bishop Amat/Chaffey College
75,Spencer Holstege,OL,FR,6-5,295,"Grand Rapids, MI",South Christian
44,Ben Holt,LB,SR,5-11,225,"Bowling Green, KY",Bowling Green/Western Kentucky
89,Brycen Hopkins,TE,SR,6-5,245,"Nashville, TN",Ensworth
40,Zander Horvath,RB,SO,6-3,230,"Mishawaka, IN",Marian
45,Byron Hubbard II,LB,FR,6-1,205,"Westfield, IN",Westfield
12,Dontay Hunter II,DE,FR,6-4,260,"Westerville, OH",Westerville Central
90,Lawrence Johnson,DL,FR,6-3,300,"Fort Wayne, IN",Snider
46,Cornel Jones,LB,JR,6-2,235,"Miami, FL",Miami Central
73,Kyle Jornigan,OL,FR,6-4,320,"Youngstown, OH",Cardinal Mooney
5,George Karlaftis,DE,FR,6-4,265,"West Lafayette, IN",West Lafayette
50,Sulaiman Kpaka,DE,FR,6-2,255,"Grand Prairie, TX",Grand Prairie
52,Willie Lane,DE,FR,6-3,265,"Winter Haven, FL",Winter Haven
71,Sam Loebig,OL,JR,6-3,300,"Bethesda, MD",Bethesda-Chevy Chase
26,Crishawn Long,LB,FR,6-2,210,"Parma, OH",Padua Franciscan
86,Hunter MacDonald,LS,FR,6-2,230,"Crown Point, IN",Crown Point
1,Dedrick Mackey,CB,SO,5-11,185,"Miami, FL",Booker T. Washington
2,Kenneth Major,CB,SO,6-0,195,"Hopkinsville, KY",Christian County
47,Jeff Marks,DL,SO,6-3,270,"Mobile, AL",Davidson
79,Matt McCann,OL,SR,6-6,305,"Fishers, IN",Bishop Chatard
58,Jimmy McKenna,OL,FR,6-5,300,"Avon, OH",Avon
94,Robert McWilliams III,DE,SO,6-4,230,"South Miami, FL",Coral Gables
74,Eric Miller,OL,FR,6-7,295,"Mason, OH",William Mason
88,Garrett Miller,TE,FR,6-5,250,"Round Rock, TX",Round Rock
59,Dave Monnot III,OL,FR,6-6,285,"Joliet, IL",Joliet Catholic
4,Rondale Moore,WR,SO,5-9,180,"New Albany, IN",Trinity
27,Navon Mosley,S,SR,6-0,200,"West Bloomfield, MI",West Bloomfield
9,Lorenzo Neal,DT,SR,6-3,315,"Houston, TX",Saint Thomas
41,Ashton Nichols,S,FR,6-3,195,"Boulder, CO",Fairview
16,Aidan O'Connell,QB,SO,6-3,210,"Long Grove, IL",Stevenson
17,Byron Perkins,CB,FR,6-2,190,"Chicago, IL",De La Salle
18,Paul Piferi,QB,FR,6-5,220,"Villa Park, CA",Villa Park
81,Darius Pittman,TE,JR,6-3,250,"Gulfport, MS",Saint Stanislaus
13,Jack Plummer,QB,FR,6-5,220,"Gilbert, AZ",Gilbert
39,Zach Randall,LB,SO,6-0,230,"Fishers, IN",Hamilton Southeastern
92,Giovanni Reviere,DE,SO,6-5,270,"Chattanooga, TN",McCallie School
9,Mershawn Rice,WR,FR,6-2,205,"Reynoldsburg, OH",Reynoldsburg
65,Marc Roland,OL,SO,6-3,295,"Indianapolis, IN",Roncalli
30,Brooks Royal,LS,SO,6-2,200,"Fitzgerald, GA",Fitzgerald
7,Jordan Rucker,CB,FR,6-0,195,"Denton, TX",Ryan
81,Khali Saunders,LB,FR,6-3,230,"Elmhurst, IL",Immaculate Conception
96,August Schott,LS,FR,6-2,245,"West Lafayette, IN",West Lafayette/U.S. Naval Academy
8,TJ Sheffield,WR,FR,5-11,180,"Thompson's Station, TN",Indepndence
2,Elijah Sindelar,QB,SR,6-4,225,"Princeton, KY",Caldwell County
7,Nick Sipe,QB,SO,6-4,215,"Villa Park, CA",Villa Park
29,Simeon Smiley,CB,JR,6-0,205,"Pensacola, FL",Pensacola Catholic
35,Jack Smith,LB,FR,6-2,225,"Lakeland, FL",Lakeland
11,Kadin Smith,DB,FR,6-0,210,"Taylorville, KY",Spencer County
12,Jared Sparks,WR,JR,6-1,210,"Geismar, LA",Dutchtown
76,Mark Stickford,OL,SO,6-5,295,"Carmel, IN",Carmel
59,KJ Stokes,DL,FR,6-3,275,"Millbrook, AL",Stanhope Elmore
99,Jack Sullivan,DL,FR,6-5,270,"Plainfield, IL",Plainfield East
82,Grant Summers,WR,FR,5-11,180,"Atlanta, GA",IMG Academy
15,Kory Taylor,WR,FR,6-5,205,"Hilliard, OH",Bradley
38,Brennan Thieneman,S,JR,6-1,210,"Noblesville, IN",Guerin Catholic
23,Cory Trice,S,FR,6-3,215,"Hopkinsville, KY",Christian County
37,Chris Van Eekeren,K,FR,5-11,205,"Chesterton, IN",Chesterton
37,Jacob Wahlberg,LB,FR,6-4,230,"Muskegon, MI",Mona Shores
77,DJ Washington,OL,SO,6-4,295,"Louisville, KY",Ballard
8,Anthony Watts,DT,JR,6-4,300,"Houston, TX",Jack Yates
34,Jonah Williams,LB,SO,6-3,240,"West Lafayette, IN",West Lafayette
34,Richie Worship,RB,SR,6-0,250,"Cleveland, OH",Valley Forge
17,Milton Wright,WR,FR,6-3,195,"Louisville, KY",Christian Academy Louisville
31,Nick Zecchino,LS,JR,6-0,190,"Cedar Grove, NJ",Cedar Grove/UConn
