No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Miles Adams,DE,FR,6-4,233,"Houston , TX",Strake Jesuit
99,Myles Adams,DL,SR,6-2,285,"Arlington , TX",Mansfield Summit
55,Blaze Alldredge,LB,JR,6-2,219,"Celebration, FL",Celebration/Pierce College
29,Chike Anigbogu,S,FR,5-10,193,"Missouri City, TX",Ridge Point
35,Luke Armstrong,FB,FR,6-3,232,"Austin , TX",Westlake
11,Jake Bailey,WR,FR,5-10,184,"San Clemente, CA",St. John Bosco
58,Shea Baker,OL,SO,6-1,290,"Round Rock , TX",Cedar Ridge
86,Chris Barnes,P,SR,6-1,249,"The Woodlands , TX",College Park
6,JaQuez Battley,LB,SO,5-10,208,"Fort Worth , TX",Arlington Heights
97,Adrian Bickham,DE,FR,6-3,210,"Angie, LA",Varnado
15,Andrew Bird,CB,FR,6-1,177,"Fort Worth , TX",All Saints Episcopal
16,Robbie Blosser,QB,SO,-,209,"Thousand Oaks, CA",Bishop Mora Salesian
23,Charlie Booker,RB,SR,5-9,209,"Houston, TX",Cy Ranch/Harvard
15,Chris Boudreaux,WR,SO,5-11,169,"Beaumont , TX",Central
41,Garrett Braden,OLB,FR,6-2,226,"New Canaan, CT",New Canaan
87,Jack Bradley,TE,FR,6-5,236,"Dallas, TX",Bishop Lynch
30,Ari Broussard,RB,FR,6-0,214,"New Orleans, LA",Lusher
82,Jaeger Bull,TE,SO,6-4,233,"Corpus Christi , TX",Flour Bluff
4,Prudy Calderon,DB,SO,5-11,210,"San Marcos , TX",San Marcos
83,Rhett Cardwell,WR,SR,6-1,196,"Houston , TX",Kinkaid School
96,De'Braylon Carroll,DT,FR,6-0,292,"Duncanville, TX",Duncanville
65,Brian Chaffin,C,SR,6-2,282,"Harrisburg, NC",Charlotte Christian/Stanford
17,Treshawn Chamberlain,LB,SO,5-10,201,"Greenwood, SC",Emerald
12,Austin Conrad,WR,SO,5-11,185,"Spring , TX",Klein
19,Tre’shon Devones,CB,FR,6-0,165,"Duncanville, TX",Duncanville
48,Jacob Doddridge,DE,FR,6-3,250,"Southlake , TX",Carroll
33,Anthony Ekpe,DE,JR,6-0,234,"Pflugerville , TX",Hendrickson
9,Nahshon Ellerbe,RB,SR,5-9,212,"Frisco , TX",Trinity Christian Academy
12,D' Angelo Ellis,DB,JR,5-11,183,"Houston , TX",Cy Ridge
53,Cole Elms,OL,SR,6-2,260,"College Station , TX",Brazos Christian
91,Ikenna Enechukwu,DE,FR,6-3,253,"Kansas City., MO",Ruskin
75,Derek Ferraro,OL,FR,6-6,290,"New Rochelle, NY",Iona Prep
95,Izeya Floyd,DL,FR,6-2,335,"Frisco, TX",Reedy
18,Robert French,TE,FR,6-5,249,"Jacksonville, FL",Bartram Trail
73,Cole Garcia,OL,SO,6-4,289,"Dallas , TX",Bishop Lynch
92,Elijah Garcia,DL,JR,6-5,290,"San Antonio , TX",Stevens
4,Sam Glaesmann,WR,JR,6-3,225,"Waco, TX",Midway High School
76,Justin Gooseberry,OL,SR,6-4,290,"Little Rock, AR",Episcopal/Ouachita Baptist
46,Garrett Grammer,LB,JR,-,226,"Rosenberg , TX",Richmond Foster
37,Jacob Grams,S,SO,6-0,203,"Houston , TX",Episcopal
5,Wiley Green,QB,FR,6-3,206,"Coppell , TX",Prestonwood Christian
50,Hunter Hanley,DL,FR,6-2,217,"Hershey, PA",Milton Hershey
25,Will Harrison,K,SO,5-10,187,"Westfield, IN",Westfield
26,Hunter Henry,S,FR,6-1,200,"Austin, TX",Lake Travis
16,Zach Hoban,K,FR,6-0,173,"West Orange, NJ",Seton Hall Prep
52,JaVante Hubbard,DE,JR,6-2,264,"Houston , TX",Elsik
67,Connor Hughes,OL,FR,6-2,279,"Katy, TX",Cinco Ranch
42,Dylan James,LB,JR,6-4,235,"San Antonio , TX",Johnson
3,JoVoni Johnson,QB,FR,6-3,206,"Conway, AR",Conway
32,Jerry Johnson III,FB,FR,6-1,280,"Port Saint Lucie, FL",Treasure Coast
72,Hunter Jones,C,FR,6-3,274,"Stockton, CA",Saint Mary’s
22,Jawan King,RB,FR,5-10,219,"Atlanta, TX",Atlanta
54,Issac Klarkowski,OL,FR,6-2,275,"Green Bay, WI",Southwest
13,Zane Knipe,WR,FR,5-11,179,"Houston, TX",:Lamar
56,EJ Lahlouh,LB,FR,6-0,211,"Redwood City, CA",Junipero Serra
14,Joshua Landrum,CB,FR,5-10,164,"Cedar Hill, TX",Cedar Hill
55,Nick Leverett,OL,SR,6-4,310,"Salisbury, NC",Concord/North Carolina Central
9,Kirk Lockhart,S,FR,5-11,185,"Cedar Hill, TX",Cedar Hill
19,Evan Marshman,QB,SO,5-11,200,"Austin, TX",Houston Christian
51,Will Martinez,DL,FR,6-2,231,"Houston, TX",Lamar
13,Miles McCord,CB,SO,6-1,162,"Huntington Beach, CA",Golden West College
85,Nicholas McQuarry,K,FR,6-2,200,"Jacksonville, FL",Mandarin
84,Bennett Mecom,WR,FR,6-3,197,"Frisco, TX",Reedy
