No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,Paulson Adebo,CB,JR,6-1,190,"Mansfield, TX",Mansfield
3,Malik Antoine,FS,SR,5-11,197,"Baton Rouge, LA",University Laboratory
87,Bradley Archer,TE,FR,6-4,235,"Livermore, CA",Livermore
43,Ryan Beecher,ILB,SR,6-1,237,"Fresno, CA",San Joaquin Memorial
58,Dylan Boles,DE,JR,6-4,264,"Adel, IA",Van Meter
13,Ethan Bonner,CB,SO,6-1,188,"The Woodlands, TX",The Woodlands
34,Thomas Booker,DE,SO,6-4,281,"Ellicott City, MD",Gilman
2,Colby Bowman,WR,FR,6-2,197,"Orange, CA",St. John Bosco
66,Branson Bragg,OG,FR,6-4,286,"Combine, TX",Crandall
6,Isaiah Brandt-Sims,WR,SR,5-11,187,"Wenatchee, WA",Wenatchee
8,Treyjohn Butler,CB,SR,5-11,205,"Rancho Cucamonga, CA",Etiwanda
14,Cameron Buzzell,WR,JR,5-10,169,"Neah Bay, WA",Neah Bay
3,K.J. Costello,QB,SR,6-5,222,"Coto de Caza, CA",Santa Margarita Catholic
51,Drew Dalman,C,JR,6-3,284,"Salinas, CA",Palma
30,Levani Damuni,ILB,FR,6-2,258,"Providence, UT",Ridgeline
20,Aeneas DiCosmo,ILB,FR,6-3,231,"Montclair, NJ",Bergen Catholic
22,Obi Eboh,CB,SR,6-2,195,"Southlake, TX",Carroll
13,Simi Fehoko,WR,SO,6-4,226,"Sandy, UT",Brighton
88,Tucker Fisk,TE,JR,6-4,269,"Davis, CA",Davis Senior
6,Andres Fox,OLB,SO,6-4,252,"Mobile, AL",Mobile Christian
10,Jordan Fox,OLB,SR,6-3,226,"Plainfield, NJ",St. Peter's
33,Alex Gracey,P,SO,6-3,205,"Atlanta, GA",Westminster
23,Marcus Graham,WR,FR,5-11,166,"Charlotte, NC",Mountain Island Charter School
74,Devery Hamilton,OT,SR,6-7,301,"Ellicott City, MD",Gilman
80,Scooter Harrington,TE,SR,6-5,257,"Greenwich, CT",Greenwich
78,Henry Hattis,OG,SR,6-6,297,"Rio Rancho, NM",Cleveland
18,Stuart Head,SS,JR,6-4,210,"Woodstock, GA",Etowah
34,Houston Heimuli,FB,JR,5-11,249,"Woods Cross, UT",Bountiful
15,Stephen Herron,OLB,FR,6-4,223,"New Albany, IN",Trinity (Ky.)
19,Elijah Higgins,WR,FR,6-3,220,"Kyle, TX",Bowie
73,Jake Hornibrook,OG,FR,6-5,279,"West Chester, PA",Malvern Prep
23,Ryan Johnson,DE,JR,6-4,266,"Axis, AL",St. Paul's Episcopal
20,Austin Jones,RB,FR,5-10,193,"Antioch, CA",Bishop O'Dowd
26,Brock Jones,S,FR,6-1,185,"Clovis, CA",Buchanan
29,Spencer Jorgensen,S,FR,6-2,205,"Provo, UT",Provo
47,Tangaloa Kaufusi,OLB,SO,6-3,237,"Salt Lake City, UT",East
38,Jason Kaul,S,FR,6-4,205,"Ham Lake, MN",Blaine
77,Thunder Keck,OLB,JR,6-3,234,"Northfield, NH",Hotchkiss (Conn.)
44,Caleb Kelly,OLB,SO,6-3,220,"Fairburn, GA",Hapeville Charter
17,Kyu Blu Kelly,CB,FR,6-1,176,"Las Vegas, NV",Bishop Gorman
54,Jake Koffman,OG,JR,6-2,252,"Orono, ME",Orono
93,Trey LaBounty,DE,SO,6-7,245,"Lynden, WA",Lynden
44,TaeVeon Le,TE,SO,6-4,241,"Newport Beach, CA",Corona del Mar
72,Walker Little,OT,JR,6-7,309,"Houston, TX",Episcopal
5,Donjae Logan,CB,SO,5-11,187,"Mesa, AZ",Desert Ridge
86,Kale Lucas,WR,FR,6-0,190,"Farmington, NM",Farmington
70,Wakely Lush,OT,FR,6-5,240,"San Clemente, CA",San Clemente
56,Jake Lynch,ILB,SO,6-2,232,"Del Mar, CA",Cathedral Catholic
28,Dorian Maddox,RB,SR,5-10,193,"Bowie, MD",Gilman
14,Jacob Mangum-Farrar,ILB,SO,6-4,240,"Sugar Land, TX",Kempner
31,Zahran Manley,CB,FR,6-2,175,"Claremont, CA",Upland
85,Kyle McCombs,TE,JR,6-5,236,"Laguna Beach, CA",St. John Bosco
30,Cameron McFarlane,RB,SO,6-0,210,"Pasadena, CA",Polytechnic
32,Jonathan McGill,S,FR,5-10,179,"Coppell, TX",Coppell
69,Richard McNitzky,LS,SR,6-1,225,"San Antonio, TX",MacArthur
45,Ricky Miezan,ILB,SO,6-2,241,"Alexandria, VA",Episcopal
63,Barrett Miller,OT,FR,6-5,292,"Aurora, CO",Eaglecrest
