No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Abdul Adams,RB,JR,5-11,202,"Landover, MD",Hillside (N.C.)
63,Evan Adams,OL,SR,6-6,352,"Norwalk, CT",Norwalk
64,Ryan Alexander,OL,SR,6-3,307,"Floral Park, NY",Holy Trinity
12,Andrew Armstrong,LB,SR,6-2,230,"Youngstown, OH",Cardinal Mooney
87,Luke Benson,TE,FR,6-3,210,"Chalfont, PA",Central Bucks West
60,Matthew Bergeron,OL,FR,6-4,311,"Victoriaville, Canada",Cégep de Thetford
97,Brandon Berry,DL,SR,6-4,244,"Griffin, GA",Griffin
85,Josh Black,DL,JR,6-3,270,"Loves Park, IL",Harlem
50,Aaron Bolinsky,LS,SO,5-11,222,"Frackville, PA",North Schuylkill
18,Scoop Bradshaw,DB,SR,5-11,178,"Tampa, FL",Plant
38,AJ Calabro,DB,FR,5-10,193,"Farmingdale, NJ",Saint John Vianney
31,Geoff Cantin-Arku,LB,FR,6-4,224,"Lévis, Canada",Cégep Garneau
54,Austin Chandler,OL,SO,6-4,303,"Los Angeles, CA",Loyola
26,James Cherry,WR,FR,5-9,172,"Philadelphia, PA",St. Joseph's Prep
7,Andre Cisco,DB,SO,6-0,203,"Valley Stream, NY",IMG Academy (Fla.)
77,Mike Clark,OL,JR,6-8,318,"Exton, PA",Downingtown East
11,Devon Clarke,DB,JR,6-2,200,"Kissimmee, FL",Osceola
40,Nicky Clifton,RB,FR,6-0,217,"Nashville, TN",Ensworth
25,Adrian Cole,DB,FR,5-10,169,"Plantation, FL",Plantation
55,Kendall Coleman,DL,SR,6-3,253,"Indianapolis, IN",Cathedral
34,Eric Coley,DB,SO,6-2,192,"Manlius, NY",Fayetteville-Manlius
49,Jesse Conners,TE,JR,6-2,231,"Pittsford, NY",Salisbury School (Conn.)
92,Nolan Cooney,P,JR,6-3,201,"East Greenwich, RI",East Greenwich
8,Antwan Cordy,DB,SR,5-8,189,"Homestead, FL",South Dade
17,Rex Culpepper,QB,JR,6-3,222,"Tampa, FL",Plant
53,Kevon Darton,DL,FR,5-11,285,"Fitchburg, MA",Worcester Academy
57,Dakota Davis,OL,SO,6-5,327,"Mount Airy, MD",Glenelg
69,Patrick Davis,OL,JR,6-5,317,"Gatineau, Canada",Champlain Regional
95,Cooper Dawson,DL,FR,6-5,237,"Hanahan, SC",Hanahan
13,Tommy DeVito,QB,SO,6-2,212,"Cedar Grove, NJ",Don Bosco Prep
72,Andrejas Duerig,OL,SR,6-3,326,"Lowell, IN",Mount Carmel
5,Chris Elmore,FB,JR,6-0,295,"Chicago, IL",Phillips Academy
9,Evan Foster,DB,SR,6-0,215,"West Bloomfield, MI",West Bloomfield
3,Christopher Fredrick,DB,SR,5-11,198,"Conley, GA",Cedar Grove
70,Wil Froumy,OL,FR,6-6,314,"Exeter, NH",Exeter
90,Ishmael Goulbourne,DL,FR,6-3,196,"West Palm Beach, FL",Dwyer
26,Aman Greenwood,DB,FR,5-10,180,"Washington, DC",St. John's College HS
51,Shaq Grosvenor,DL,SR,6-2,285,"Linden, NJ",West Orange
33,Jack Guida,RB,SO,6-0,200,"New Canaan, CT",Brewster (N.Y.)
10,Drew Gunther,QB,FR,6-2,203,"Chester Springs, PA",Malvern Prep
89,Aaron Hackett,TE,JR,6-3,234,"Venice, FL",Venice
52,Curtis Harper,DL,SO,6-2,300,"McKeesport, PA",McKeesport
80,Taj Harris,WR,SO,6-2,175,"Beverly, NJ",Palmyra
75,Sam Heckel,OL,JR,6-4,280,"Waukesha, WI",Waukesha West
18,Ed Hendrix,WR,FR,6-3,208,"Washington, DC",H.D. Woodson
10,Sterling Hofrichter,P,SR,5-9,199,"Valrico, FL",Armwood
36,Ben Honis,TE,SR,6-0,215,"Jamesville, NY",Jamesville-DeWitt
28,Jarveon Howard,RB,SO,5-10,213,"Columbia, MS",East Marion
85,Courtney Jackson,WR,FR,5-10,171,"Monroeville, PA",Gateway
86,Trishton Jackson,WR,JR,6-1,191,"West Bloomfield, MI",West Bloomfield
17,DuWayne Johnson,DB,SR,6-3,183,"Washington, DC",H.D. Woodson
27,Garrison Johnson,RB,FR,5-10,237,"Rosharon, TX",Manvel
82,Nykeim Johnson,WR,JR,5-8,172,"Washington, DC",Friendship Academy
19,Sharod Johnson,WR,SO,5-11,179,"Miami, FL",Booker T. Washington
