No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
79,Jarious Abercrombie,OL,FR,6-4,310,"Birmingham, AL",Wenonah
52,Bryan Aiken,LB,FR,6-4,260,"Mt. Juliet, TN",Mt. Juliet
77,Chris Akporoghene,OL,FR,6-3,296,"Warri, Nigeria",IMG Academy
8,Jordan Allen,LB,JR,6-4,238,"Fairfield, CA",Armijo/City College of San Francisco
65,Parker Ball,OL,FR,6-4,284,"Douglasville, GA",Douglas County
40,Matt Ballard,LB,JR,6-0,229,"Clarksville, TN",Clarksville
33,Jeremy Banks,RB,SO,6-1,225,"Cordova, TN",Cordova
24,Aaron Beasley,DB,FR,6-1,212,"Franklin, GA",Heard County
34,Deontae Beauchamp,LB,FR,6-1,241,"Hazel Green, AL",Hazel Green
95,Kivon Bennett,LB,SO,6-2,248,"Fort Lauderdale, FL",St. Thomas Aquinas
17,Michael Bittner,QB,FR,6-2,208,"Cincinnati, OH",Elder
35,Daniel Bituli,LB,SR,6-3,252,"Nashville, TN",Nashville Christian
48,Ja'Quain Blakely,DL,JR,6-2,284,"Moultrie, GA",Colquitt County
37,Paxton Brooks,P,SO,6-6,194,"Lexington, SC",Airport
83,Sean Brown,TE,FR,6-5,241,"Rome, GA",Coosa
28,Baylen Buchanan,DB,SR,5-11,196,"Lawrenceville, GA",Peachtree Ridge
88,LaTrell Bumphus,DL,JR,6-3,273,"Savannah, TN",Hardin County
4,Warren Burrell,DB,FR,6-0,176,"Suwanee, GA",North Gwinnett
94,Matthew Butler,DL,JR,6-4,285,"Raleigh, NC",Garner Senior
10,Tyler Byrd,WR,SR,5-11,210,"Naples, FL",Naples
74,K'Rojhn Calbert,OL,SO,6-5,330,"McMinnville, TN",Warren County Senior
1,Marquez Callaway,WR,SR,6-2,204,"Warner Robins, GA",Warner Robins
75,Jerome Carvin,OL,SO,6-5,313,"Memphis, TN",Cordova
8,Ty Chandler,RB,JR,5-11,201,"Nashville, TN",Montgomery Bell Academy
28,James Christian,RB,JR,5-8,204,"Booneville, MS",Booneville
42,Brent Cimaglia,PK,JR,6-0,210,"Nashville, TN",Fred J. Page
84,Braden Collins,WR,SO,6-2,195,"Knoxvile, TN",Farragut/Appalachian State
86,Andrew Craig,TE,JR,6-4,244,"Knoxville, TN",Webb School
27,Quavaris Crouch,LB,FR,6-1,246,"Charlotte, NC",Harding University
29,Brandon Davis,DB,FR,5-10,160,"New Orleans, LA",John Curtis
66,Dayne Davis,OL,FR,6-7,330,"Bluff City, TN",Sullivan East
36,Tanner Dobrucky,WR,SO,5-9,189,"Richmond, VA",Douglas S. Freeman
47,Joe Doyle,P,SO,6-0,204,"Knoxville, TN",Farragut
7,Romello Edwards,DB,FR,6-0,187,"Philadelphia, PA",Neumann-Goretti
90,Greg Emerson,DL,FR,6-3,309,"Jackson, TN",North Side
88,Princeton Fant,TE,SO,6-2,232,"Nashville, TN",Lavergne
17,Tyus Fields,DB,FR,5-10,186,"Cornelius, NC",Hough
27,Carlin Fils-aime,RB,SR,5-11,180,"Naples, FL",Naples
25,Trevon Flowers,DB,SO,5-11,193,"Atlanta, GA",Tucker
38,Grant Frerking,WR,SO,6-5,207,"Atlanta, GA",Wesleyan School
57,Nyles Gaddy,LB,FR,6-4,231,"Nashville, TN",Father Ryan
79,Kurott Garland,DL,FR,6-3,304,"Conyers, GA",Heritage
15,Kwauze Garland,DB,FR,6-1,190,"Conyers, GA",Heritage
41,Kenneth George Jr.,DB,JR,5-11,201,"Lafayette, LA",Acadiana/Trinity Valley C.C. (Texas)
6,Deangelo Gibbs,WR,JR,6-1,200,"Oxford, GA",Grayson
93,Emmit Gooden,DL,SR,6-3,290,"Brownsville, TN",Haywood/Independence C.C.
3,Eric Gray,RB,FR,5-10,195,"Memphis, TN",Lausanne Collegiate School
96,Isaac Green,DL,FR,6-0,260,"Memphis, TN",Memphis Central
2,Jarrett Guarantano,QB,JR,6-4,213,"Lodi, NJ",Bergen Catholic
54,Kingston Harris,DL,FR,6-3,306,"Orlando, FL",IMG Academy
30,Roman Harrison,LB,FR,6-2,234,"Bainbridge, GA",Bainbridge
