No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
38,Abe Anderson,TE,SO,6-3,249,"Tulsa, OK",Metro Christian
4,Jarion Anderson,WR,SR,5-9,179,"Texarkana, TX",Texas
49,Joseph Anderson,DE,FR,6-1,257,"Anadarko, OK",Anadarko
76,Chester Baah,OL,FR,6-3,290,"Tulsa, OK",Edison HS
44,Cade Baumann,DT,JR,6-4,244,"Walters, OK",Walters/NE Oklahoma A&M
86,Kamdyn Benjamin,WR,FR,5-9,165,"Midlothian, TX",Cedar Hill
33,Thomas Bennett,P,SR,6-3,182,"Carlsbad, CA",Baylor
75,Dante Bivens,OG,SO,6-3,321,"Spring, TX",Klein Collins
93,JaJuan Blankenship,NG,JR,6-0,284,"Anderson, SC",T.L. Hanna
12,Seth Boomer,QB,SO,6-3,208,"Collinsville, OK",Collinsville
82,Joseph Breedlove III,WR,SO,6-1,194,"Fort Worth, TX",Country Day
7,Davis Brin,QB,FR,6-2,201,"Boerne, TX",Champion
3,Shamari Brooks,RB,JR,5-9,195,"Tulsa, OK",Union
68,Tiller Bucktrot,OG,JR,6-5,322,"Stroud, OK",Stroud
10,Manny Bunch,S,SR,6-1,201,"Roland, OK",Roland
35,Yohance Burnett,LB,JR,6-1,223,"Pearland, TX",Dawson/Navarro JC
34,Gabriel Byrams,RB,FR,5-6,175,"Tulsa, OK",Victory Christian
51,Solomon Byrd,-,-,-,-,-,-
6,Diamon Cannon,LB,SR,6-2,230,"Killeen, TX",Shoemaker
19,Denzel Carter,TE,JR,6-5,275,"St. Petersburg, FL",Lakewood/Mississippi Gulf Coast CC
53,Sam Clayton,LB,FR,6-1,205,"Prosper, TX",Legacy Christian
62,Jake Coleman,OL,FR,6-5,302,"Norman, OK",Norman North
80,Trey Collier,WR,FR,6-1,180,"Kaufman, TX",Kaufman HS
16,Carson Collins,QB,FR,6-1,205,"Lucas, TX",Lovejoy
23,Zaven Collins,LB,SO,6-4,256,"Hominy, OK",Hominy
73,Dylan Couch,C,JR,6-3,299,"Pryor, OK",Pryor/Kansas State
9,Sam Crawford Jr.,WR,SO,6-1,206,"Rockwall, TX",Rockwall
87,JD Crowder,TE,FR,6-4,240,"Argyle, TX",Argyle
18,Tyon Davis,CB,SO,6-0,180,"Putnam City, OK",Putnam City West
99,Danny Donley,PK,SR,5-9,160,"Tulsa, OK",Jenks/Drake University
42,Cooper Edmiston,LB,SR,6-3,241,"Gatesville, TX",Gatesville
16,Reggie Ellis,CB,FR,6-0,180,"Houston, TX",Aldine Davis HS
26,Akayleb Evans,CB,JR,6-2,193,"McKinney, TX",McKinney
18,La' Darrion Florez,WR,FR,6-2,200,"Houston, TX",Clear Brook HS
78,X'Zauvea Gadlin,OT,FR,6-4,300,"Arlington, TX",Mansfield Summit
39,Mike Garrett Jr.,DB,JR,6-1,185,"Magnolia, TX",Magnolia/Blinn College
15,Trevis Gipson,DE,SR,6-4,268,"Cedar Hill, TX",Cedar Hill
46,Bershard Glaspie,LB,FR,6-3,215,"Mesquite, TX",Mesquite Poteet HS
94,Anthony Goodlow,LB,FR,6-5,255,"Del City, OK",Del City
70,Clay Greathouse,OG,JR,6-5,310,"Wichita Falls, TX",Rider HS
59,Hank Greathouse,OL,FR,6-1,290,"Wichita Falls, TX",Rider
12,Allie Green IV,CB,JR,6-3,215,"Austin, TX",Lyndon B. Johnson
47,Ethan Hall,TE,FR,6-3,200,"Bixby, OK",Bixby HS
63,Judge Hartin,OT,SR,6-4,300,"Madill, OK",Madill/NE Oklahoma A&M
28,Jett Hendrix,S,FR,6-0,184,"Cleveland, TX",Cleveland
28,Brad Hensley,S,FR,6-0,170,"Tulsa, OK",Cascia Hall
42,Adam Higuera,DS,JR,6-1,221,"Gilbert, AZ",Perry
41,Dorian Hopkins,LB,FR,6-1,215,"Memphis, TN",University School
38,Lawson Howard,S,FR,6-0,205,"Little Rock, AR",Little Rock Christian Academy
65,Chris Ivy Jr.,OT,SR,6-3,296,"Wichita, KS",Wichita Heights Heights
27,Daiquain Jackson,S,SO,5-11,212,"Mesquite, TX",Poteet
88,Malik Jackson,WR,SO,6-2,210,"Taylor, TX",Taylor
8,Brandon Johnson,S,SR,6-0,186,"Dallas, TX",Skyline/Tyler JC
13,Josh Johnson,WR,SO,5-11,183,"Little Rock, AR",Central Arkansas Christian/Iowa State
8,Keenen Johnson,WR,SR,6-1,200,"Alto, TX",Alto
35,Hanan Jones,WR,FR,5-8,175,"Bastrop, TX",Bastrop
74,Jeremy Jones,OL,FR,6-5,301,"Lewisville, TX",Lewisville HS
40,Mitchell Kulkin,LB,FR,6-0,208,"Jenks, OK",Jenks
95,Cooper Laake,DL,FR,6-3,270,"Austin, TX",Bowie HS
58,Deven Lamp,DE,SO,6-5,250,"Cedar Hill, TX",Cedar Hill
90,Zack Long,PK,JR,5-10,170,"Pacific, MO",Eureka Park
6,Chris Lovick,RB,FR,5-9,180,"Tomball, TX",Memorial HS
39,Cody Lynch,CB,FR,6-0,180,"Eastland, TX",Gorman
15,Brandon Marquardt,QB,SO,6-1,216,"Norman, OK",Norman North
7,TieNeal Martin,S,SR,6-1,207,"Sacramento, CA",Grant/Yuba College
22,Marcus Mays,S,SO,6-2,193,"Tulsa, OK",Edison
41,Andrew McKinnis,WR,JR,6-0,191,"Edmond, OK",Oklahoma Christian
20,Cannon Montgomery,WR,SO,5-10,180,"Tulsa, OK",Cascia Hall Preparatory
13,Lamar Mullins,S,JR,6-3,205,"Miami, FL",Westlake/Butler CC
92,Darrias Murdock,DL,FR,6-5,265,"Tulsa, OK",Union HS
98,Kevin Neitzke,PK,JR,6-3,173,"San Clarita, CA",Valencia/College of Canyons JC
29,Ryan Nixon,CB,SO,6-3,180,"Long Beach, CA",Long Beach Poly
25,Jaise Oliver,S,FR,6-2,190,"Fairfield, TX",Fairfield HS
77,Josh Owens,C,FR,6-4,275,"Bixby, OK",Bixby
32,James Palmer,TE,FR,6-3,251,"Moore, OK",Westmoore
71,Chris Paul,OT,SO,6-4,324,"Houston, TX",Jersey Village
25,Dhailon Phillips,WR,JR,6-3,208,"Lufkin, TX",Lufkin/Trinity Valley CC
90,Jaxon Player,NG,SO,6-0,296,"Waco, TX",Midway
23,Dylan Porter,WR,FR,6-3,185,"Bonham, TX",Van Alstyne
21,Bryson Powers,S,SO,6-1,204,"Spring, TX",Klein Collins
95,Jacob Rainey,PK,FR,6-0,193,"Beaumont, TX",Orangefield
37,Hunter Rangel,S,FR,5-9,180,"Houston, TX",Cy-Fair
20,Kendarin Ray,S,FR,6-4,203,"Brenham, TX",Brenham
24,Treyvon Reeves,LB,JR,6-2,220,"Fort Worth, TX",Boswell
89,Trevor Reh,DL,FR,6-2,210,"San Diego, CA",Cathedral Catholic
4,Robert Revels III,LB,JR,6-2,230,"Houston, TX",John H. Reagan
54,Shemarr Robinson,DT,SR,6-3,312,"Tulsa, OK",Central
9,Reggie Robinson II,CB,SR,6-1,197,"Cleburne, TX",Cleburne
84,Malik Rodgers,WR,SO,5-10,170,"Pearland, TX",Shadow Creek/Air Force
44,Jordan Rodriguez,TE,SO,6-6,242,"Huntsville, AL",Dodge City CC
5,JuanCarlos Santana,WR,SO,6-1,176,"Katy, TX",Katy
19,Grant Sawyer,LB,SO,6-3,219,"Argyle, TX",Liberty Christian
67,Dom Serapiglia III,OL,FR,6-2,290,"Jefferson Hills, PA",Thomas Jefferson
56,Tyler Smith,OL,FR,6-5,312,"Fort Worth, TX",North Crowley HS
11,Zach Smith,QB,JR,6-3,224,"Grandview, TX",Grandview/Baylor U.
97,Tyarise Stevenson,NG,JR,6-3,343,"Donaldson, LA",Donaldson
1,Josh Stewart,WR,JR,6-3,210,"Cedar Hill, TX",Cedar Hill
2,Keylon Stokes,WR,JR,6-0,190,"Manvel, TX",Manvel
57,Micah Strahan,LB,FR,5-11,200,"Midland, TX",Midland Christian
24,Corey Taylor II,RB,JR,5-10,222,"Tulsa, OK",Holland Hall/Air Force Prep
88,RaQuan Thompson,DL,FR,6-3,275,"Killeen, TX",Killeen HS
96,Vincent Ume-Ezeoke,DL,FR,6-1,230,"Pflugerville, TX",Pflugerville
11,Keidrien Wadley,S,SR,6-0,197,"Irving, TX",Ranchview
66,Gerard Wheeler,C,SO,6-3,325,"Plano, TX",Plano
29,Will White,WR,FR,5-11,165,"Trumann, AR",Trumann
91,Cullen Wick,DE,JR,6-4,269,"Hallettsville, TX",Sacred Heart/Blinn JC
21,T.K. Wilkerson,RB,FR,6-2,228,"Skiatook, OK",Skiatook
3,Cristian Williams,S,SR,6-0,190,"Dallas, TX",Lincoln
33,Josiah Wilson,CB,FR,5-9,185,"Quinlan, TX",Boles
60,Isaiah Wright,OL,FR,6-4,310,"Irmo, SC",Dutch Fork
30,Justin Wright,LB,FR,6-2,240,"Abilene, TX",Cooper
47,Jackson Young-Brantley,LB,FR,6-1,190,"Yukon, OK",Yukon
