No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
25,Briton Allen,S,FR,6-0,185,"Orlando, FL",IMG Academy
36,Brad Aoki,WR,FR,5-9,170,"Honolulu, HI",Punahou
49,Matt Bayle,ILB,SR,6-0,215,"San Marino, CA",St. Francis
79,De’jon Benton,DL,FR,6-3,285,"Oakland, CA",Pittsburg HS
76,Clayton Bradley,OT,SR,6-5,295,"Orange, CA",Servite
49,Michael Brown,PK,JR,6-1,195,"Temecula, CA",Linfield Christian
7,Stephen Carr,TB,JR,6-0,210,"Gardena, CA",Summit
39,Jac Casasante,SN,FR,6-0,215,"Altadena, CA",Loyola HS
41,Chris Caulk,WR,JR,6-3,210,"San Diego, CA",Cathedral Catholic/San Diego Mesa JC
23,Kenan Christon,TB,FR,5-10,185,"San Diego, CA",Madison HS
52,Jacob Daniel,OG,SR,6-4,310,"Fresno, CA",Clovis North
18,JT Daniels,QB,SO,6-3,210,"Irvine, CA",Mater Dei
16,Dominic Davis,WR,SR,5-9,195,"Los Angeles, CA",Bishop Alemany
57,Justin Dedich,C,FR,6-2,295,"Temecula, CA",Chaparral HS
68,Liam Douglass,OG,FR,6-5,300,"Topanga, CA",Harvard Westlake HS
44,Jack Drake,CB,SO,5-10,190,"Danville, CA",De La Salle
37,Ben Easington,TB,SO,5-10,210,"Evanston, IL",Evanston
31,Hunter Echols,OLB,SO,6-5,240,"Los Angeles, CA",Cathedral
38,Chris Edmondson,TB,JR,5-9,190,"Cibolo, TX",Clemens
48,Peter Esparza,ILB,FR,6-1,210,"West Covina, CA",JSerra Catholic HS
41,Juliano Falaniko,ILB,SO,6-4,235,"Pago Pago, American Samoa",Leone
83,Josh Falo,TE,JR,6-6,230,"Sacramento, CA",Inderkum
50,Nick Figueroa,DL,SO,6-5,280,"San Bernardino, CA",Cajon/Cal Poly/Riverside CC
19,Matt Fink,QB,JR,6-3,200,"Rancho Cucamonga, CA",Glendora
15,Thomas Fitts,PK,SR,6-1,185,"Dallas, TX",Episcopal School of Dallas
81,Kyle Ford,WR,FR,6-2,210,"Corona, CA",Orange Lutheran HS
1,Palaie Gaoteote IV,ILB,SO,6-2,250,"Las Vegas, NV",Bishop Gorman HS
