No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
46,Eli Adams,DL,FR,5-11,240,"Rock Hill, SC",South Pointe
92,Mark Applegate,K,FR,5-11,155,"Fairfax, VA",Oakton
15,Keshon Artis,LB,SO,6-0,235,"Chesapeake, VA",Oscar Smith
23,Rayshard Ashby,LB,JR,5-10,237,"Chesterfield, VA",L.C. Bird
97,Keondré Banks,WR,JR,5-11,185,"Raleigh, NC",Roanoke Rapids/Tusculum
38,Amaré Barno,LB,JR,6-6,235,"Blythewood, SC",Westwood/Butler Community College
43,Cole Beck,RB,FR,6-1,202,"Blacksburg, VA",Blacksburg
90,Jaevon Becton,DL,FR,6-4,255,"Virginia Beach, VA",Ocean Lakes
46,Malik Bell,RB,FR,6-0,230,"Mineral, VA",Louisa
8,Emmanuel Belmar,DL,JR,6-2,245,"Suwanee, GA",Collins Hill
42,Cole Blaker,TE,SO,6-3,250,"Narrows, VA",Narrows
88,Elijah Bowick,WR,FR,6-1,216,"Charlotte, NC",Myers Park
34,Tink Boyd,WR,FR,5-10,180,"Chesterfield, VA",Trinity
91,Oscar Bradburn,P,JR,6-1,221,"Sydney, Australia",Sydney Secondary College
90,Sam Brooks,TE,FR,6-2,210,"Rockville, VA",Goochland
53,Aiden Brown,DL,SO,6-2,290,"Silver Spring, MD",Bullis School
3,Braxton Burmeister,QB,SO,6-1,210,"La Jolla, CA",La Jolla Country Day/Oregon
9,Luke Bussel,WR,FR,6-1,210,"Chesapeake, VA",Greenbrier Christian/Fork Union Military Academy (Va.)
52,Austin Cannon,OL,JR,6-2,323,"Mechanicsville, VA",Atlee/Fork Union Military Academy (Va.)
27,Armani Chatman,DB,FR,5-11,195,"Virginia Beach, VA",Bishop Sullivan Catholic
22,Chamarri Conner,DB,SO,6-0,211,"Jacksonville, FL",Trinity Christian Academy
36,DaShawn Crawford,DL,JR,6-0,290,"Bay Springs, MS",Bay Springs/Jones County Junior College
58,Walker Culver,OL,FR,6-6,300,"Soddy-Daisy, TN",Baylor School
92,Jaden Cunningham,DL,JR,6-2,306,"Lithonia, GA",Martin Luther King/Hutchinson Community College
77,Christian Darrisaw,OL,SO,6-5,311,"Upper Marlboro, MD",Riverdale Baptist/Fork Union Military Academy (Va.)
89,Drake DeIuliis,TE,SO,6-5,250,"Charlotte, NC",Providence
64,Sam DeLuke,LS,FR,5-10,223,"Wake Forest, NC",Wake Forest
17,Divine Deablo,DB,JR,6-3,223,"Winston-Salem, NC",Mount Tabor
13,Zion Debose,DL,SO,6-1,246,"Salisbury, NC",North Rowan
