No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
72,Trey Adams,OL,SR,6-8,314,"Wenatchee, WA",Wenatchee
10,Miki Ah You,LB,FR,6-1,215,"Laie, HI",Kahuku
26,Salvon Ahmed,TB,JR,5-11,196,"Kirkland, WA",Juanita
68,M.J. Ale,OL,FR,6-6,352,"Tacoma, WA",Fife
5,Andre Baccellia,WR,SR,5-10,175,"Thousand Oaks, CA",Westlake
66,Henry Bainivalu,OL,SO,6-6,326,"Sammamish, WA",Skyline
96,Jacob Bandes,DL,FR,6-2,313,"Pittsburg, CA",Pittsburg
55,Ryan Bowman,OLB,JR,6-0,277,"Bellevue, WA",IMG Academy (Fla.)
36,Malik Braxton,TB,SR,5-10,207,"Lynnwood, WA",Meadowdale
90,Josiah Bronson,DL,SR,6-3,291,"Kent, WA",Kentwood
38,Zechariah Brown,DB,SO,5-10,195,"Seattle, WA",Cleveland
1,Hunter Bryant,TE,JR,6-2,239,"Issaquah, WA",Eastside Catholic
5,Myles Bryant,DB,SR,5-9,185,"Pasadena, CA",Loyola
77,Julius Buelow,OL,FR,6-8,342,"Kapolei, HI",Kapolei
36,Dustin Bush,DB,SR,5-9,183,"San Diego, CA",Mira Mesa
59,Draco Bynum,DL,FR,6-4,268,"Wilsonville, OR",Wilsonville
4,Terrell Bynum,WR,SO,6-1,189,"Long Beach, CA",St. John Bosco
14,Josh Calvert,LB,FR,6-2,223,"Oak Park, CA",Oaks Christian
49,A.J. Carty,LS,SR,6-3,243,"Santa Ana, CA",Servite
82,Jordan Chin,WR,JR,6-0,174,"San Fernando, CA",Chaminade Prep
57,John Clark,DL,SR,6-4,289,"Marysville, WA",Marysville Getchell
11,Alex Cook,DB,SO,6-1,203,"Sacramento, CA",Sheldon
83,Devin Culp,TE,FR,6-3,262,"Spokane, WA",Gonzaga Prep
79,Victor Curne,OL,FR,6-3,320,"Houston, TX",Second Baptist
22,Cameron Davis,TB,FR,6-0,197,"Rancho Cucamonga, CA",Upland
17,Taj Davis,WR,FR,6-1,195,"Chino, CA",Upland
10,Jacob Eason,QB,JR,6-6,227,"Lake Stevens, WA",Lake Stevens
31,Kamren Fabiculanan,DB,FR,6-1,181,"Camarillo, CA",Westlake
55,Troy Fautanu,OL,FR,6-4,295,"Henderson, NV",Liberty
54,Drew Fowler,LB,FR,6-1,210,"Bellevue, WA",Bellevue
28,Ruperake Fuavai,LB,FR,6-2,230,"Auburn, WA",O'Dea
