No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
3,Chaz Ah You,LB,JR,6-2,206,"Saratoga Springs, UT",Westlake High School
25,Tyler Allgeier,RB,SO,5-11,220,"Fontana, CA",Kaiser High School
25,Samuel Allred,DB,SR,6-0,205,"Richardson, TX",Plano East High School
23,Zayne Anderson,LB,SR,6-2,210,"Stansbury Park, UT",Stansbury Park High School
30,Luc Andrada,RB,FR,5-10,175,"Pueblo, CO",Pueblo East High School
59,Truman Andrus,LB,FR,6-2,215,"El Dorado Hills, CA",Oakridge High School
56,Clark Barrington,OL,SO,6-6,302,"Spokane, WA",University High School
92,Tyler Batty,DL,FR,6-5,261,"Payson, UT",Payson High School
65,Chandler Bird,OL,FR,6-1,285,"Ocean City, NJ",St. Augustine Preparatory
27,Chayce Bolli,WR,FR,6-0,190,"Cave Creek, AZ",Boerne-Champion High School
31,Jacob Boren,WR,SO,5-9,180,"Salt Lake City, UT",Highland High School
10,Javelle Brown,RB,FR,6-1,187,"San Diego, CA",Mira Mesa High School
89,Matt Bushman,TE,SR,6-5,240,"Tucson, AZ",Sabino High School
33,Ben Bywater,LB,FR,6-3,220,"Salt Lake City, UT",Olympus High School
67,Brady Christensen,OL,JR,6-6,300,"Bountiful, UT",Bountiful High School
15,Caleb Christensen,DB,FR,5-9,193,"Smithfield, UT",Sky View High School
17,Jacob Conover,QB,FR,6-1,205,"Chandler, AZ",Chandler High School
85,Brayden Cosper,WR,SO,6-3,205,"South Jordan, UT",Bingham High School
17,Matthew Criddle,LB,JR,6-1,205,"Highland, UT",Snow College
19,Miles Davis,RB,FR,6-2,202,"Las Vegas, NV",Las Vegas HS
99,Zac Dawe,DL,SR,6-4,271,"Pleasant Grove, UT",Pleasant Grove High School
43,Theo Dawson,RB,SO,6-0,225,"Jackson, WY",Wyoming
93,Bracken El-Bakri,DL,SR,6-3,286,"Cottonwood Heights, UT",Brighton High School
2,Keenan Ellis,DB,JR,6-0,181,"San Diego, CA",Bonita Vista High School
66,James Empey,OL,JR,6-4,303,"American Fork, UT",American Fork High School
0,Kody Epps,WR,FR,5-11,180,"Los Angeles, CA",Mater Dei High School
10,Mason Fakahua,QB,FR,6-2,217,"Cedar City, UT",Cedaar City High School
88,Terence Fall,WR,FR,6-3,188,"Paris, France",Aquinas HS
55,Lorenzo Fauatea,DL,JR,6-4,305,"West Valley, UT",Hunter High School
44,Seleti Fevaleaki,DL,FR,6-3,270,"Corona, CA",Centennial High School
20,Sione Finau,RB,SO,5-11,185,"Kearns, UT",Kearns High School
34,Kavika Fonua,LB,SR,6-0,205,"Syracuse, UT",Syracuse High School
71,Blake Freeland,OL,SO,6-8,300,"Herriman, UT",Herriman High School
27,Tavita Gagnier,DB,FR,6-2,196,"Tooele, UT",Stansbury High School
75,JT Gentry,DL,SO,6-5,304,"Littleton, CO",Columbine High School
42,Kyle Griffitts,TE,SR,6-3,245,"Windermere, FL",West Orange High School
36,Talmage Gunther,WR,FR,5-11,190,"Cedar Hills, UT",Lone Peak High School
3,Jaren Hall,QB,SO,6-1,205,"Spanish Fork, UT",Maple Mountain High School
