No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Norman Anderson,WR,JR,6-0,172,"Jacksonville, FL",Fletcher
32,Nick Apsey,LB,SO,6-1,225,"Empire, MI",Glen Lake
78,Vashon Bailey,OL,FR,6-7,305,"Sunrise, FL",Somerset Academy
42,Tyler Barkeley,WR,SR,6-0,202,"Lake Orion, MI",Lake Orion
49,Brendan Barker,LB,FR,5-11,195,"Clarkston, MI",Clarkston
7,Richard Bowens III,DB,JR,6-1,193,"Detroit, MI",Orchard Lake St. Mary's/Iowa State
24,Darius Bracy,RB,JR,5-10,203,"Mobile, AL",Baker
84,Kenny Brewer III,WR,FR,6-0,191,"Lansing, MI",Waverly/Valparaiso
10,Jacques Bristol,DL,SO,6-1,302,"Sarasota, FL",Booker
12,Ty Brock,QB,JR,6-4,201,"College Station, TX",College Station/Sam Houston State
9,Brandon Brown,DB,JR,5-10,185,"Buffalo, NY",Canada Prep Football Academy
34,Christian Brown,RB,FR,5-11,190,"Temperance, MI",Temperance Bedford
59,Tico Brown,DL,SO,6-2,285,"Kokomo, IN",Homestead
8,Troy Brown,LB,JR,6-2,205,"Flint, MI",Carman-Ainsworth
44,Hunter Buczkowski,TE,SR,6-0,249,"Mount Pleasant, MI",Mount Pleasant
43,Carlton Cleophat,LB,JR,6-0,215,"Pompano Beach, FL",Blanche-Ely
85,Keegan Cossou,TE,JR,6-5,245,"Greenville, MI",Greenville
51,Cade Cote,DL,FR,6-3,230,"Maple Ridge, Canada",Clarkson North Secondary
27,Josh Crawford,RB,FR,5-11,199,"Montclair, NJ",Montclair
16,Jayden Cray,LB,FR,6-2,210,"Sarasota, FL",Riverview Sarasota
26,Mohamed Diallo,DL,SR,6-4,305,"Toronto, Canada",Eastern Commerce Collegiate Institute/Texas A&M
18,Ormondell Dingle,LB,FR,6-3,225,"Detroit, MI",Cass Technical
15,Dallas Dixon,WR,JR,6-1,189,"Phoenix, AZ",Tolleson/Northern Michigan
17,George Douglas,LB,JR,6-1,222,"Ypsilanti, MI",Belleville
0,Brian Edwards,DB,JR,6-2,192,"Hollywood, FL",Miramar/Florida
28,Luke Elzinga,P,FR,6-4,212,"Grand Rapids, MI",Grand Rapids Christian
66,Tyden Ferris,OL,SO,6-4,300,"Delton, MI",Delton-Kellogg
79,Nick Follmer,OL,JR,6-5,295,"O'Fallon, MO",Liberty
89,Javon Gantt,WR,FR,6-4,215,"Jacksonville, FL",Westside
41,Cory Gildersleeve Jr.,LB,FR,6-2,230,"Saline, MI",Saline
67,Luke Goedeke,OL,JR,6-5,295,"Whitelaw, WI",Valders
35,Logan Guthrie,LB,FR,6-1,232,"Alpena, MI",Alpena
33,Kumehnnu Gwilly,LB,SR,6-2,245,"Shelby Township, MI",Utica
13,Troy Hairston II,LB,SR,5-11,245,"Birmingham, MI",Birmingham Seaholm
57,Aarion Harvey,OL,JR,6-5,315,"Chicago, IL",Penn Foster/Hudson Valley CC
46,Michael Hegewald,TE,JR,6-4,245,"Traverse City, MI",St. Francis/Dayton
82,Austin Hergott,TE,JR,6-4,235,"Fort Thomas, KY",Highlands
6,Daedae Hill,DB,FR,5-11,180,"Palmetto, FL",Palmetto
36,Nevin Hughes,LB,FR,6-0,225,"Brownstown, MI",Riverview Gabriel Richard
91,Deron Irving-Bey,DL,JR,6-5,295,"Flint, MI",Southwestern Academy/Michigan
94,Aidan Jennings,K,FR,6-1,200,"Walled Lake, MI",Walled Lake Western
61,Albert Jespersen,OL,FR,6-6,270,"Copenhagen, Denmark",H.C. Ørsten Gymnasium
60,Riley John,LS,SR,5-11,228,"Appleton, WI",Appleton East/Arizona State
11,LaQuan Johnson Jr.,DL,SO,6-3,260,"Flint, MI",Burton Bendle
23,Adam Jones,WR,FR,6-2,185,"Knoxville, TN",Knoxville Catholic
31,Chuck Jones,LB,JR,5-11,225,"Ypsilanti, MI",Ann Arbor Skyline
29,Trey Jones,DB,FR,6-2,200,"Wetumpka, AL",Wetumpka
8,John Keller,QB,SO,6-1,203,"Canton, OH",Hoover/Cincinnati
19,Donte Kent,DB,FR,5-11,180,"Harrisburg, PA",Harrisburg
50,Jamezz Kimbrough,OL,JR,6-2,270,"Homewood, IL",Flossmoor
72,Cade Klimczak,OL,FR,6-1,272,"Rockford, MI",Rockford
4,Gage Kreski,DB,SR,6-1,205,"St. Ignace, MI",St. Ignace
96,Franklin Lama,LS,SO,6-2,255,"Madison Heights, MI",Bishop Foley
48,Oakley Lavallii,TE,SR,5-11,230,"Boca Raton, FL",West
80,Drayton Law,WR,JR,6-4,206,"Mobile, AL",Baker
4,Kobe Lewis,RB,JR,5-11,208,"Americus, GA",Americus-Sumter
14,Ben Maleszyk,WR,JR,6-3,198,"Warren, MI",Cousino
47,Nick Masztak,LB,JR,6-1,214,"Mattawan, MI",Hackett Catholic Center
3,Alonzo McCoy,DB,SR,5-11,200,"Detroit, MI",Redford Thurston
25,Dishon McNary,DB,JR,6-1,185,"Chicago, IL",East Paulding/Independence CC
64,Marshall Meeder,K,FR,5-11,185,"Eaton Rapids, MI",Eaton Rapids
2,David Moore,QB,SR,6-2,190,"Alpharetta, GA",Milton/Garden City CC
69,Danny Motowski,OL,SO,6-3,295,"Macomb, MI",De La Salle
32,Alec Muck,WR,FR,5-11,180,"Sand Creek, MI",Sand Creek
7,Lew Nichols III,RB,FR,5-10,220,"Detroit, MI",Cass Technical
87,Keonta Nixon,WR,SO,6-3,209,"Chicago, IL",Lake Park
74,Ronnie Novosedliak,OL,FR,6-7,265,"Pittsburgh, PA",North Hills
39,Ke'Shon Parker,LB,FR,6-1,210,"Detroit, MI",Cass Technical
13,Mark Patritto,WR,JR,5-11,195,"Rochester, MI",Adams
88,Kalil Pimpleton,WR,JR,5-9,175,"Muskegon, MI",Muskegon/Virginia Tech
90,Evan Plate,DL,SO,6-3,241,"Greenville, MI",Greenville
65,Deiyantei Powell-Woods,OL,SO,6-5,299,"Bluefield, WV",Bluefield
76,Bernhard Raimann,OL,JR,6-7,290,"Steinbrunn, Austria",Delton-Kellogg
5,Devonni Reed,DB,JR,6-0,195,"Detroit, MI",Belleville
2,Willie Reid,DB,SO,6-1,206,"Detroit, MI",Cass Tech
10,Daniel Richardson,QB,FR,5-10,205,"Miami, FL",Carol City
97,Max Saylor,DL,SO,6-3,235,"Rochester, MI",Brother Rice
19,Tyrone Scott,WR,SO,6-3,194,"Estill, SC",Jenkins
34,Amir Siddiq,DL,JR,6-2,245,"Detroit, MI",Fordson
56,Derek Smith,OL,SR,6-5,295,"Grand Rapids, MI",Kenowa Hills
98,Fred Stokes,DL,FR,6-5,225,"Lombard, IL",Montini Catholic
71,Robi Stuart,DL,SR,6-3,300,"Saginaw, MI",Saginaw Nouvel Catholic Central
37,Rolliann Sturkey,DB,JR,5-11,183,"Oak Park, IL",Oak Park-River Forest
11,JaCorey Sullivan,WR,SR,6-2,220,"Muskegon, MI",Muskegon
17,Zahir Swann,RB,FR,5-8,170,"Irvington, NJ",Irvington
70,Romello Tarver,OL,SO,6-5,270,"Delray Beach, FL",Oxbridge Academy
18,Alec Ward,WR,FR,5-10,180,"Bloomfield Hills, MI",Bloomfield Hills
45,Justin Whiteside,LB,FR,6-0,200,"Flossmoor, IL",Homewood-Flossmoor
83,Joel Wilson,TE,SO,6-4,235,"Petoskey, MI",Petoskey
20,Tyrese Wynn,DB,SO,6-2,190,"Flint, MI",Burton Bendle
