No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Richard Bates Jr.,OL,JR,6-3,297,"Kenner, LA",Scotlandville Magnet/Independence C.C.
30,Trey Bess III,RB,FR,5-9,183,"McRae, GA",Telfair County
4,Hassan Beydoun,WR,JR,5-8,173,"Dearborn, MI",Dearborn
46,Steve Bird,LS,SO,5-10,213,"Phoenix, AZ",Sandra Day O'Connor
23,Blake Bogan,DB,JR,6-2,200,"Grand Blanc, MI",Grand Blanc
27,Darius Boone Jr.,RB,FR,5-11,205,"Tulsa, OK",Union
96,DeZaun Brooks,DL,FR,6-3,229,"Indianapolis, IN",Lawrence Central
56,Charles Brown Jr.,LB,FR,6-1,220,"Edgewood, MD",Harford Technical
48,Chris Bruglio,DL,SO,6-0,218,"Chicago, IL",St. Rita
53,Matthew Buschman,LB,SO,6-2,220,"Brighton, MI",Brighton
44,Luke Cameron,LB,JR,6-1,217,"Kokomo , IN",Kokomo/Army West Point
86,Bryson Cannon,TE,SR,6-2,242,"Columbia, SC",Dutch Fork/Independence C.C.
27,David Carter Jr.,DB,FR,5-11,175,"Ecorse, MI",River Rouge
95,Mikah Coleman,DL,FR,6-5,252,"Reynoldsburg, OH",Reynoldsburg
54,Zack Conti,OL,FR,6-6,295,"Trenton, MI",Trenton
93,Jordan Crawford,DL,JR,6-1,350,"Houston, TX",Pearland/Tyler J.C.
21,Robert Daniel Jr.,DB,SO,6-0,192,"Oak Park, MI",Oak Park
18,Jacob Delso,WR,FR,6-0,172,"Okmulgee, OK",Checotah
69,Jake Donnellon,OL,SR,6-5,300,"Ypsilanti, MI",Gabriel Richard
77,Brian Dooley,OL,SO,6-7,300,"Bowling Green, OH",Toledo St. John’s Jesuit
75,Dimitri Douglas,OL,SO,6-4,299,"Saline, MI",Saline/Michigan State
80,Dylan Drummond,WR,JR,6-0,178,"Cleveland, OH",Cuyahoga Heights
78,Jason Eaton,OL,FR,6-7,320,"Clarksville, TN",Clarksville
34,Samson Evans,RB,SO,6-0,210,"Crystal Lake, IL",Prairie Ridge/Iowa
9,Carthell Flowers,DB,JR,6-2,196,"Syracuse, NY",Nottingham
38,Michael Foor,RB,SO,5-11,201,"Carleton, MI",Airport
87,Evan Furtney,TE,FR,6-4,230,"Milan, MI",Milan
83,Jere Getzinger Jr.,TE,FR,6-3,233,"West Branch, MI",Ogemaw Heights
42,Jack Goodman,DB,FR,6-1,206,"Battle Creek, MI",Lakeview
