No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
57,Gavin Adcock,NT,JR,5-11,275,"Watkinsville, GA",Oconee
43,Tre Allen,ILB,JR,6-1,235,"Stockbridge, GA",Woodland
9,Darion Anderson,WR,SR,6-0,200,"Warner Robins, GA",Houston County
59,Dakota Anthony,OL,FR,6-4,275,"Ellaville, GA",Schley County
86,Mason Babay,WR,FR,5-11,175,"Acworth, GA",Harrison
14,Darrell Baker Jr.,CB,SR,6-1,195,"Hephzibah, GA",Hephzibah
84,Magill Bauerle,P,SR,6-1,195,"Athens, GA",Athens Academy
7,Anthony Beck II,P,SO,6-4,225,"Guyton, GA",South Effingham
38,Deonta Bembry,CB,SO,5-9,175,"Stone Mountain, GA",Stephenson
88,Jordan Bennett,WR,FR,5-11,210,"Pelham, GA",Pelham
18,Justin Birdsong,CB,JR,5-11,180,"Lithonia, GA",Stephenson
16,Alex Bowen,QB,FR,6-0,195,"Glen Saint Mary, FL",Baker County
62,Robb Bozeman,NT,SR,6-4,265,"Smyrna, DE",Polytech/Widener
11,Todd Bradley,ILB,SR,6-0,225,"Valdosta, GA",Valdosta
24,Tyler Bride,S,FR,5-10,180,"Atlanta, GA",Greater Atlanta Christian
48,Cam Brown,TE,SR,6-2,240,"Suwanee, GA",Peachtree Ridge
80,D.J. Butler,TE,JR,6-2,230,"Orangeburg, SC",Bob Jones (AL)
45,Rashad Byrd,ILB,SR,6-0,230,"North Augusta, SC",North Augusta
13,Derrick Canteen,CB,FR,5-11,185,"Evans, GA",Evans
77,Griffin Carder,OL,FR,6-4,295,"Leesburg, GA",Lee County
28,Dexter Carter Jr.,WR,SR,6-0,195,"Jacksonville, FL",The Bolles School
97,Bryce Christensen,PK,SO,5-11,190,"Suwanee, GA",Lambert
13,Connor Cigelske,QB,FR,6-0,190,"Atlanta, GA",Marist School
37,Caree Collier,ILB,FR,6-0,200,"North Augusta, SC",North Augusta
91,Thomas Cook,OLB,SO,6-5,230,"Columbus, GA",Carver
95,Logan Cox,LS,JR,6-0,230,"Canton, GA",Woodstock
72,Khalil Crowder,OL,SO,6-1,310,"Carrollton, GA",Carrollton
37,Quincy Darnell,WR,FR,6-2,200,"Alpharetta, GA",Johns Creek
39,Reid Dedman,OLB,FR,5-11,200,"Carrollton, GA",Carrollton
90,Parker Devine,NT,SO,6-3,265,"Jacksonville, FL",Bartram Trail
35,Chandler Dial-Watson,S,FR,5-11,190,"Gainesville, GA",Flowery Branch
31,Chase Dial-Watson,S,FR,5-10,190,"Gainesville, GA",Flowery Branch
