No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
63,Ben Adler,OL,JR,6-4,332,"Wichita, KS",Trinity Academy
52,Nick Allen,LB,SO,5-11,225,"Overland Park, KS",Blue Valley Southwest
91,Felix Anudike,DE,FR,6-3,244,"Lee's Summit, MO",Lee’s Summit North
34,Levi Archer,LB,FR,6-3,217,"Goodland, KS",Goodland
17,Nick Ast,QB,JR,6-5,219,"Cimarron, KS",Cimarron
36,Mason Barta,FB,JR,6-1,239,"Holton, KS",Holton
50,Cooper Beebe,OL,FR,6-3,326,"Kansas City, KS",Piper
43,Jack Blumer,P,SO,6-2,193,"Marysville, KS",Marysville
48,Michael Book,LB,FR,6-4,192,"Kansas City, MO",Liberty
16,Derek Bowman,LB,SO,6-1,220,"Manhattan, KS",Homeschooled
80,Ty Bowman,WR,FR,6-5,220,"Chanute, KS",Chanute
25,Ekow Boye-Doe,DB,SO,6-0,165,"Lawrence, KS",Lawrence
88,Phillip Brooks,WR,SO,5-7,167,"Lee's Summit, MO",Lee's Summit West
21,Aamaris Brown,DB,FR,5-10,184,"Seffner, FL",Armwood
37,Parker Bruce,LB,JR,6-1,218,"Andale, KS",Andale/Butler CC
33,Tyler Burns,RB,SR,6-0,217,"Wichita, KS",Trinity Academy
49,Wesley Burris,LS,SR,5-10,204,"Olathe, KS",Olathe East
33,Jaylen Carter,DB,FR,5-10,165,"Topeka, KS",Washburn Rural
43,Terrence Collins II,DB,FR,5-9,175,"Lenexa, KS",St. Thomas Aquinas
37,Kirk Coomes,FB,SO,6-0,237,"Phillipsburg, KS",Phillipsburg
82,Cameron Cotton,TE,JR,6-4,238,"Elk River, MN",Elk River
86,Hillard Cozine,TE,SO,6-4,259,"Wichita, KS",Trinity Academy/Butler CC
65,Harrison Creed,OL,JR,6-5,298,"Ulysses, KS",Ulysses
58,Cartez Crook-Jones,DE,SO,6-3,262,"Grandview, MO",Grandview
49,Adam Davis,LB,SO,6-1,213,"Overland Park, KS",St. Thomas Aquinas
62,Dawson Delforge,OL,JR,6-5,318,"Wamego, KS",Wamego/Butler CC
8,Tee Denson,DB,FR,6-0,182,"Atlanta, GA",Cedar Grove
29,Jax Dineen,FB,SO,5-10,241,"Lawrence, KS",Free State
17,Ben Driver,DB,FR,6-0,201,"Salina, KS",Salina Central
73,Christian Duffie,OL,SO,6-5,303,"Humble, TX",Summer Creek
42,Chris Dugan,DE,SR,6-1,237,"Wichita, KS",Bishop Carroll/Butler CC
29,Khalid Duke,DE,SO,6-3,244,"Atlanta, GA",Riverside Military Academy
75,Tre Eaton,OL,FR,6-7,296,"Olathe, KS",Olathe South
58,Justin Eichman,OL,SR,6-9,329,"Topeka, KS",Hayden/Butler CC
19,Ross Elder,DB,JR,6-0,180,"Kansas City, MO",Rockhurst
7,Joe Ervin,RB,FR,5-8,177,"Rock Hill, SC",South Pointe
55,Cody Fletcher,LB,SR,6-2,224,"Henrietta, TX",Henrietta/Tyler JC
81,Konner Fox,TE,FR,6-4,253,"San Antonio, TX",Reagan
46,Jace Friesen,DE,FR,6-1,237,"Basehor, KS",Basehor-Linwood
13,Kirmari Gainous,DE,JR,6-3,255,"Tallahassee, FL",Lincoln/Hutchinson CC
1,Keenan Garber,WR,FR,5-11,167,"Lawrence, KS",Free State
6,Justin Gardner,DB,JR,6-2,191,"Charlotte, NC",Shiloh/Hutchinson CC
54,Kienen Gaskin,LB,FR,6-0,215,"Lee's Summit, MO",Lee’s Summit North
21,Wykeen Gill,WR,SR,5-10,184,"Atchison, KS",Atchison
55,Hayden Gillum,OL,SO,6-3,296,"Plainville, KS",Plainville
45,Reed Godinet,DE,JR,6-5,237,"Springdale, AR",Springdale/College of San Mateo
22,Daniel Green,LB,SO,6-2,238,"Portland, OR",Madison
7,Bart Harris,QB,SO,6-4,231,"Belton, MO",Belton/Hutchinson CC
1,Jay Harris,LB,FR,6-0,195,"Pearland, TX",Shadow Creek
84,Thomas Helten,WR,SO,6-3,212,"Garden Plain, KS",Bishop Carroll
5,Ryan Henington,DB,JR,6-1,206,"Junction City, KS",Junction City
36,Hunter Henry,DB,FR,6-0,190,"Austin, TX",Lake Travis/Rice Univ.
15,Robert Hentz II,DT,JR,6-0,291,"Batesville, MS",South Panola/NW Mississippi CC
18,Eric Hommel,WR,JR,6-2,204,"Littleton, CO",Rock Canyon
25,Gabe Hoover,WR,FR,6-1,184,"McPherson, KS",McPherson
89,C.J. Horton,WR,FR,6-6,235,"Fort Scott, KS",Fort Scott
15,Will Howard,QB,FR,6-4,230,"Downingtown, PA",Downingtown West
56,Wyatt Hubert,DE,JR,6-3,270,"Topeka, KS",Shawnee Heights
92,Eli Huggins,DT,JR,6-4,294,"Cumming, GA",West Forsyth
27,Jake Huggins,FB,FR,6-2,222,"Cumming, GA",West Forsyth
32,Justin Hughes,LB,SR,6-1,229,"Tucker, GA",Tucker
69,Noah Johnson,OL,SR,6-1,287,"Wichita, KS",Bishop Carroll/Butler CC
4,Wayne Jones,DB,SO,6-0,208,"Owasso, OK",Owasso
26,Will Jones II,DB,FR,5-9,183,"Mansfield, TX",Summit
78,Marshall Kellner,OL,SO,6-3,305,"De Soto, KS",De Soto
35,Jairus Kennedy,DB,FR,6-1,175,"Wichita, KS",Kapaun Mt. Carmel
27,Cameron Key,DB,SO,5-9,177,"Overland Park, KS",Bishop Miege
4,Malik Knowles,WR,SO,6-2,200,"Mansfield, TX",Lake Ridge
99,Owen Lawson,PK,FR,6-3,185,"Kansas City, MO",Rockhurst
87,Nick Lenners,FB,JR,6-5,252,"Lincoln, NE",Lincoln Southwest
70,Kaitori Leveston,OL,SO,6-4,345,"Waco, TX",Midway
5,Jaren Lewis,QB,FR,6-1,219,"Columbia, MO",Battle
14,Tyrone Lewis,DB,FR,5-11,202,"Hammond, LA",Hammond
71,Logan Long,OL,JR,6-4,315,"Woodward, OK",Woodward
10,Blake Lynch,PK,SR,5-5,148,"Goddard, KS",Eisenhower
28,Vaughn Malone,DB,FR,5-11,171,"Austin, TX",St. Michael's Catholic Academy
14,Max Marsh,QB,FR,6-2,190,"Grand Junction, CO",Eaglecrest
30,Matthew Maschmeier,DB,FR,6-0,195,"Lisle, IL",Naperville North
90,Bronson Massie,DE,SR,6-4,260,"Lufkin, TX",Lufkin
97,Nate Matlack,DE,FR,6-4,226,"Olathe, KS",Olathe East
31,Jahron McPherson,DB,SR,6-1,200,"Basehor, KS",Basehor Linwood/Butler CC
18,Malachi Mitchell,DB,FR,6-0,194,"Mansfield, TX",Legacy
72,Witt Mitchum,OL,FR,6-5,259,"McKenzie, TN",McKenzie
24,Brock Monty,DB,SR,6-2,211,"Wichita, KS",Kapaun Mt. Carmel
41,Austin Moore,LB,FR,6-0,214,"Louisburg, KS",Louisburg
0,Briley Moore,TE,SR,6-4,250,"Blue Springs, MO",Blue Spring South/Univ. of Northern Iowa
44,Christian Moore,FB,FR,6-2,236,"Huntington Beach, CA",Huntington Beach
38,Brendan Mott,DE,FR,6-4,237,"Iowa City, IA",Iowa City West
6,Keyon Mozee,RB,FR,5-7,179,"Lee’s Summit, MO",Lee’s Summit North
5,Derick Newton,DT,SO,6-1,271,"Douglas, GA",Coffee/Butler CC
26,Elliot Ollenburger,WR,SO,5-10,175,"Hillsboro, KS",Hillsboro
57,Beau Palmer,LB,FR,6-3,205,"Overland Park, KS",Blue Valley
12,AJ Parker,DB,SR,5-11,178,"Bartlesville, OK",Bartlesville
85,Riley Petz,WR,FR,6-1,165,"Cheney, KS",Cheney
93,Jaylen Pickle,DT,SO,6-4,313,"Cimarron, KS",Cimarron
45,Nelson Pipes,LS,FR,6-1,200,"Hallsville, MO",Hallsville
42,Randen Plattner,LS,SO,6-2,221,"Parkville, MO",Park Hill
52,Taylor Poitier,OL,FR,6-2,290,"Shawnee, KS",Bishop Miege
16,Seth Porter,WR,SO,5-8,165,"Friendswood, TX",Clear Springs
30,Clyde Price,RB,FR,6-0,209,"Kansas City, MO",North Kansas City
20,D.J. Render,WR,SR,5-11,191,"Kennesaw, GA",North Cobb
76,Josh Rivas,OL,JR,6-6,335,"Hutchinson, KS",Hutchinson
2,Lance Robinson,DB,SO,5-10,194,"New Orleans, LA",De La Salle
39,Jordan Schippers,DB,SO,6-1,197,"Colby, KS",Colby/Western Illinois Univ.
28,Kaelen Shankle,RB,FR,6-0,205,"Richmond, TX",Fort Bend Travis
66,Sam Shields,OL,FR,6-4,311,"Manhattan, KS",Manhattan
34,Ben Sinnott,TE,FR,6-3,220,"Waterloo, IA",Columbus Catholic
68,Jackson Smith,OL,FR,6-4,280,"St. Paul, MN",Saint Thomas Academy
7,TJ Smith,DB,FR,5-9,186,"Atlanta, GA",McEachern
64,Trevor Stange,OL,FR,6-3,274,"Coppell, TX",Coppell
95,Elliott Strahm,DT,FR,6-1,276,"Sabetha, KS",Sabetha
47,Cody Stufflebean,TE,FR,6-4,235,"McPherson, KS",McPherson
0,Elijah Sullivan,LB,SR,6-0,215,"Tucker, GA",Tucker
83,Will Swanson,TE,FR,6-5,245,"Papillion, NE",La Vista South
50,Tyrone Taleni,DE,SO,6-2,261,"Savai'i, Samoa",Mt. San Antonio College
13,Chabastin Taylor,WR,JR,6-4,223,"Giddings, TX",Giddings
3,Kiondre Thomas,DB,SR,6-0,186,"Fort Smith, AR",Northside/Univ. of Minnesota
10,Skylar Thompson,QB,SR,6-2,223,"Independence, MO",Fort Osage
3,Jaelon Travis,WR,FR,6-0,208,"Mansfield, TX",Summit
2,Harry Trotter,RB,SR,5-11,202,"Atchison, KS",Maur Hill-Mount Academy/Univ. of Louisville
40,Spencer Trussell,DE,SO,6-3,232,"Arlington, TX",Martin
22,Deuce Vaughn,RB,FR,5-5,168,"Round Rock, TX",Cedar Ridge
51,Talor Warner,OL,FR,6-3,289,"Gardner, KS",Gardner Edgerton
12,Landry Weber,WR,JR,5-10,186,"Lenexa, KS",Bishop Miege
24,Dylan Wentzel,WR,JR,6-0,176,"Salina, KS",Salina Central
19,Sammy Wheeler,TE,SO,6-4,226,"Lenexa, KS",St. James Academy
59,Drew Wiley,DT,SR,6-4,300,"Vinton, IA",Vinton-Shellsburg
77,Carver Willis,OL,FR,6-5,287,"Durango, CO",Durango
35,Taiten Winkel,K,JR,6-0,181,"Halstead, KS",Halstead/Butler CC
9,Jacardia Wright,RB,FR,6-0,213,"Decatur, IL",St. Teresa
23,Joshua Youngblood,WR,SO,5-10,181,"Tampa, FL",Berkeley Prep
8,Ty Zentner,P,JR,6-1,198,"Topeka, KS",Shawnee Heights/Butler CC
