No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
55,Armaj Adams-Reed,OL,FR,6-5,391,"DeSoto, TX",DeSoto HS
6,Valerian Agbaw Jr.,CB,FR,5-10,185,"Powder Springs, GA",McEachern HS
44,Tabor Allen,K,FR,6-1,183,"Mansfield, TX",Mansfield Lakeridge HS
38,Clinton Anokwuru,DE,FR,6-3,224,"Richmond, TX",Fort Bend Bush HS
91,Jelani Arnold,DL,JR,6-2,265,"Irving, TX",MacArthur HS
2,Lawrence Arnold,WR,FR,6-3,185,"DeSoto, TX",DeSoto HS
28,Taiwan Berryhill,LB,FR,6-2,220,"New Orleans, LA",St. Augustine HS
34,Nate Betts,S,SR,6-1,204,"Kerens, TX",Kerens HS
96,Zack Biddison,DL,JR,6-2,245,"Overland Park, KS",Olathe East
83,Jacob Borcila,K,FR,6-2,177,"Westerville, OH",Westerville Central HS
68,Earl Bostick Jr.,OL,JR,6-6,290,"Barnwell, SC",Barnwell HS
18,Jordan Brown,WR,FR,5-11,184,"Grand Prairie, TX",DeSoto HS
49,Krishawn Brown,LB,FR,6-1,206,"Tulsa, OK",Booker T. Washington HS
91,Cole Brungardt,K,JR,6-6,220,"Lawrence, KS",Lawrence HS
93,Sam Burt,DL,SR,6-4,288,"Abilene, KS",Abilene HS
77,Bryce Cabeldue,OL,FR,6-6,282,"Clovis, NM",Clovis HS
97,Kenean Caldwell,DL,FR,6-2,333,"Oak Grove, LA",Oak Grove HS
25,David Carter,CB,JR,6-2,175,"Ocean Springs, MS",Ocean Springs HS
47,Jared Casey,FB,FR,6-0,254,"Plainville, KS",Plainville HS
35,Nick Caudle,S,JR,6-0,200,"Atchison, KS",Maur Hill HS
41,Nick Channel,LB,SO,6-0,214,"Wichita, KS",Kapaun Mt. Carmel HS
61,Malik Clark,OL,SR,6-4,323,"New Orleans, LA",Warren Easton HS
22,Jack Codwell,RB,FR,6-0,222,"Pearland, TX",IMG Academy
86,Mac Copeland,TE,SO,6-4,258,"Wichita, KS",Wichita Collegiate HS
17,Jalon Daniels,QB,FR,6-0,203,"Lawndale, CA",Lawndale HS
43,Jay Dineen,LB,JR,6-2,232,"Lawrence, KS",Free State HS
13,Ra'Mello Dotson,CB,FR,6-1,176,"Daytona Beach, FL",Mainland HS
32,Dylan Downing,OLB,FR,6-1,235,"Kansas City, KS",Bishop Miege HS
57,Emory Duggar,LS,FR,6-2,226,"Baton Rouge, LA",Catholic HS
89,Mason Fairchild,TE,SO,6-5,250,"Andale, KS",Andale HS
15,Miles Fallin,QB,JR,6-6,211,"Canyon Country, CA",Canyon HS
18,Denzel Feaster,LB,SR,6-3,224,"Austin, TX",Manor HS
7,Davon Ferguson,S,JR,5-10,178,"Baltimore, MD",St. Vincent Pallotti HS
6,Rob Fiorentino,RB,SO,5-10,199,"Somerville, NJ",Somerville HS
25,Gayflor Flomo,RB,JR,5-9,215,"Fridley, MN",Totino Grace HS
92,Donovan Gagen,P,SR,5-11,185,"Belleville, IL",Althoff Catholic HS
20,Donovan Gaines,CB,FR,5-10,194,"Moore, OK",Southmoore HS
0,Velton Gardner,RB,SO,5-9,195,"Dallas, TX",Skyline HS
79,Joseph Gilbertson,OL,JR,6-4,305,"Wichita, KS",Wichita Northwest
10,Tristan Golightly,WR,FR,6-4,214,"Mesquite, TX",Poteet HS
80,Luke Grimm,WR,FR,6-0,176,"Raymore, MO",Raymore-Peculiar HS
2,Corione Harris,CB,JR,6-1,180,"New Orleans, LA",Landry-Walker HS
50,Marcus Harris,DL,FR,6-2,280,"Montgomery, AL",Park Crossing HS
37,Hayden Hatcher,OLB,JR,6-3,225,"Council Bluffs, IA",Lewis Central HS
20,Daniel Hishaw Jr.,RB,FR,5-10,186,"Moore, OK",Moore HS
88,Jamahl Horne,WR,SO,5-10,186,"Miami, FL",Sunset HS
60,Luke Hosford,LS,FR,6-2,230,"Cuyahoga Falls, OH",Woodridge HS
34,Will Huggins,TE,FR,6-7,253,"Lenexa, KS",Shawnee Mission South HS
76,Chris Hughes,OL,SR,6-4,318,"Harker Heights, TX",Harker Heights HS
15,Kyron Johnson,OLB,SR,6-1,223,"Arlington, TX",Lamar HS
24,Malik Johnson,WR,FR,5-9,180,"The Woodlands, TX",The Woodlands HS
4,Elijah Jones,CB,SR,6-1,180,"Cape Coral, FL",North Fort Meyers HS
62,Garrett Jones,OL,FR,6-2,307,"Berrien Springs, MI",Berrien Springs HS
46,Liam Jones,K,SR,5-10,180,"Choctaw, OK",Choctaw HS
45,Trevor Kardell,TE,FR,6-5,234,"Lee's Summit, MO",Lee's Summit West HS
85,Hunter Kaufman,WR,JR,5-11,180,"Pratt, KS",Pratt HS
3,Miles Kendrick,QB,JR,5-10,203,"Morgan Hill, CA",Valley Christian HS
67,Logan Klusman,LS,SR,6-1,233,"Lafayette, LA",St. Thomas More HS
69,Joe Krause,OL,FR,6-3,313,"Prairie Village, KS",Shawnee Mission East HS
8,Kwamie Lassiter II,WR,SR,6-0,175,"Chandler, AZ",Hamilton HS
99,Malcolm Lee,DL,JR,6-5,254,"Omaha, NE",Bellevue West HS
