No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
94,Abule Abadi-Fitzgerald,DT,JR,6-6,296,"Lakeland, FL",Victory Christian Academy
53,Reuben Adams,-,FR,6-3,330,"Woodbridge, VA",Senior
23,Tyrell Ajian,DB,JR,6-0,190,"Mansfield, OH",Madison Comprehensive
6,Josh Ali,WR,SR,6-0,193,"Hollywood, FL",Chaminade-Madonna
11,Beau Allen,QB,FR,6-2,207,"Lexington, KY",Lexington Catholic
91,Sam Anaele,OLB,FR,6-4,275,"Deefield Beach, FL",McDougle Technical Institute
63,Alex Bascom,DT,SO,6-5,272,"Louisville, KY",St. Xavier
64,Richard Bascom,DT,SO,6-5,269,"Louisville, KY",St. Xavier
80,Brenden Bates,TE,SO,6-4,248,"Cincinnati, OH",Archbishop Moeller
98,Isaiah Beasley,DL,FR,5-11,262,"Radcliff, KY",North Hardin
42,Marquez Bembry,ILB,JR,6-3,232,"Stone Mountain, GA",Mount Vernon Presbyterian
24,Zac Berezowitz,DB,JR,6-0,178,"Lexington , KY",Henry Clay
95,Quinton Bohanna,NG,SR,6-4,357,"Cordova, TN",Cordova
14,Kalil Branham,WR,FR,6-1,202,"Columbus, OH",Northland
32,Jamari Brown,DB,SO,6-1,201,"Sunrise, FL",Blanche Ely
45,Jase Bruner,ILB,FR,6-2,232,"Science Hill, KY",Somerset
74,Ryan Bryant,OG,SO,6-5,292,"Ashland, KY",Paul Blazer
56,Deondre Buford,OT,FR,6-3,295,"Detroit, MI",Martin Luther King
6,Jared Casey,ILB,FR,6-3,221,"Louisville, KY",Ballard
35,Kaleb Cheek,WR,FR,5-10,190,"Asheboro, NC",Asheboro
29,Yusuf Corker,DB,JR,6-0,197,"McDonough, GA",Woodland
62,Tyler Couch,C,JR,6-1,258,"Paintsville, KY",Paintsville
75,Eli Cox,OG,FR,6-4,293,"Nicholasville, KY",West Jessamine
82,Tae Tae Crumes,WR,FR,6-1,192,"Louisville, KY",Butler
84,Izayah Cummings,WR,FR,6-3,228,"Louisville, KY",Male
89,Allen Dailey Jr.,WR,JR,6-3,208,"Pinson, AL",Pinson Valley
44,Jamin Davis,ILB,JR,6-4,234,"Ludowici, GA",Long County
16,Torrance Davis,ILB,FR,6-2,220,"Cleveland, OH",Garfield Heights
51,Cade Degraw,LS,SO,5-11,210,"Lake Cormorant, MS",Lake Cormorant
17,Patrick Delahunty,QB,SO,6-0,198,"Brecksville, OH",St. Ignatius
36,M.J. Devonshire,CB,FR,5-11,182,"Aliquippa, PA",Aliquippa
30,Taj Dodson,DB,FR,6-1,198,"Union City, GA",Creekside
3,Cedrick Dort Jr.,DB,JR,5-11,182,"Palm Beach Gardens, FL",Dwyer
61,Austin Dotson,OG,JR,6-6,313,"Belfry, KY",Belfry
11,Moses Douglass,DB,FR,6-2,199,"Springfield, OH",Springfield
30,Ben Drake,DB,SO,6-1,199,"Charlottesville, VA",Monticello
5,Michael Drennen II,ATH,FR,5-11,190,"Dublin, OH",Coffman
93,Max Duffy,P,SR,6-1,190,"Perth, Australia",Curtin/Kent Street
26,Brandin Echols,DB,SR,5-11,178,"Memphis, TN",Southaven
31,Darren Edmond,WR,JR,5-11,195,"Norman, OK",Paul Laurence Dunbar (Ky.)
46,Braxton Eiserman,ILB,SO,6-1,212,"Jackson, KY",Breathitt County
