No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
92,Peyton Beckley,DL,SO,5-11,262,"Laplace, LA",McDonogh 35
35,Taylor Behl,LB,FR,6-1,235,"Georgetown, TX",Georgetown
4,Bobby Bell,S,SO,5-9,198,"Bossier City, LA",Evangel Christian Academy
23,Bryan Black-Lark,WR,JR,5-7,150,"Bastrop, LA",Texas College
17,Jahquan Bloomfield,WR,SO,6-1,190,"Katy, TX",Seven Lakes
75,John Bolding,C,SO,6-3,318,"Oak Grove, LA",Oak Grove
51,Zach Breaux,OG,SO,6-3,306,"Harvey, LA",Brother Martin
73,Dillon Brooks,C,SO,6-1,295,"Huntsville, TX",Tyler JC
69,Avante Burnham,OL,FR,5-9,266,"Jasper, TX",Newton
30,Keydrain Calligan,S,FR,6-0,182,"New Iberia, LA",Westgate
81,Jordan Carroll,WR,SO,6-3,196,"Forney, TX",Midwestern State
14,Perry Carter Jr.,WR,JR,5-8,172,"Houston, TX",St. Pius X
19,Coby Cavil,WR,FR,5-8,160,"Cedar Hill, TX",Red Oak
99,Myles Cole,DE,SO,6-6,248,"Shreveport, LA",Evangel Christian Academy
56,Bobbie Conklin,SN,SR,5-11,190,"Yorba Linda, CA",Fullerton College
61,Trey Corley,SN,SO,6-2,234,"Jackson, TN",University School of Jackson
6,Hayes Crockett,QB,FR,6-2,212,"Monroe, LA",Sterlington
27,Jordan Crumpton,TE,FR,6-3,232,"Shreveport, LA",Huntington
59,Victor Cutler,OT,FR,6-3,304,"West Monroe, LA",West Monroe
89,Cameron Darling,TE,JR,6-5,224,"McKinney, TX",McKinney Boyd
80,Will Derrick,WR,JR,6-0,155,"Shreveport, LA",Calvary Baptist Academy
66,Peyton Dunn,OT,FR,6-6,300,"Brandon, MS",Jackson Prep
43,Zach Elder,K,JR,5-11,245,"San Antonio, TX",Prairie View A&M
90,Sir'Darrius Ellis,DL,SO,6-0,286,"Monroe, LA",Ouachita Parish
27,Christian Fagan,DB,FR,5-8,150,"Cedar Hill, TX",Cedar Hill
68,T.J. Fiailoa,OG,JR,6-4,302,"Lawton, OK",MacArthur
95,Elijah Fisher,DE,FR,6-3,285,"Allen, TX",Allen
9,CJ Fletcher,WR,JR,6-0,196,"Houston, TX",Lamar
19,Jevin Frett,WR,JR,6-4,202,"Manchester, CT",Monroe College
1,Tyler Glass,S,SR,6-2,210,"Greenwood, MS",Copiah-Lincoln Community College
31,Zac Gulley,S,FR,5-11,181,"Newton, TX",Newton
13,Garrett Hable,QB,SO,5-11,190,"Benton, LA",Louisiana Tech
97,Demond Harris,DL,JR,6-0,265,"New Orleans, LA",Mississippi Gulf Coast CC
15,Austin Hawley,S,SR,6-0,197,"Gladewater, TX",Gladewater
36,David Heaton,K,JR,5-10,175,"Humble, TX",Atascocita
78,Nate Heidecker,OT,FR,6-4,265,"Conroe, TX",College Park
74,Evan Henry,OT,FR,6-3,330,"DeSoto, TX",DeSoto
85,Donavon Hickman,TE,JR,6-3,238,"Union, MS",Pearl River CC
54,Garrett Hirsch,OL,SR,6-3,315,"Towanda, IL",Illinois State
14,Chancellor Hitchens,CB,FR,6-1,190,"Baton Rouge, LA",McKinley Senior
18,Jonathan Hodoh,WR,SR,6-0,200,"Geismar, LA",Dutchtown
39,Davis Hughes,K,FR,6-1,167,"Clearwater, FL",Countryside
10,Jeremy Hunt,QB,JR,6-2,235,"Oak Park, IL",Trinity Valley CC
93,Mason Husmann,DL,SR,6-4,265,"Aurora, MO",Aurora
1,Malik Jackson,WR,SO,5-8,175,"Opelika, AL",Lufkin
