No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
22,Yasir Abdullah,OLB,JR,6-1,225,"Miramar, FL",Carol City
1,Tutu Atwell,WR,JR,5-9,165,"Miami, FL",Northwestern
9,C.J. Avery,ILB,SR,5-11,230,"Grenada, MS",Grenada
77,Kobe Baynes,OL,FR,6-4,306,"Jacksonville, FL",Sandalwood
46,Darrian Bell,ILB,FR,6-0,220,"Danville, KY",Danville
75,Robbie Bell,OL,SR,6-5,305,"Hoschton, GA",Mill Creek
66,Cole Bentley,OL,SR,6-3,314,"Lenore, WV",Belfry
71,Joshua Black,OL,FR,6-2,290,"Stone Mountain, GA",Stephenson
55,Micah Bland,DL,JR,6-2,300,"Louisville, KY",Male
48,Hale Bohler,LB,FR,6-3,220,"Louisville, KY",St. Xavier
74,Adonis Boone,OL,JR,6-5,310,"Daytona Beach, FL",Mainland
98,Ja'Darien Boykin,DE,FR,6-0,250,"Gray, GA",Jones County
38,Drew Brenowitz,-,SO,5-10,210,"Olney, MD",Our Lady of Good Counsel
56,Renato Brown,OL,FR,6-4,330,"West Palm Beach, FL",Palm Beach Central
39,Justin Brummett,LS,FR,6-0,190,"Corbin, KY",Corbin
8,Henry Bryant,DL,FR,5-11,275,"Delray, FL",Atlantic Community
36,Maurice Burkley,RB,SR,6-0,210,"Naperville, IL",Metea Valley
10,Rodjay Burns,OLB,SR,6-0,215,"Louisville, KY",Trinity
37,Ryan Chalifoux,K,JR,6-1,185,"Champaign, IL",Champaign Central
55,Caleb Chandler,OL,JR,6-4,310,"Jefferson, GA",Jefferson
12,Marlon Character,DB,SR,6-1,195,"Atlanta, GA",Grady
26,Jatavian Churchill,DB,FR,5-11,180,"Springfield, KY",-
13,Kei'Trel Clark,CB,SO,5-10,165,"Richmond, VA",Manchester
92,Malik Clark,DL,JR,6-2,290,"Milledgeville, GA",Baldwin
23,K.J. Cloyd,LB,SO,6-2,215,"Columbia, MS",Columbia
51,Austin Collins,OL,FR,6-3,270,"Perrysburg, OH",Perrysburg
6,Evan Conley,QB,SO,6-2,215,"Marietta, GA",Kell
3,Malik Cunningham,QB,JR,6-1,200,"Montgomery, AL",Park Crossing
14,Marvin Dallas,OLB,JR,6-1,195,"Brunswick, GA",Georgia Military College
47,Desmond Daniels,TE,FR,6-5,247,"Atlanta, GA",Langston Hughes
93,Jared Dawson,DL,FR,6-1,258,"Collierville, TN",Collierville
79,Cameron DeGeorge,OL,SR,6-4,290,"Lynnfield, MA",Connecticut
31,Gregory DeRosiers,WR,FR,5-11,186,"Belmont, MA",Belmont
6,YaYa Diaby,DL,JR,6-4,255,"Atlanta, GA",Georgia Military College
91,Derek Dorsey,DL,SR,6-3,275,"Louisville, KY",Manual
37,Isiah Downing,DB,FR,6-2,186,"Louisville, KY",Ballard
