No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
88,Jalen Alexander,DL,SO,6-3,277,"Chesapeake, VA",Western Branch
40,Sebastian Alonso,LS,FR,5-10,205,"Miami, FL",Belen Jesuit
30,Daniel Anderson,WR,SR,6-0,190,"Upper Marlboro, MD",Arundel
54,Spencer Anderson,OL,SO,6-5,330,"Bowie, MD",Bishop McNamara HS
36,Cortez Andrews,LB,SO,6-0,230,"Tallahassee, FL",Amos P. Godby
61,Brian Armentrout,OL,FR,6-3,306,"Bel Air, MD",C. Milton Wright
56,Shazali Audu,LB,FR,6-0,225,"Abuja, Nigeria",Richard Montgomery
33,Deonte Banks,DB,SO,6-1,200,"Edgewood, MD",Edgewood
10,Tyler Baylor,TE,SO,6-4,255,"Olney, MD",Good Counsel HS
2,Jakorian Bennett,DB,JR,5-11,200,"Mobile, AL",McGill-Toolen HS
24,Kenny Bennett,DB,JR,6-2,200,"Philadelphia, PA",Academy at Palumbo
40,Owura Berko,DB,SO,6-0,185,"Crofton, MD",The Severn School
42,Kameron Blount,TE,FR,6-2,240,"Waldorf, MD",St. Charles
9,Joseph Boletepeli,DL,SO,6-4,260,"Raleigh, NC",Heritage
89,"Anthony Booker, Jr.",DL,FR,6-3,320,"Cincinnati, OH",Winton Woods
13,Peny Boone,RB,FR,6-1,245,"Detroit, MI",Detroit Martin Luther King
25,Beau Brade,DB,FR,6-1,201,"Clarksville, MD",River Hill HS
57,TJ Bradley,OL,SR,6-8,325,"Leesburg, VA",Tuscarora
65,Johari Branch,OL,JR,6-3,330,"Chicago, IL",Phillips Academy
26,Justin Brown,WR,JR,6-3,205,"Hillsborough, NJ",Hillsborough HS
59,Ryan Brown,DL,FR,6-1,274,"Dunkirk, MD",Northern
49,David Brownlee,LB,JR,6-3,230,"Forestville, MD",Bishop McNamara HS
58,Isaac Bunyun,DL,FR,6-3,294,"Beltsville, MD",High Point
99,Frankie Burgess,LB,FR,6-2,225,"Pahokee, FL",Pahokee HS
