No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
15,Kris Abrams-Draine,WR,FR,5-11,179,"Mobile, AL",Spanish Fort HS
1,Tyler Badie,RB,JR,5-9,200,"Memphis, TN",Briarcrest Christian
33,Chad Bailey,LB,SO,6-0,230,"Missouri City, TX",Ridge Point
20,Simi Bakare,RB,JR,5-11,210,"Round Rock, TX",Cedar Ridge
11,Barrett Banister,WR,JR,6-0,200,"Fayetteville, AR",Fayetteville
93,Luke Bauer,K,FR,6-5,190,"St. Louis, MO",De Smet
8,Connor Bazelak,QB,FR,6-3,220,"Dayton, OH",Archbishop Alter
1,Joshuah Bledsoe,S,SR,6-0,200,"Houston, TX",Dekaney
32,Nick Bolton,LB,JR,6-0,232,"Frisco, TX",Lone Star
79,Larry Borom,OL,JR,6-6,332,"Detroit, MI",Brother Rice
36,Joe Britton,LB,JR,6-1,225,"Rogers, AR",Bentonville
98,Logan Brock,K,FR,6-1,210,"Springfield, MO",Springfield Catholic
25,Jamal Brooks,LB,SR,6-1,230,"Bessemer, AL",Bessemer City
92,Z'Core Brooks,OLB,FR,6-5,245,"Dallas, TX",Woodrow Wilson
7,Stacy Brown,DB,SO,6-2,212,"Duncanville, TX",Duncanville
66,Jack Buford,OL,FR,6-4,310,"St. Louis, MO",Lutheran North
71,D.J. Bullard,OL,FR,6-3,315,"Fenton, MO",Rockwood Summit
24,Ishmael Burdine,DB,FR,6-1,190,"Slidell, LA",Slidell
97,Akial Byers,DL,SR,6-4,305,"Fayetteville, AR",Fayetteville
17,Jaylon Carlies,DB,FR,6-2,193,"Winter Garden, FL",West Orange
45,Kibet Chepyator,TE,FR,6-7,220,"Carol Steam, IL",Glenbard
6,Keke Chism,WR,SR,6-4,210,"Daingerfield, TX",Daingerfield
88,Logan Christopherson,TE,JR,6-6,255,"Lemont, IL",Lemont
38,Bryson Clayton,LB,SO,6-3,225,"Columbia, MO",Rock Bridge
12,Brady Cook,QB,FR,6-3,220,"St. Louis, MO",Chaminade
59,Case Cook,OL,JR,6-5,300,"Carrollton, GA",Carrollton
35,Michael Cox,RB,FR,6-0,220,"Atlanta, GA",Holy Innocents’ Episcopal School
