No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
84,Matthias Algarin,WR,FR,6-0,170,"Pierz, MN",Pierz
11,Austin Allen,TE,JR,6-8,260,"Aurora, NE",Aurora
45,David Alston,OLB,SO,6-4,235,"Saint Paul, MN",Woodbury
72,Matthew Anderson,OL,FR,6-6,255,"Leesville, LA",Leesville
50,Jake Archer,ILB,SO,6-0,215,"Omaha, NE",Skutt Catholic
73,Broc Bando,OL,JR,6-5,315,"Lincoln, NE",IMG Academy
36,Christian Banker,WR,JR,6-0,190,"Omaha, NE",Skutt Catholic
74,Brant Banks,OL,FR,6-7,305,"Houston, TX",Westbury Christian
55,Brig Banks,LS,JR,6-3,245,"Houston, TX",St. Thomas HS/Henderson State
66,Bladen Bayless,OL,FR,6-3,260,"Beatrice, NE",Beatrice
38,Brody Belt,WR,SO,5-8,185,"Omaha, NE",Millard West
54,Bryce Benhart,OL,FR,6-9,330,"Lakeville, MN",Lakeville North
15,Zavier Betts,WR,FR,6-2,200,"Bellevue, NE",Bellevue West
96,Marquis Black,DL,FR,6-4,310,"McDonough, GA",Eagle's Landing Christian Academy
59,Ian Boerkircher,OL,SO,6-6,275,"Aurora, NE",Aurora HS/Nebraska-Kearney
49,Nate Boerkircher,TE,FR,6-4,220,"Aurora, NE",Aurora
7,Dicaprio Bootle,CB,SR,5-10,195,"Miami, FL",Southridge
73,Baylor Brannen,DL,FR,6-4,260,"Omaha, NE",Millard West
4,Alante Brown,WR,FR,5-11,190,"Chicago, IL",Simeon HS/St. Thomas More (Conn.) Prep
41,Elliott Brown,WR,FR,6-1,180,"Omaha, NE",Elkhorn South
80,Jared Bubak,TE,SR,6-5,245,"Lincoln, NE",Lincoln Christian HS/Arizona State
85,John Bullock,OLB,FR,6-1,215,"Omaha, NE",Creighton Prep
39,Bradley Bunner,CB,JR,6-0,195,"Clarkson, NE",Clarkson Public School
35,Jimari Butler,OLB,FR,6-5,230,"Mobile, AL",Murphy
58,Chris Cassidy,ILB,SO,6-1,225,"Lincoln, NE",Pius X
40,Daniel Cerni,P,FR,6-4,220,"Canberra, Australia",Prokick Australia
45,Ty Chaffin,WR,SR,6-5,215,"Burwell, NE",Burwell
11,Braxton Clark,CB,SO,6-4,210,"Orlando, FL",Dr. Phillips
79,Alex Conn,OL,FR,6-6,300,"Derby, KS",Derby
36,Chase Contreraz,PK,SO,6-1,180,"Missouri Valley, IA",Missouri Valley HS/Iowa Western CC
32,Niko Cooper,OLB,SO,6-5,225,"Memphis, TN",Douglass HS/Hutchinson CC
69,Turner Corcoran,OL,FR,6-6,300,"Lawrence, KS",Free State
96,Tyler Crawford,PK,FR,5-10,175,"Broken Arrow, OK",Broken Arrow
33,Connor Culp,PK,SR,5-10,190,"Phoenix, AZ",Desert Vista HS/LSU
93,Damion Daniels,DL,JR,6-3,335,"Dallas, TX",Bishop Dunne
0,Ronald Delancy III,CB,FR,5-11,185,"Miami, FL",Northwestern
95,Grant Detlefsen,P,FR,6-3,210,"Lincoln, NE",Southeast
9,Marquel Dismuke,S,SR,6-2,215,"Compton, CA",Calabasas
13,JoJo Domann,OLB,SR,6-1,230,"Colorado Springs, CO",Pine Creek
42,Broc Douglass,WR,FR,6-0,160,"Grand Island, NE",Grand Island
88,Levi Falck,WR,SR,6-2,205,"Circle Pines, MN",Centennial HS/South Dakota
18,Myles Farmer,S,FR,6-3,205,"Atlanta, GA",Westlake
71,Matt Farniok,OL,SR,6-6,330,"Sioux Falls, SD",Washington
68,Will Farniok,OL,SO,6-3,295,"Sioux Falls, SD",Washington
82,Colton Feist,DL,SO,6-2,280,"Yutan, NE",Yutan
6,Marcus Fleming,WR,FR,5-10,170,"Miami, FL",Northwestern
29,Bennett Folkers,WR,SO,6-2,205,"Gothenburg, NE",Gothenburg
78,Jimmy Fritzsche,OL,FR,6-7,290,"Greenville, SC",Greenville
65,Christian Gaylord,OL,SR,6-6,310,"Baldwin City, KS",Baldwin City
23,Isaac Gifford,S,FR,6-1,205,"Lincoln, NE",Southeast
46,John Goodwin,TE,FR,6-2,255,"Lincoln, NE",Lincoln High
89,Jamin Graham,DL,FR,6-4,245,"Attalla, AL",Etowah
4,Keem Green,DL,JR,6-5,320,"Sumter, SC",Sumter HS/Highlands CC
24,Blaise Gunnerson,OLB,FR,6-6,245,"Carroll, IA",Kuemper Catholic
47,Tyson Guzman,S,FR,6-3,210,"Omaha, NE",Westside
17,Ty Hahn,WR,FR,6-2,195,"Johnson, NE",Johnson-Brock
10,Jackson Hannah,ILB,FR,6-3,220,"Nashville, TN",Montgomery Bell Academy
37,Isaiah Harris,RB,FR,5-9,190,"Omaha, NE",Millard South
29,Ashton Hausmann,DB,FR,6-0,205,"Roca, NE",Norris
93,Gabe Heins,PK,FR,6-0,185,"Kearney, NE",Kearney
