No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
80,Bryan Addison,WR,SO,6-5,190,"Gardena, CA",Junipero Serra HS
34,Jordan Adeyemi-John,CB,SO,6-1,209,"Placentia, CA",Valencia HS
98,Maceal Afaese,DT,FR,6-5,270,"Kapolei, HI",Kapolei HS
64,Kai Arneson,OL,FR,6-7,310,"Monument, CO",Lewis-Palmer HS
6,Robby Ashford,QB,FR,6-3,225,"Hoover, AL",Hoover HS
50,Popo Aumavae,DT,JR,6-3,290,"Stockton, CA",St. Mary's HS
71,Malaesala Aumavae-Laulu,OL,JR,6-6,325,"Hilo, HI",Liberty HS/Navarro College
56,T.J. Bass,OL,JR,6-5,318,"Deming, WA",Mt. Baker HS/Butte College
63,Karsten Battles,LS,JR,6-1,240,"San Antonio, TX",Claudia Taylor Johnson HS
40,Harrison Beattie,K,FR,5-11,183,"Phoenix, MD",McDonogh School
1,Trey Benson,RB,FR,6-1,211,"Greenville, MS",St. Joseph Catholic School
11,Trikweze Bridges,CB,FR,6-3,185,"Lanett, AL",Lanett HS
13,Anthony Brown,QB,SR,6-2,226,"Cliffwood, NJ",St. John Vianney HS/Boston College
9,Jay Butterfield,QB,FR,6-6,212,"Brentwood, CA",Liberty HS
82,Justin Collins,WR,SR,5-11,191,"Los Angeles, CA",Carson HS/Long Beach City College/Boise State
51,Louie Cresto,DL,FR,6-6,250,"Twin Falls, ID",Canyon Ridge HS
88,Isaah Crocker,WR,SO,6-2,180,"Sacramento, CA",Inderkum HS
39,MJ Cunningham,ILB,SO,6-2,230,"Portland, OR",Madison HS
25,Spencer Curtis,WR,FR,5-11,180,"Murray, UT",Jordan HS/Weber State
17,Daewood Davis,CB,JR,6-2,181,"Hollywood, FL",Deerfield Beach HS
83,Josh Delgado,WR,SO,5-11,190,"Carson, CA",IMG Academy (Fla.)
66,Jonathan Denis,OL,FR,6-3,305,"Homestead, FL",South Dade HS
5,Sean Dollars,RB,FR,5-10,195,"Rancho Cucamonga, CA",Mater Dei HS
97,Brandon Dorlus,DT,SO,6-3,285,"Fort Lauderdale, FL",Deerfield Beach HS
26,Travis Dye,RB,JR,5-10,200,"Norco, CA",Norco HS
55,Andrew Faoliu,OLB,SO,6-3,255,"Santa Ana, CA",Mater Dei HS
99,Austin Faoliu,DT,SR,6-3,300,"Santa Ana, CA",Mater Dei HS
10,Justin Flowe,ILB,FR,6-2,246,"Upland, CA",Upland HS
36,Jake Foggia,LS,FR,5-11,228,"West Long Branch, NJ",Red Bank Catholic HS
78,Alex Forsyth,OL,JR,6-4,305,"West Linn, OR",West Linn HS
