No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
57,Sullivan Altman,LB,FR,5-9,210,"Rockledge, FL",Holy Trinity Episcopal Academy
66,Brian Ankerson,OL,SR,6-1,295,"Theodore, AL",Theodore HS
25,Terrion Avery,RB,JR,5-8,195,"Wiggins, MS",Mississippi Gulf Coast CC
15,Kawaan Baker,WR,SR,6-1,215,"Atlanta, GA",Hapeville Charter Career Academy
28,Yam Banks,CB,FR,6-1,205,"Ridgeland, MS",Ridgeland HS
49,Christian Bell,LB,SR,6-4,245,"Birmingham, AL",Wisconsin
27,Dewayne Betts Jr.,S,JR,6-2,205,"Memphis, TN",Coahoma (Miss.) CC
24,Damean Bivins,RB,FR,6-0,215,"Pace, FL",Pace HS
92,Jack Brooks,P,SO,6-0,200,"Wagga Wagga, Australia",Mater Dei Catholic College
23,Tony Brown,RB,SO,5-8,170,"Hurley, MS",East Central HS
34,Nic Bunkosky,S,FR,6-0,180,"Ponte Vedra Beach, FL",Nease HS
74,Hayden Burton,OL,JR,6-5,320,"Bogue Chitto, MS",Mississippi Gulf Coast CC
20,Latarius Carr,LB,FR,5-11,235,"Olive Branch, MS",Olive Branch HS
25,Joshua Carter,LB,SO,5-9,220,"Navarre, FL",Navarre HS
98,Zeke Chapman,DL,JR,6-1,305,"Lake, MS",Pearl River (Miss.) CC
34,Cooper Charlton,LS,FR,5-10,225,"Enterprise, AL",Enterprise HS
4,Riley Cole,LB,SR,6-3,225,"Oneonta, AL",Oneonta HS
30,Charles Coleman III,DL,SO,6-2,275,"Huntsville, AL",Mae Jemison HS
20,Brandon Crum,TE,SO,6-4,250,"Auburn, AL",Auburn HS
86,Dallas Daffin,WR,FR,5-11,165,"Mobile, AL",McGill-Toolen Catholic HS
26,Carlos Davis,RB,SO,5-10,205,"Muscle Shoals, AL",Muscle Shoals HS
3,A.J. DeShazor,LB,JR,6-0,210,"Lakeland, FL",Lake Gibson HS
11,Nae’Saan Dickerson,WR,FR,6-2,185,"Ellenwood, GA",Hapeville Charter Career Academy
36,Nathan Dunaway,LB,FR,6-0,235,"Helena, AL",Helena HS
80,Mo Edwards Jr.,WR,SO,6-3,190,"Alabaster, AL",Thompson HS
76,Conner Estes,OL,JR,6-5,315,"Moss Point, MS",Mississippi Gulf Coast CC
16,DJ Exilhomme,S,SR,5-11,180,"Malden, MA",Central Connecticut State
1,Davyn Flenord,CB,JR,6-2,200,"Lineville, AL",Central Clay County HS
39,KD Floyd,LB,SO,5-10,215,"Mobile, AL",St. Luke's Episcopal School
69,Kent Foster,OL,JR,6-3,300,"Pell City, AL",Dodge City (Kan.) CC
17,Eli Gainey,QB,FR,6-3,225,"Flowery Branch, GA",Flowery Branch HS
33,Keith Gallmon,S,JR,5-9,205,"Mobile, AL",Mobile Christian School
19,Dallas Gamble,CB,FR,6-0,185,"Booneville, MS",Booneville HS
14,Brian Garcia,QB,FR,5-9,160,"Nolensville, TN",Ravenwood HS
72,John Gill,OL,FR,6-4,310,"Pensacola, FL",Pine Forest HS
56,Cade Gothard,OL,FR,6-0,275,"Clayton, AL",Eufaula HS
52,Jack Green,OL,FR,6-0,275,"Brandon, MS",Brandon HS
75,Wyatt Green,OL,SO,6-4,315,"Hurley, MS",East Central HS
36,Diego Guajardo,PK,SO,6-0,195,"Spanish Fort, AL",Daphne HS
70,Luke Hammond,OL,FR,6-5,295,"Huntsville, AL",Huntsville HS
22,Will Hankins,CB,SO,6-0,165,"Atoka, TN",Lackawanna (Pa.) CC
45,Jake Harwell,LS,SR,5-11,215,"Semmes, AL",Mary G. Montgomery HS
41,Cameron Hatcher-Owens,TE,SO,6-1,220,"Mobile, AL",Davidson HS
7,Chris Henderson,LB,SR,6-4,240,"Hampton, GA",Lovejoy HS
50,Jamall Hickbottom,DL,SO,6-2,290,"Mobile, AL",Williamson HS
95,Brock Higdon,DL,FR,6-7,235,"Pelham, AL",Pelham HS
27,Jacob Hopper,TE,FR,6-6,230,"Boaz, AL",Sardis HS
68,Nate Howard,OL,FR,6-7,325,"Forsythe, GA",Mary Persons HS
16,Hunter Jednat,WR,FR,5-10,160,"Creola, AL",Satsuma HS
24,Shawn Jennings,LB,SR,6-1,235,"Dadeville, AL",Alabama
51,Tyler Jernigan,OL,SO,6-2,330,"Bay Minette, AL",Baldwin County HS
90,Carlos Johnson,DL,FR,6-0,310,"Spanish Fort, AL",Spanish Fort HS
48,Gi'Narious Johnson,DL,JR,6-0,295,"Gulfport, MS",Pearl River (Miss.) CC
9,Kelvin Johnson,LB,JR,6-0,225,"Griffin, GA",Independence (Kan.) CC
81,Markes Johnson,DL,JR,6-0,275,"Mobile, AL",Birmingham-Southern
23,Zach Jones,LB,FR,6-3,220,"Moss Point, MS",East Central HS
46,Todd Justice,TE,FR,6-2,260,"Chelsea, AL",Chelsea HS
82,Parker Kahlert,WR,FR,6-1,190,"Atlanta, GA",Woodward Academy
94,Noah Karwacki,PK,FR,6-2,200,"Aurora, CO",Vista PEAK Preparatory School
19,Caullin Lacy,WR,FR,5-10,175,"Mobile, AL",Faith Academy
32,Kwameh Lewis,S,SR,5-10,190,"Montgomery, AL",Park Crossing HS
12,Jeremiah Littles,DL,SR,6-2,290,"Darien, GA",Wayne County HS
5,Chance Lovertich,QB,JR,5-11,185,"Brandon, MS",Mississippi Gulf Coast CC
18,Darrell Luter Jr.,CB,JR,6-0,175,"Hattiesburg, MS",Pearl River (Miss.) CC
84,Victor McClinton,WR,JR,6-1,200,"Eufaula, AL",Tennessee-Martin
65,Josh McCulloch,OL,SO,6-3,295,"Houston, TX",Aldine Benjamin Davis HS
10,Tanner McGee,QB,FR,6-4,210,"Randleman, NC",Randleman HS
54,Andrew McMillan,OL,FR,6-3,300,"Long Beach, MS",Long Beach HS
17,Ryan Melton,CB,SO,6-1,185,"West Point, MS",West Point HS
73,Hadon Merchant,OL,JR,6-3,320,"Fairhope, AL",Fairhope HS
33,John Miller,RB,SO,5-9,205,"Panama City, FL",Mosley HS
46,Nick Mobley,LB,JR,5-11,210,"Alabaster, AL",Thompson HS
79,Braden Moody,OL,FR,6-5,300,"Vicksburg, MS",Warren Central HS
18,Tylan Morton,QB,JR,6-4,200,"Griffin, GA",Hinds (Miss.) CC
40,Destin Myers,TE,SO,6-0,230,"Spanish Fort, AL",Spanish Fort HS
62,Zack Nerbonne,OL,FR,6-2,270,"Lilburn, GA",Parkview HS
97,Frankie Onate,PK,JR,5-11,190,"Jacksonville, FL",Trinity Christian Academy
87,Patrick Palmer,WR,FR,5-11,180,"Cantonment, FL",Tate HS
91,Terry Perry,DL,SO,6-0,250,"Birmingham, AL",Lindsey Wilson (Ky.)
22,AJ Phillips,RB,FR,5-11,210,"Mobile, AL",Chickasaw HS
6,Devin Rockette,CB,SR,5-10,175,"Oxford, MS",Oxford HS
8,Patrick Rosette,S,JR,6-1,205,"Richmond, TX",Northeastern Oklahoma A&M JC
35,Nick Ruggs,LB,FR,6-0,210,"Mobile, AL",McGill-Toolen Catholic HS
71,Christian Sapp,OL,FR,6-3,345,"Kiln, MS",Hancock HS
11,Jamie Sheriff,DL,JR,6-2,270,"Terry, MS",Mississippi Gulf Coast CC
77,Jacob Shoemaker,OL,SR,6-4,325,"Gulfport, MS",Mississippi Gulf Coast CC
58,Trey Simpson,OL,SO,6-2,275,"Mobile, AL",McGill-Toolen HS
61,Max Smith,OL,FR,6-2,300,"Loganville, GA",Loganville HS
67,Reggie Smith,OL,SO,6-1,345,"Pensacola, FL",Escambia HS
81,Ty Smith,WR,FR,6-1,185,"Muscle Shoals, AL",Muscle Shoals HS
42,Zivaiishe Smith,LB,SO,5-10,225,"Little Elm, TX",LA Pierce (Calif.) CC
55,Maurice Strong Jr.,DL,SO,6-1,315,"Raiford, FL",Union County HS
31,Doug Sullivan,LB,FR,5-10,185,"Saraland, AL",Saraland HS
28,Junior Summerhill,S,FR,6-0,185,"Florence, AL",Waterloo HS
12,Cade Sutherland,WR,JR,6-0,200,"College Park, GA",Woodward Academy
37,Zack Switzer,TE,FR,6-0,230,"Grand Bay, AL",Resurrection (Miss.) Catholic School
39,Dylan Thomas,TE,FR,6-2,230,"Jackson, AL",Jackson HS
7,Jamel Thomas,WR,JR,6-0,175,"Caledonia, MS",Itawamba (Miss.) CC
99,Wy'Kevious Thomas,DL,FR,6-2,340,"Riverdale, GA",Riverdale HS
13,CJ Thompson,S,JR,6-1,200,"Tulsa, OK",Northeastern Oklahoma A&M JC
8,Jalen Tolbert,WR,JR,6-3,195,"Mobile, AL",McGill-Toolen HS
1,Desmond Trotter,QB,SO,6-3,200,"Irondale, AL",Shades Valley HS
47,Trent Tyre,TE,JR,6-4,250,"Madison, MS",Copiah-Lincoln (Miss.) CC
9,Devin Voisin,WR,SO,6-0,185,"Crestview, FL",Crestview HS
2,Jaden Voisin,CB,SO,6-0,200,"Crestview, FL",Crestview HS
29,Keon Voisin,S,SO,6-0,200,"Crestview, FL",Crestview HS
89,Zyon Walker,DL,FR,6-0,290,"Memphis, TN",Whitehaven HS
4,Jalen Wayne,WR,JR,6-2,210,"Spanish Fort, AL",Spanish Fort HS
10,Quentin Wilfawn,LB,JR,6-1,245,"Oxford, MS",Northwest Mississippi CC
21,Jared Wilson,RB,SO,5-11,210,"Troy, AL",Charles Henderson HS
85,Forrest Winton,WR,FR,6-1,185,"The Woodlands, TX",The Woodlands Christian School
63,Dustin Woodham,OL,FR,6-2,270,"Dothan, AL",Wicksburg HS
88,Keyshawn Woodyard,WR,FR,6-1,190,"Mobile, AL",UMS-Wright Preparatory School
83,Christian Wortham,WR,FR,6-1,185,"Grenada, MS",Grenada HS
14,Roy Yancey,LB,SR,6-1,215,"Opelika, AL",Arizona Western CC
5,Tré Young,S,SR,5-11,180,"Mobile, AL",East Central (Miss.) CC
53,Andrew Zink,LS,SR,5-10,230,"Cleveland, OH",Manatee (Fla.) HS
