No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
54,Aaron Allert,LB,FR,6-0,200,"Lexington, TX",Lexington HS
5,Kevin Anderson,S,SO,6-1,180,"Lewisville, TX",Lewisville HS
15,Blake Aragon,TE,SO,6-4,195,"Stephenville, TX",Stephenville HS
74,Russell Baker,OL,JR,6-5,300,"Owasso, OK",Owasso HS/Northeastern Oklahoma A&M College
12,Javen Banks,WR,JR,6-2,170,"Wichita Falls, TX",Hirschi HS
18,Marcell Barbee,WR,JR,6-2,192,"Pueblo, CO",Pueblo South HS/Iowa Western CC
47,Jacob Bates,K,JR,5-10,190,"Tomball, TX",Tomball HS/Arkansas
17,D.J. Bolger,QB,SO,6-3,205,"Austin, TX",Hyde Park Baptist HS
44,John Brannon,LB,JR,6-0,235,"McKinney, TX",Prosper HS
33,Marquis Brown,RB,SO,5-10,200,"Cedar Park, TX",Roundrock HS/Air Force
23,"Robert Brown, Jr.",RB,SR,5-8,200,"Houston, TX",Eisenhower HS
84,Seth Caillouet,TE,SO,6-3,230,"Covington, LA",Archbishop Hannan HS
68,Brandon Castillo,OL,JR,6-6,310,"Universal City, TX",Clemens HS/Blinn College
11,Zion Childress,S,FR,6-0,183,"New Caney, TX",New Caney HS
60,Eric Cisneros,OL,FR,6-2,300,"Midland, TX",Lee HS
7,Markeveon Coleman,OLB,SR,6-2,215,"Dallas, TX",Skyline HS
76,Kylar Cooks,OL,SO,6-5,270,"Texarkana, TX",Liberty Eylau HS
73,Dalton Cooper,OL,FR,6-6,280,"Prague, OK",Prague HS
72,Alex Costilla,OL,JR,6-4,295,"San Marcos, TX",San Marcos HS/Tyler JC
98,Gjemar Daniels,DL,JR,5-11,315,"Kennedale, TX",Kennedale HS
16,Auston Deason,S,SO,6-0,195,"Pearland, TX",Pearland HS
23,Preston Dimery,S,JR,6-0,185,"Kerrville, TX",Tivy HS
32,John Emmanuel,LB,FR,6-1,190,"Dallas, TX",Bishop Dunne
30,Josh Emmanuel,LB,FR,6-0,216,"Dallas, TX",Bishop Dunne HS
95,Nico Ezidore,DL,JR,6-2,290,"Garland, TX",Naaman Forest HS
31,Kendon Flowers,RB,SO,5-8,185,"Houston, TX",Jersey Village/Abilene Christian
16,Kenny Frazier,WR,FR,5-10,147,"Opelousas, LA",Opelousas HS
62,Jacob Fryrear,OL,SR,6-2,285,"Caldwell, TX",Caldwell HS
97,Emmanuel Galvan-Vazquez,DL,JR,6-3,250,"Buda, TX",Hays HS
7,Jaylen Gipson,QB,JR,6-2,195,"Mexia, TX",Mexia HS
4,Gavin Graham,ILB,SR,6-1,225,"Austin, TX",Anderson HS/Air Force Prep
14,"Trevis Graham, Jr.",WR,JR,6-1,175,"Mansfield, TX",Lake Ridge HS
40,J.T. Greer,FB,FR,6-1,235,"Dickinson, TX",Dickinson HS
89,Austin Groeschel,TE,FR,6-4,220,"Midland, TX",Greenwood HS
34,Ryan Hampton,LB,FR,5-10,215,"Tupelo, MS",Tupelo HS
46,Durham Harris,LS,FR,5-9,190,"Corpus Christi, TX",Flower Bluff HS
27,London Harris,LB,JR,6-2,220,"Rosharon, TX",Manvel HS
3,Jeremiah Haydel,WR,SR,6-0,170,"Houston, TX",Alief Taylor HS
17,Kenny Haynes,LB,FR,6-2,185,"Edna, TX",Edna HS
71,Tate Heitmeier,OL,JR,6-3,285,"Mansfield, TX",Lake Ridge HS
22,Calvin Hill,RB,FR,5-7,168,"Baytown, TX",Ross Sterling HS
83,Micah Hilts,TE,SO,6-5,225,"Colorado Springs, CO",Vista Ridge HS
15,Rodrick Hockley,CB,SO,6-0,160,"Galveston, TX",O'Connell HS/Navarro CC
8,Jacoby Hopkins,WR,SO,6-0,198,"Houston, TX",Heights HS
6,Jared Hopper,S,FR,6-0,182,"Calabasas, CA",Calabasas HS
19,Jaycob Horn,WR,FR,6-2,205,"Tupelo, MS",Tupelo HS
82,Kevin Howard,TE,JR,6-3,210,"Gardendale, AL",Gardendale HS/Fort Scott CC
41,Tyler Huff,TE,SO,6-3,245,"Rancho Santa Margarita, CA",Tesoro HS/Saddleback College
2,Grid Isidore,S,JR,6-1,185,"Slidell, LA",Salmen HS/Nicholls State/Tyler JC
9,Drue Jackson,WR,SO,6-1,200,"Garland, TX",Sachse/Washington State/Tyler JC
81,Dylan Jantz,WR,FR,5-9,170,"Gunter, TX",Gunter HS
65,Kameron Jemison,OL,JR,6-5,310,"Overland Park, KS",Hogan Prep/Hutchinson CC
28,Jahmyl Jeter,RB,SO,6-0,200,"San Antonio, TX",Brennan HS/Oklahoma State
35,Ashton Johnson,CB,SO,5-10,170,"Dickinson, TX",Dickinson HS
10,Waydale Jones,WR,JR,6-4,200,"Beeville, TX",Beeville HS/Wake Forest
50,Reece Jordan,OL,SR,6-3,275,"Decatur, TX",Boyd HS
36,Isaiah Karriem,LB,JR,6-0,220,"Columbus, MS",Columbus HS/Mississippi Delta CC
43,Seth Keller,K,SO,5-9,170,"Colleyville, TX",Covenant Christian HS/Cisco CC
69,Tanner King,OL,JR,6-5,275,"Houston, TX",Deer Park HS
87,Jackson Lanam,TE,SO,6-4,225,"Corpus Christi, TX",Calallen HS
57,Zane Little,LB,SO,6-0,220,"San Antonio, TX",Reagan HS
25,Brendon Luper,S,JR,6-0,185,"Denison, TX",Denison HS/Navarro CC
90,Jake Lynch,DL,SO,6-5,230,"Richmond, TX",Fort Bend Travis HS
52,Austin Markiewicz,OL,FR,6-4,290,"McKinney, TX",McKinney HS
