No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
65,Zach Adams,OL,SR,6-6,315,"Fredricksburg, VA",Riverbend
56,Jack Anderson,OL,JR,6-5,315,"Frisco, TX",Frisco
71,Reece Azam,OL,FR,6-3,290,"Andrews, TX",Andrews/Air Force
56,Jackson Baggett,LB,FR,6-3,220,"Bushland, TX",Bushland
24,Adam Beck,DB,JR,6-2,205,"Richmond, TX",George Ranch/Minnesota
37,Xavier Benson,LB,SO,6-3,220,"Texarkana, TX",Pleasant Grove
42,John Berard,LS,JR,6-3,230,"Annapolis, MD",Dematha/City College of San Francisco
96,Philip Blidi,DL,FR,6-4,275,"Portales, NM",Portales
2,Brandon Bouyer-Randle,LB,JR,6-2,235,"Battle Creek, MI",Battle Creek Central/Michigan State
10,Alan Bowman,QB,SO,6-3,215,"Grapevine, TX",Grapevine
15,Cole Boyd,DB,FR,6-3,200,"Boerne, TX",Boerne
97,Tony Bradford Jr.,DL,SO,6-1,290,"Houston, TX",North Shore
67,Troy Bradshaw,OL,SO,6-6,290,"Mineral Wells, TX",Mineral Wells
28,Tahj Brooks,RB,FR,5-10,215,"Manor, TX",Manor
45,Austin Brougham,WR,JR,6-2,195,"Fort Worth, TX",Hurst LD Bell/Navarro J.C.
33,Kyan Brumfield,DB,JR,6-0,185,"San Antonio, TX",Brandeis/Colgate
50,Josh Burger,OL,SR,6-4,295,"Aurora, OH",Aurora/Wofford
26,Devyn Butler,DB,FR,5-10,185,"Allen, TX",Allen
83,Cameron Cantrell,WR,FR,6-1,195,"Whitehouse, TX",Whitehouse
77,Ethan Carde,OL,SO,6-8,315,"Valrico, FL",Bloomingdale/Coffeyville C.C.
82,KeSean Carter,WR,JR,5-11,190,"The Woodlands, TX",The Woodlands
63,Aaron Castro,OL,FR,6-3,295,"Hutto, TX",Hutto
85,Trey Cleveland,WR,FR,6-4,190,"Arlington, TX",Arlington
0,Seth Collins,DB,SR,6-3,200,"San Diego, CA",Granite Hills/Oregon State
3,Henry Colombi,QB,JR,6-2,205,"Hollywood, FL",Chamindae Madonna College Prep/Utah State
35,Patrick Curley,LB,SO,6-2,235,"Wagoner, OK",Wagoner
46,Jonathan Davis,DB,FR,6-1,170,"Dallas, TX",South Oak Cliff
73,Dawson Deaton,OL,JR,6-6,310,"Frisco, TX",Frisco
90,Devin Drew,DL,JR,6-2,280,"Kansas City, MO",Raytown Senior/Iowa Western C.C.
20,Kosi Eldridge,LB,JR,6-1,225,"Denton, TX",Denton Ryan/Kilgore J.C.
13,Erik Ezukanma,WR,SO,6-3,220,"Fort Worth, TX",Timber Creek
74,Will Farrar,OL,JR,6-5,310,"Richmond, TX",Travis
23,DaMarcus Fields,DB,SR,6-0,200,"Taylor, TX",Taylor
29,Nate Floyd,DB,FR,6-0,175,"College Station, TX",A&M Consolidated
