No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Dalton Adkison,WR,SO,6-0,192,"New Brockton, AL",New Brockton HS/Alabama
55,Jake Andrews,OL,SO,6-3,316,"Millbrook, AL",Stanhope Elmore HS
61,Dylan Armstrong,OL,FR,6-3,295,"Montgomery, AL",Stanhope Elmore HS/West Alabama
73,Jake Baker,OL,JR,6-2,297,"Tallassee, AL",Tallassee HS
4,Jabre Barber,WR,FR,5-10,190,"Dothan, AL",Dothan HS
92,Desmond Barkley,DT,FR,6-3,341,"Stockbridge, GA",Stockbridge HS
72,Toryque Bateman,OL,JR,6-7,315,"Gadsden, AL",Gadsden City HS/Fort Scott CC
25,Wes Baumhower,LB,SO,6-0,212,"Fairhope, AL",Fairhope HS/Alabama
29,Jaylon Beasley,S,FR,6-0,178,"Duluth, GA",Denmark HS
58,"Gerald Bell, Jr.",OL,SR,6-4,300,"Bessemer, AL",Bessemer City HS/Pearl River CC
67,Grant Betts,OL,SO,6-3,290,"Spanish Fort, AL",Spanish Fort HS
75,Kannon Biggs,OL,FR,6-5,301,"Athens, AL",Athens HS
20,DK Billingsley,RB,JR,5-11,214,"Scottsboro, AL",Scottsboro HS
65,Dylan Bradshaw,OL,SR,6-3,311,"Enterprise, AL",Enterprise HS
88,Demontrez Brown,WR,SO,6-3,208,"Madison, AL",Bob Jones HS
24,Josh Brown,CB,FR,5-11,168,"Valdosta, GA",Lowndes HS
21,Shakel Brown,DT,JR,6-4,301,"Miami, FL",Lincoln HS/Itawamba CC
70,Tyler Burnsed,OL,FR,6-4,290,"Glen St. Mary, FL",Baker County HS
63,Carson Burt,OL,FR,6-5,278,"Fort Payne, AL",Fort Payne HS
64,Deandre Butler,OL,JR,6-4,290,"Opelika, AL",Opelika HS/Jacksonville State
56,Terry Byers,LB,FR,6-2,205,"Panama City Beach, FL",Arnold HS
26,Tavarious Carswell,CB,FR,6-0,170,"Atlanta, GA",Mays HS
78,Jordan Chapman,OL,JR,6-3,287,"Leakesville, MS",Greene County HS/Jones County CC
5,Bryce Childress,WR,FR,5-9,178,"St. Louis, MO",Trinity Catholic HS/Iowa Western CC
5,Will Choloh,DT,JR,6-0,289,"Lawrenceville, GA",Archer HS
3,Bret Clark,WR,JR,5-11,181,"New Hope, AL",New Hope HS
9,Kyle Coale,P,SR,5-11,195,"Palos Verdes, CA",Palos Verdes HS/Western Illinois
86,Rondell Cole,WR,SO,6-3,193,"Harvest, AL",Sparkman HS/Mississippi College
12,Markeis Colvin,S,SO,5-11,205,"Ruskin, FL",Armwood HS/Hutchinson CC
59,Max Copeland,LB,FR,6-2,200,"Troy, AL",Pike Liberal Arts School
89,Trey Coryell,TE,SR,6-5,247,"Macon, GA",North Cobb HS/West Virginia
17,Carloss Crawford,S,SO,6-2,183,"Memphis, TN",Heritage (Texas) HS/Coffeyville CC
46,Jack Dawson,P,FR,6-3,185,"Sylvania Waters, Australia",St. Patrick's College
93,Chyrius Duckett,DT,JR,6-4,318,"Pleasant Hill, CA",Skyview HS/Diablo Valley College
1,Terence Dunlap,CB,JR,6-0,175,"Maplesville, AL",Maplesville HS
13,Tray Eafford,WR,SR,6-1,199,"Leesburg, GA",Lee County HS
57,Trenton Fender,OL,FR,6-2,246,"Tifton, GA",Tiftarea Academy
11,O'shai Fletcher,CB,SO,5-11,171,"Huntsville, AL",Randolph School
30,Anthony Frederique,K,FR,5-7,190,"Tampa, FL",Tampa Catholic HS
12,Jacob Free,QB,JR,6-5,217,"Brantley, AL",Brantley HS/NW Mississippi CC/Vanderbilt
36,Austin Gavin,RB,FR,5-10,184,"Montgomery, AL",St. James HS
1,Kaylon Geiger,WR,SR,5-10,170,"Fort Worth, TX",Paschal HS/Navarro College
77,Derrick Graham,OL,FR,6-4,286,"Lake Minneola, FL",Lake Minneola HS
90,Elgin Griffin,DT,SR,6-2,286,"Valdosta, GA",Lowndes County HS/Eastern Arizona
35,Navy Harris,LB,JR,6-1,227,"Phenix City, AL",Glenwood School/Hutchinson CC
8,TJ Harris,S,JR,6-1,193,"Leesburg, GA",Lee County HS
71,Hamilton Hawthorne II,OL,FR,6-2,337,"Jacksonville, FL",Sandalwood HS
62,Peter Haynes,LS,FR,5-9,190,"Cumming, GA",Pinecrest Academy
34,Terrence Head,LB,SO,6-3,214,"Eclectic, AL",Elmore County HS
30,"John Hines, Jr.",DE,SR,6-4,248,"Montgomery, AL",Park Crossing HS/Southwest Mississippi CC
45,William Hooper,FB,SO,5-10,204,"Montgomery, AL",Montgomery Catholic
53,Bubba Hudson,OL,JR,6-4,290,"Dawson, GA",Terrell County HS
80,Tyler Hussey,WR,JR,6-1,191,"Troy, AL",Pike Liberal Arts
20,George Jackson,DB,JR,5-11,192,"Rolling Fork, MS",South Delta HS/Mississippi Delta CC
98,T.J. Jackson,DT,FR,6-1,285,"Millbrook, AL",Stanhope Elmore HS
9,Richard Jibunor,LB,SO,6-3,226,"Delta State, Nigeria",Athens Christian HS/Auburn
15,Tez Johnson,WR,FR,5-10,148,"Pinson, AL",Pinson Valley HS
74,Cameron Kaye,LS,SR,6-2,234,"Naples, FL",Gulf Coast HS
11,Bryce Kelly,WR,FR,6-1,190,"Montgomery, AL",Pike Road HS
29,Orlando Lacey,WR,JR,6-0,182,"Opp, AL",Opp HS
99,Evan Legassey,K,JR,6-3,212,"Pensacola, FL",Tate HS
17,Sam Letton,WR,SR,6-2,223,"Marietta, GA",Walton HS
84,AJ Lewis,TE,SO,6-3,258,"Mobile, AL",Murphy HS
85,Deyunkrea Lewis,TE,FR,6-3,258,"Montgomery, AL",Robert E. Lee HS
51,Chase Little,OL,FR,6-6,321,"Montgomery, AL",Montgomery Catholic
27,Robert Marsh,WR,FR,5-7,146,"Phenix City, AL",Central HS
2,Carlton Martial,LB,JR,5-9,216,"Mobile, AL",McGill-Toolen HS
43,Jack Martin,K,SO,6-2,222,"Dothan, AL",Northview HS
25,Josh Mays,RB,SO,5-9,215,"McDonough, GA",Eagle's Landing Christian
6,Khalil McClain,WR,SR,6-4,222,"Fairburn, GA",Creekside HS/Hutchinson CC/Tulane
