No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Austin Ajiake,LB,JR,6-2,220,"Fremont, CA",Bellarmine Prep
85,Patrick Ballard,WR,SO,6-3,200,"Houston, TX",Elkins HS
19,Kaleo Ballungay,TE,FR,6-6,250,"Tracy, CA",Kimball HS
11,Noah Bean,TE,JR,6-2,245,"Simi Valley, CA",Grace Brethren HS
44,Kyle Beaudry,LB,SO,6-1,220,"Las Vegas, NV",Liberty HS
64,Garrett Beckman,OL,FR,6-4,335,"Greeley, CO",Greeley West HS
9,LeShaun Bell,LB,FR,6-3,235,"Thousand Oaks, CA",Calabasas HS
76,Clayton Bradley,OL,SR,6-6,310,"Orange, CA",Servite HS/USC
55,Michael Bray,OL,SO,6-3,275,"Bakersfield, CA",Liberty HS
72,Matt Brayton,OL,SR,6-3,310,"Monrovia, CA",Bishop Amat HS
21,Spencer Briggs,RB,FR,5-10,195,"Gallatin, TN",Gallatin HS
2,Dominic Brown,DB,SO,6-3,190,"Oxnard, CA",Oxnard HS/Ventura College
38,Tanner Brown,P,JR,5-11,160,"Saugus, CA",College of the Canyons
17,Doug Brumfield,QB,FR,6-5,215,"Inglewood, CA",Serra HS
41,Robert Butler,DB,JR,6-0,190,"Warren, OH",Warren Harding HS/Victor Valley College
46,Charlton Butt,P,FR,6-2,205,"Victoria, Australia",Bacchus Marsh Grammar
29,Tre Caine,DB,JR,6-1,195,"Detroit, MI",University Liggett HS/Colgate
75,Jaron Caldwell,OL,SR,6-4,335,"Las Vegas, NV",Bishop Gorman HS
99,Daniel Caloca,DL,FR,6-3,300,"Brawley, CA",Brawley Union HS
18,Jeremy Clark,WR,JR,6-2,200,"Norwalk, CA",La Mirada HS
9,Tyleek Collins,WR,JR,5-9,170,"Savannah, GA",Hapeville Charter Academy
48,Royce Danielson,DL,SO,6-4,255,"Henderson, NV",Coronado HS
57,Nathan De Jager,P,SR,5-11,180,"Bakersfield, CA",Bakersfield HS/Bakersfield College
50,Jalen Dixon,DL,FR,6-0,260,"Seattle, WA",O'Dea HS
22,Dylan Downing,RB,FR,5-11,220,"Carmel, IN",Carmel HS
26,Ose Egbase,LB,FR,6-4,215,"Encino, CA",Crespi HS
62,Eliel Ehimare,DL,JR,6-1,280,"Katy, TX",Cinco Ranch HS/Cabrillo College
33,Sir Oliver Everett,DB,FR,6-3,175,"Las Vegas, NV",MASE HS
42,Naki Fahina,DL,SO,6-0,275,"Hawthorne, CA",Lawndale HS
45,Giovanni Fauolo Sr.,TE,SR,6-2,250,"Oakley, CA",Freedom HS
79,Leif Fautanu,OL,FR,6-2,320,"Honolulu, HI",University Laboratory School
30,Austin Fiaseu,DB,FR,6-0,215,"Las Vegas, NV",Liberty HS
40,Dondi Fuller,LB,SO,6-1,200,"Belleville, IL",Belleville HS/New Mexico Highlands
74,Julio Garcia,OL,SR,6-3,330,"Las Vegas, NV",Bishop Gorman HS
82,Jacob Gasser,WR,SR,6-0,180,"Long Beach, CA",Los Alamitos HS/Cerritos College (CA)
54,Colin Giffen,LB,FR,6-0,200,"Palo Alto, CA",Palo Alto HS
6,Max Gilliam,QB,SR,6-3,200,"Thousand Oaks, CA",Thousand Oaks HS/Saddleback College
39,Daniel Godfrey,FB,SR,5-8,235,"Las Vegas, NV",Sierra Vista HS
52,Rex Goossen,LS,SR,6-2,185,"Scottsdale, AZ",Scottsdale CC/Arizona
95,Jalen Graves,DL,JR,6-0,260,"Las Vegas, NV",Desert Pines HS
15,Marckell Grayson,QB,JR,6-2,200,"Las Vegas, NV",Desert Pines HS
3,Zyell Griffin,WR,FR,6-2,185,"Vancouver, WA",Evergreen HS
32,Daniel Gutierrez,P,JR,5-11,215,"Los Angeles, CA",Granada Hills Charter HS
59,Walker Hardan,LS,FR,6-1,225,"Bothell, WA",Bothell HS
98,Jameson Helu,DL,FR,6-2,250,"Reno, NV",Bishop Manogue HS
53,Farrell Hester II,LB,SR,6-1,240,"Las Vegas, NV",Bishop Gorman HS
5,Phillip Hill,DB,SO,5-11,190,"Spring, TX",Klein Collins HS
31,Devynn Holly,DB,FR,5-11,175,"Boulder, CO",Fairview HS
13,Jeremiah Houston,DB,JR,6-0,185,"Inglewood, CA",Westchester HS/Long Beach City College
24,Bryce Jackson,DB,JR,5-9,190,"Chandler, AZ",Chandler HS
84,Steve Jenkins,WR,SO,6-0,165,"Los Angeles, CA",Narbonee HS
15,Alven Johnson,DL,FR,6-4,275,"Baton Rouge, LA",Thrive Academy
47,Malcolm Johnson,LB,SO,6-0,235,"Mandeville, LA",Mandeville HS
25,Ricky Johnson,DB,FR,6-2,160,"Houston, TX",Cy Falls HS
78,Jeminai Leuta-Ulu,OL,FR,6-3,330,"Anaheim, CA",Servite HS
28,Aaron Lewis,DB,SR,5-9,185,"Rancho Cucamonga, CA",Rancho Cucamonga HS/Chaffey College
34,Alex Lines,TE,FR,6-5,245,"Gilbert, AZ",Higley HS
36,Chad Magyar,RB,JR,6-2,215,"Rancho Santa Margarita, CA",Santa Margarita HS
73,Alani Makihele,OL,FR,6-3,350,"Anchorage, AK",West HS
55,Tavis Malakius,DL,JR,6-2,280,"Macon, GA",Fort Scott CC
77,Jackson McCullough,OL,SR,6-6,320,"San Diego, CA",Cathedral Catholic HS/Humboldt State
90,Noah McGregor,DL,SO,6-4,245,"Chatsworth, CA",Sierra Canyon School/College of the Canyons
87,Adam Meyer,TE,SO,6-5,220,"Huntington Beach, CA",Ocean View HS
20,Avery Miguel,RB,SO,5-9,170,"Waimea, HI",Waimea HS
69,Marcus Miller,OL,FR,6-4,300,"Castro Valley, CA",Castro Valley HS
49,Tim Mosley,DL,SO,6-3,250,"Watts, CA",Dorsey HS
96,Waisale Muavesi,DL,FR,6-2,300,"Provo, UT",Timpview HS
91,Nate Neal,DL,SR,6-3,240,"Montclair, CA",Etiwanda HS
7,Kenyon Oblad,QB,SO,6-3,190,"Henderson, NV",Liberty HS
17,Kue Olotoa,LB,JR,6-2,205,"Costa Mesa, CA",Orange Lutheran HS/Riverside CC
71,Justice Oluwaseun,OL,JR,6-3,325,"Richmond, TX",Foster HS
66,Mike Overland III,OL,FR,6-5,300,"Las Vegas, NV",Cimmaron-Memorial HS
51,Valen Penn,LS,FR,6-0,215,"San Antonio, TX",James Madison HS
86,Marcus Phillips Jr.,WR,SO,6-3,215,"Las Vegas, NV",Cimarron-Memorial HS
7,Adam Plant Jr.,DL,SO,6-5,250,"Las Vegas, NV",Bishop Gorman HS/TCU
14,Tyson Player,DB,FR,6-1,180,"Columbia, SC",Ridge View HS
80,Brandon Presley,WR,SR,6-0,180,"Temecula, CA",Great Oaks HS
26,Courtney Reese,RB,FR,5-8,155,"Naranja, FL",Southridge Senior HS
58,Seth Robinson,DL,FR,6-2,220,"Scottsdale, AZ",Saguaro HS
38,Simon Robinson,DB,JR,6-1,200,"Seattle, WA",Garfield HS/Snow College
5,Justin Rogers,QB,SO,6-4,240,"Shreveport, LA",Parkway HS/TCU
43,Malakai Salu,LB,SO,6-0,230,"Portland, OR",Central Catholic HS
22,Brennon Scott,LB,FR,6-1,235,"Lancaster, TX",Bishop Dunne Catholic HS
