No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Praise Amaewhule,DE,SO,6-3,245,"Katy, TX",Katy Taylor HS
22,Ronald Awatt,RB,JR,6-0,205,"Lubbock, TX",Frenship HS
40,Gavin Baechle,K,JR,6-2,175,"McKinney, TX",McKinney HS
20,Tre'Vion Ballard,CB,JR,5-11,180,"Gardena, CA",Los Alamitos HS/Cerritos College
8,Miles Banks,WR,JR,6-1,165,"Missouri City, TX",Fort Bend Elkins/Blinn CC
36,Darius Baptist,DB,JR,6-0,190,"Hutto, TX",Hutto HS/Hardin-Simmons
55,Gamaliel 'Tres' Barboza,OL,JR,6-4,310,"Castroville, TX",Tyler Junior College
12,Dennis Barnes,DB,JR,5-11,170,"Jefferson City, MO",Jefferson City HS/Fort Scott CC
88,Rashad Beecham,TE,JR,6-2,225,"Cibolo, TX",Allan Hancock College
9,Isaiah Bravo,QB,SR,6-3,195,"West Covina, CA",Cerritos College
24,McKel Broussard,DB,FR,6-0,190,"Sherman Oaks, CA",Notre Dame HS
51,Armonie Brown,DE,FR,6-3,250,"Refugio, TX",Refugio HS
7,Calvin Brownholtz,QB,SO,6-2,210,"Carmichael, CA",Jesuit HS
81,Davis Burns,WR,FR,6-1,185,"El Paso, TX",Coronado HS
63,Jeremiah Byers,OL,FR,6-5,315,"Austin, TX",L.C. Anderson HS
20,Davion Bynaum,WR,FR,6-0,170,"Cameron, TX",C.H. Yoe HS
22,Josh Caldwell,DB,SR,6-0,170,"Long Beach, CA",Cerritos College
41,Robert Cervantes,TE,FR,6-1,210,"El Paso, TX",Andress HS
29,Alejandro Chavarria,K,FR,5-9,165,"San Antonio, TX",Central Catholic HS
25,Kway'Chon Chisom,DB,JR,5-10,190,"Hayti, MO",Cape Central HS/Butler CC
62,Cameron Cooper,OL,FR,6-5,280,"Aurora, CO",Grandview HS
1,Devaughn Cooper,WR,SR,5-11,175,"Los Angeles, CA",Arizona
18,Robert Corner III,DB,JR,6-1,175,"Compton, CA",Cerritos College
47,Adam Cousins,WR,FR,5-11,170,"Pflugerville, TX",Hendrickson HS
6,Jacob Cowing,WR,SO,5-11,170,"Maricopa, AZ",Maricopa HS
16,Devon Daich,QB,JR,6-4,230,"Aptos, CA",Cabrillo College
26,Walter Dawn Jr.,WR,SR,5-7,175,"Mesquite, TX",Poteet HS
27,Alfredo De La Torre,CB,FR,6-1,185,"El Paso, TX",Americas HS
