No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
41,Andrew Acosta,TE,JR,6-2,235,"Fort Stockton, TX",Fort Stockton HS
13,Josh Adkins,QB,JR,6-2,215,"Spring Branch, TX",Smithson Valley HS/New Mexico State
22,Jabari Aiken,WR,SO,5-8,175,"San Antonio, TX",Johnson HS/Georgia State
71,Rudy Aleman Jr.,OL,SO,6-1,275,"San Antonio, TX",Warren HS
73,Demetris Allen,OL,FR,6-3,300,"Hattiesburg, MS",Hattiesburg HS
64,Ernesto Almaraz,OL,SO,6-4,280,"Los Angeles, CA",Salesian HS/East Los Angeles College
97,Walker Baty,DL,FR,6-4,260,"Liberty Hill, TX",Liberty Hill HS
49,Trumane Bell II,DL,SO,6-2,260,"Dallas, TX",Lake Highlands HS
37,Myles Benning,TE,SR,5-11,235,"The Colony, TX",The Colony HS/Navy
36,Sean Berry,CB,FR,5-11,180,"Dallas, TX",Wilson HS
5,Brenden Brady,RB,JR,5-11,205,"Cibolo, TX",Steele HS
42,Jake Brandt,TE,FR,6-7,210,"Richmond, TX",Fort Bend Austin HS
63,Jordan Brown,OL,FR,6-3,325,"Manvel, TX",Manvel HS
74,Spencer Burford,OL,JR,6-5,300,"San Antonio, TX",Wagner HS
53,Caleb Cantrell,DS,JR,5-11,205,"Hurst, TX",Birdville HS/Wyoming
84,Oscar Cardenas,TE,FR,6-4,265,"San Antonio, TX",Brandeis HS
16,JayVeon Cardwell,CB,SO,6-0,175,"Cibolo, TX",Steele HS/Oklahoma State
12,Joshua Cephus,WR,SO,6-3,185,"Spring, TX",Dekaney HS
72,Cedric Claiborne,OL,FR,6-3,300,"Houston, TX",Westfield HS
88,De'Corian Clark,WR,SO,6-2,205,"Fort Worth, TX",Wyatt HS
95,Christian Clayton,DL,FR,6-2,300,"Fort Worth, TX",South Hills HS
83,Gregory Clayton Jr.,WR,JR,5-11,175,"Lutcher, LA",Lutcher HS/Trinity Valley (Texas) CC
17,Kaedric Cobbs,RB,FR,5-10,210,"Denton, TX",Guyer HS
52,Cade Collenback,DS,SO,6-3,245,"San Antonio, TX",O'Connor HS/Tyler JC
45,Ke'Chawn Compton,TE,JR,6-2,240,"Beaumont, TX",Central HS
28,Je'Vaun Dabon,S,FR,6-2,180,"Houston, TX",Cypress Ridge HS
33,B.J. Daniels,RB,SR,6-2,205,"Melbourne, FL",Palm Bay HS
98,Lorenzo Dantzler,DL,SR,6-2,245,"Starkville, MS",Starkville HS/East Mississippi CC
86,Josh Davies-Balogun,LB,JR,6-4,240,"Richmond, TX",Travis HS/Butler (Kan.) CC
32,Isaiah Davis,WR,FR,6-2,185,"El Paso, TX",Pebble Hills HS
61,Kevin Davis,OL,JR,6-3,315,"Angleton, TX",Angleton HS
35,Lucas Dean,P,SO,6-2,195,"Dunsborough, Australia",St Mary MacKillop College
6,Brennon Dingle,WR,SR,5-10,180,"Baltimore, MD",Perry Hall HS/UMass
80,Dan Dishman,TE,FR,6-6,215,"League City, TX",Clear Falls HS
48,Hunter Duplessis,PK,SR,5-8,200,"San Antonio, TX",Cole HS
29,Kyle Eaves,WR,FR,5-11,160,"Austin, TX",Lake Travis HS
46,Cade Edwards,LB,FR,5-11,230,"Bastrop, TX",Cedar Creek HS
47,KJ Elder,S,FR,6-2,180,"San Antonio, TX",Warren HS
91,Shaquan Flagg,DL,FR,6-4,255,"San Antonio, TX",Brennan HS
18,Zakhari Franklin,WR,SO,6-1,185,"Cedar Hill, TX",Cedar Hill HS
70,Jalyn Galmore,OL,SR,6-5,305,"Batesville, MS",South Panola HS/Itawamba CC
56,Zachary Gilson,DL,SO,6-5,235,"Sachse, TX",Sachse HS
57,Peter Gray,DL,SO,6-4,235,"Tupelo, MS",Tupelo HS
14,Dywan Griffin,CB,SO,5-11,180,"New Orleans, LA",Landry-Walker HS
41,De'Marco Guidry,LB,JR,6-0,220,"La Marque, TX",La Marque HS
29,Ronald Gurley,S,FR,6-2,190,"Harker Heights, TX",Harker Heights HS
15,Trevor Harmanson,LB,JR,6-3,230,"Dickinson, TX",Dickinson HS/Blinn CC
0,Frank Harris,QB,JR,6-0,200,"Schertz, TX",Clemens HS
24,SaVion Harris,S,SR,6-0,190,"Sacramento, CA",Palm Beach Central HS/Iowa Central CC
77,Makai Hart,OL,JR,6-4,295,"Clinton, IA",Clinton HS/Trinity Valley (Texas) CC
37,Nate Hawkins,LB,FR,6-1,225,"Katy, TX",Seven Lakes HS
1,Jaylon Haynes,DL,SR,6-2,290,"Wharton, TX",Wharton HS
58,Terrell Haynes,OL,SO,6-3,305,"Arlington, TX",Seguin HS
45,DeQuarius Henry,LB,SR,6-3,240,"Houston, TX",Sharpstown HS
9,Clarence Hicks,LB,SR,6-2,225,"Pensacola, FL",Pine Forest HS/Hutchinson [Kan.] CC
16,Allen Horace II,TE,FR,6-5,250,"Crockett, TX",Crockett HS
34,Sustin Irvin II,CB,FR,5-10,175,"Katy, TX",Seven Lakes HS
31,Kadari Johnson,RB,SR,5-9,205,"Shelby Charter Township, MI",Saginaw Valley State
50,Jaden Jones,DL,FR,6-2,300,"San Antonio, TX",East Central HS
2,Sheldon Jones,WR,JR,5-9,165,"New Orleans, LA",Warren Easton HS
51,Magnus Kirby,LB,FR,6-2,205,"San Antonio, TX",Sam Houston HS
88,Jamal Ligon,LB,FR,6-3,245,"Tyler, TX",Lee HS
39,Jaylon Lott,S,FR,6-0,195,"Carrollton, TX",Hebron HS
38,Tyler Mahnke,LB,JR,6-3,225,"San Jose, CA",Round Rock (Texas) HS
55,Ahofitu Maka,OL,JR,6-3,320,"Honolulu, HI",Punahou HS/Independence [Kan.] CC
99,Brandon Matterson,DL,JR,6-2,300,"San Antonio, TX",Brandeis HS
26,Corey Mayfield Jr.,CB,JR,5-11,195,"Forney, TX",North Forney HS
34,Colby McBerty,P,FR,6-5,185,"College Station, TX",A&M Consolidated HS
3,Sincere McCormick,RB,SO,5-9,200,"Converse, TX",Judson HS
82,Andrew McGowan,WR,SO,6-3,205,"Sinton, TX",Sinton HS
54,Ashton Merrett,LB,JR,6-0,225,"New Orleans, LA",Brother Martin HS/Memphis
25,Avery Morris,LB,FR,6-2,205,"Humble, TX",Atascocita HS
10,Dexter Myers,S,SR,6-0,190,"Pasadena, CA",Maranatha HS/Oregon
10,Lowell Narcisse,QB,JR,6-3,230,"St. James, LA",St. James HS/Mississippi Gulf Coast CC
94,Kevin Nelson,DL,SO,6-2,285,"Fort Worth, TX",Arlington Heights HS
11,Kelechi Nwachuku,S,SO,6-0,200,"McAllen, TX",Memorial HS
78,Josh Oatis,OL,SR,6-5,330,"Gulfport, MS",West Harrison HS
11,Tykee Ogle-Kellogg,WR,SO,6-4,210,"Alcoa, TN",Alcoa HS
62,Matthew Ojeda,OL,SR,5-11,290,"San Antonio, TX",International School of the Americas
68,Abraham Olguin,OL,SO,6-1,275,"The Colony, TX",The Colony HS/Howard Payne
38,Everett Ornstein,PK,FR,6-0,165,"Houston, TX",Langham Creek HS
75,Bosah Osakwe,OL,SR,6-2,300,"Antioch, CA",Deer Valley HS/Contra Costa [Calif.] JC
4,Antonio Parks,S,SR,5-9,190,"Reserve, LA",East St. John HS/Arizona
66,Dominic Pastucci,OL,SR,6-5,315,"Pflugerville, TX",Hendrickson HS
43,Donovan Perkins,LB,JR,5-10,230,"Zachary, LA",Zachary HS
18,Cam Peters,QB,FR,6-4,195,"Stafford, TX",Stafford HS
27,Jarrett Preston,S,SO,5-11,210,"Missouri City, TX",Ridge Point HS
28,Jaren Randle,WR,FR,6-4,170,"San Antonio, TX",Johnson HS
19,Zach Rangel,QB,SO,6-3,225,"Round Rock, TX",Stony Point HS/Mt. San Antonio (Calif.) College
21,Ken Robinson,CB,FR,5-11,170,"Grand Prairie, TX",South Grand Prairie HS
30,Justin Rodriguez,RB,FR,5-8,180,"San Antonio, TX",Johnson HS
60,Brandon Rolfe,OL,JR,6-3,280,"Commerce, TX",Commerce HS/Ellsworth [Iowa] CC
13,Jahmal Sam,S,SO,5-10,185,"New Orleans, LA",Warren Easton HS
79,Daniel Santallana,OL,FR,6-4,300,"San Antonio, TX",East Central HS
14,Suddin Sapien,QB,FR,6-3,225,"Midland, TX",Midland HS
87,Gavin Sharp,TE,JR,6-5,250,"Leander, TX",Rouse HS
44,Dominic Sheppard,LB,SR,6-2,245,"Miami, FL",Gulliver Prep HS/Virginia
22,Ryan Shockency,S,SO,6-1,180,"Rosenberg, TX",Lamar Consolidated HS/Mary Hardin-Baylor
17,Asyrus Simon,LB,FR,6-4,245,"Humble, TX",Atascocita HS
35,Jordan Smith,WR,SO,6-2,200,"San Antonio, TX",Brennan HS/Tyler JC
23,Xavier Spencer,CB,FR,6-1,175,"Converse, TX",Judson HS
31,Cade Stanley,S,JR,6-0,180,"San Marcos, TX",San Marcos HS
81,Cade Stoever,WR,SO,5-11,190,"Wimberley, TX",Wimberley HS
7,Dadrian Taylor,S,JR,5-11,180,"Shiner, TX",Shiner HS
30,Donyai Taylor,S,FR,6-1,195,"Shiner, TX",Shiner HS
48,Wiliam Turner,LB,JR,6-3,235,"Universal City, TX",Randolph HS/Texas A&M-Kingsville
44,Kyle Wakefield,TE,SO,6-1,210,"Austin, TX",Lake Travis HS/Trinity Valley CC
4,Leroy Watson,TE,SR,6-5,260,"Snellville, GA",Shiloh HS/Hutchinson [Kan.] CC
15,Jordan Weeks,QB,SO,6-4,225,"Wimberley, TX",Wimberley HS
96,Charles Wiley,LB,SR,6-2,245,"Stockbridge, GA",Stockbridge HS/Mississippi
19,Julon Williams,WR,SO,5-11,200,"Converse, TX",Judson HS/Houston
69,Monte Williams,OL,FR,6-3,305,"Mesquite, TX",Horn HS
47,Dedrick Wilson,WR,FR,6-2,210,"Kenedy, TX",Kenedy HS/West Point Prep
0,Rashad Wisdom,S,SO,5-10,205,"Converse, TX",Judson HS
8,Solomon Wise,LB,SR,6-4,245,"Coppell, TX",Coppell HS
20,Tariq Woolen,CB,JR,6-5,210,"Fort Worth, TX",Arlington Heights HS
