No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Omari Alexander,DB,SR,5-10,180,"Louisville, KY",duPont Manual HS/Eastern Kentucky
18,Talique Allen,DB,FR,6-1,205,"Fort Valley, GA",Peach County HS
43,Drake Alsup,WR,FR,6-0,180,"Cross Plains, TN",East Robertson HS
14,Stephone Atkinson,DE,FR,6-3,235,"Lake Minneola, FL",Lake Minneola HS
36,Kyle Bailey,LB,SR,6-0,215,"Carrollton, GA",Bremen HS
54,Matt Baldeck,LS,JR,6-0,220,"Lewiston, ID",Lewiston HS/Michigan
50,Ricky Barber,DT,FR,6-3,290,"Louisville, KY",Doss HS
89,Joey Beljan,TE,SO,6-3,250,"Frenchtown, NJ",Delaware Valley HS
29,Beanie Bishop,DB,SO,5-10,170,"Louisville, KY",Pleasure Ridge Park HS
4,"John Blunt, Jr.",DB,SO,6-1,185,"Arlington, TX",Mansfield Timberview HS/Cisco College
59,Jake Bowman,LS,FR,6-0,220,"Nashville, TN",Lipscomb Academy
9,Dominique Bradshaw,DB,JR,6-0,180,"Dallas, TX",Cedar Hill HS/Navarro College
98,Marcus Bragg,DT,JR,6-4,280,"North Miami, FL",Miami Jackson HS/Arizona Western College
12,"A.J. Brathwaite, Jr.",DB,SO,6-0,190,"Miami, FL",Central HS
75,Gunner Britton,OL,SO,6-6,290,"Conway, SC",Conway HS
77,Mason Brooks,OL,JR,6-6,305,"Cedar Park, TX",Cedar Park HS
32,Eli Brown,LB,SR,6-2,220,"Bowling Green, KY",Warren East HS/Kentucky
11,"Craig Burt, Jr.",WR,JR,6-4,205,"Columbus, OH",Centennial HS/Hutchinson CC
28,Demetrius Cain,DE,SR,6-0,245,"Princeton, KY",Caldwell County HS
64,Bryson Canada,OL,JR,6-4,290,"Lexington, KY",Henry Clay HS
60,Bryce Chandler,DT,JR,6-2,290,"Morganfield, KY",Union County HS
17,Travis Collier,DB,FR,6-1,200,"Douglasville, GA",Douglas County HS
69,Devante Colton,DE,SR,6-1,250,"Bowling Green, KY",South Warren HS
23,Malachi Corley,WR,FR,6-0,200,"Campbellsville, KY",Campbellsville HS
24,Roger Cray,DB,SR,5-9,170,"Lake City, FL",Columbia HS
23,B.J. Crim,DB,SO,6-1,200,"Ocala, FL",Vanguard HS
39,Devvan Darden,DB,FR,5-11,180,"Hendersonville, TN",Pope John Paul II HS
53,Jeremy Darvin,DT,SR,6-1,295,"Nashville, TN",Father Ryan HS
30,Clay Davis,LB,SR,6-2,230,"Louisville, KY",Christian Academy/Tennessee Tech
5,Nick Days,LB,SO,6-3,225,"Miami, FL",North Miami HS/Independence CC
73,Wes Dorsey,OL,FR,6-7,290,"Knoxville, TN",Grace Christian Academy
84,Jeremiah Edwards,WR,SO,5-10,160,"Nashville, TN",Hillsboro HS/Tennessee Tech
90,JaQues Evans,DE,FR,6-2,255,"Dublin, GA",Dublin HS
21,Jeremiah Fails,WR,FR,5-11,195,"Orlando, FL",Ocoee HS
76,Mark Goode,OL,FR,6-6,285,"Hodgenville, KY",LaRue County HS
47,John Haggerty,P,SR,6-5,230,"Sydney, Australia",Western Suburbs
50,Wesley Horton,OL,FR,6-3,270,"Atlanta, GA",North Atlanta HS
11,Jaden Hunter,DE,JR,6-2,240,"Atlanta, GA",Westlake HS/Georgia
35,Will Ignont,LB,JR,6-1,235,"Huntsville, AL",Buckhorn HS/Tennessee
68,Colt Jackson,OL,FR,6-3,290,"Bowling Green, KY",South Warren HS
67,Seth Joest,OL,SR,6-3,295,"Versailles, KY",Woodford County HS
38,Desmond Johnson,DB,FR,6-0,185,"Valdosta, GA",Valdosta HS
25,C.J. Jones,RB,JR,5-10,195,"Cypress, TX",Cypress Woods HS/Blinn JC
91,Chase Jones,DT,FR,6-3,290,"Glasgow, KY",Glasgow HS
34,Juwuan Jones,DE,JR,6-3,270,"Sugar Hill, GA",Lanier HS
42,Aaron Key,LB,FR,6-1,220,"Tucker, GA",Tucker HS
2,Devon Key,DB,SR,6-1,210,"Lexington, KY",Bryan Station HS
31,Antwon Kincade,DB,SR,5-11,200,"Jacksonville, FL",Valdosta HS (Ga.)
13,Garland LaFrance,DB,JR,5-10,175,"New Orleans, LA",St. Augustine HS
9,Xavier Lane,WR,SR,6-4,205,"Montgomery, AL",Carver HS
83,Zach Langford,K,FR,5-11,175,"Clarksville, TN",Clarksville HS
78,Quantavious Leslie,OL,FR,6-3,310,"Rome, GA",Rome HS
52,"Damon Lowe, Jr.",LB,SR,6-1,230,"Louisville, KY",Trinity HS/Eastern Kentucky
99,Jalen Madden,DT,SR,6-1,310,"Tuscaloosa, AL",Northridge HS
10,DeAngelo Malone,DE,SR,6-4,230,"Atlanta, GA",Cedar Grove HS
19,C.J. Marria,DE,JR,6-4,265,"Jonesboro, GA",Jonesboro HS
35,KeShawn McClendon,RB,JR,5-11,200,"Clarksville, TN",Rossview HS
7,Trae Meadows,DB,SR,6-1,190,"Greensboro, NC",Dudley HS/NC State/Garden City CC
61,Jordan Meredith,OL,SR,6-3,300,"Bowling Green, KY",Bowling Green HS
3,Jakairi Moses,RB,JR,5-9,190,"Palm Beach, FL",William T. Dwyer HS
46,Cory Munson,K,SO,6-3,185,"Warner Robins, GA",Northside HS
37,Tomi Mustapha,WR,FR,6-0,190,"Bowling Green, KY",South Warren HS
22,Cardavion Myers,DB,SO,5-11,175,"Piedmont, AL",Piedmont HS
44,Brayden Narveson,K,SO,6-1,195,"Scottsdale, AZ",Desert Mountain HS/Iowa State
44,David Ndukwe,DT,FR,6-6,290,"Decatur, GA",Arabia Mountain HS
13,Darius Ocean,QB,FR,6-0,195,"Raleigh, NC",Hough HS
80,Spencer Owens,TE,JR,6-4,250,"Fullerton, CA",Lakewood HS/Fullerton College
93,Wes Pahl,P,FR,6-5,185,"Columbus, GA",Brookstone School
81,Oliver Parker,WR,FR,6-0,180,"Princeton, KY",Caldwell County HS
7,Jahcour Pearson,WR,SR,5-9,180,"Fort Lauderdale, FL",Flanagan HS
1,Tyrrell Pigrome,QB,SR,5-10,200,"Birmingham, AL",Clay-Chalkville HS/Maryland
55,Daylen Powell,OL,FR,6-4,285,"Hendersonville, TN",Summerville HS (S.C.)
65,Jack Randolph,OL,FR,6-3,285,"Franklin, KY",Franklin-Simpson HS
15,Dezmion Roberson,LB,FR,6-2,200,"Elba, AL",Elba HS
16,Grady Robison,QB,FR,6-1,195,"Sammamich, WA",Eastlake HS
71,Stone Roston,OL,FR,6-3,300,"Brentwood, TN",Brentwood HS
26,Dionté Ruffin,DB,SR,5-11,185,"Kenner, LA",Paulding County HS (Ga.)
12,Davis Shanley,QB,JR,6-1,205,"Duluth, GA",South Forsyth HS
97,Darius Shipp,DT,JR,6-1,290,"Olive Branch, MS",Lewisburg HS/Northeast Mississippi CC
6,Joshua Simon,TE,SO,6-5,240,"Dalzell, SC",Crestwood HS
16,Kendrick Simpkins,DB,FR,6-0,195,"Montgomery, AL",Robert E. Lee HS
17,Dalvin Smith,TE,FR,6-3,195,"Glasgow, KY",Glasgow HS
88,Matthew Smith,WR,JR,6-2,195,"Louisville, KY",St. Xavier HS
18,Tyler Smith,WR,FR,6-0,190,"Ellenwood, GA",Salem HS
70,Cole Spencer,OL,JR,6-4,295,"Louisville, KY",Trinity HS
6,T.J. Springer,DB,FR,6-1,195,"Nashville, TN",Maplewood HS
51,Rusty Staats,OL,SO,6-4,315,"Watertown, TN",Watertown HS/Navy Prep
10,Malik Staples,RB,SR,6-1,225,"Lawrenceville, GA",Peachtree Ridge HS/Louisville
86,Terence Taylor,WR,FR,6-0,200,"McDonough, GA",Henry County HS
3,Lichon Terrell,DT,SO,6-1,285,"Hogansville, GA",Callaway HS
15,Dakota Thomas,WR,FR,6-1,200,"Snellville, GA",Shiloh HS
8,Kevaris Thomas,QB,SO,6-4,260,"Lakeland, FL",Lakeland HS
92,Terrion Thompson,DT,FR,6-0,300,"Bowling Green, KY",Bowling Green HS
40,Chase Tidmore,K,FR,5-9,175,"Franklin, TN",Page HS
4,Mitchell Tinsley,WR,JR,6-1,195,"Lee's Summit, MO",Lee's Summit HS/Hutchinson CC
85,Terez Traynor,WR,SO,6-3,205,"Louisville, KY",Doss HS
49,DeMarquez Trotter,DB,JR,5-10,200,"Nashville, TN",East Nashville Magnet HS/Indiana State
19,Dayton Wade,WR,SO,5-10,175,"Atlanta, GA",Lovejoy HS
40,"Barry Wagner, Jr.",DB,FR,6-0,200,"Orlando, FL",Orlando Christian Prep
55,Dante Walker,DE,FR,6-2,265,"Riverdale, GA",Cedar Grove HS
5,Gaej Walker,RB,SR,6-0,195,"Tampa, FL",East Bay HS
25,Bryson Washington,LB,SO,6-0,235,"Louisville, KY",Pleasure Ridge Park HS
20,Devon Wharton,DE,SR,6-3,220,"Hopkinsville, KY",Christian County HS
20,Noah Whittington,RB,FR,5-10,190,"Fort Valley, GA",Peach County HS
48,Steven Witchoskey,TE,SR,6-2,255,"Plant City, FL",Durant HS
74,Tyler Witt,OL,SR,6-2,305,"Joliet, IL",Joliet Catholic HS
33,Mario Wright II,LB,SO,6-1,225,"Chicago, IL",Homewood-Flossmoor HS
