No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
43,Christopher Abbes III,P,JR,5-11,185,"Danville, CA",Diablo Valley College / De La Salle HS
79,Ender Aguilar,OL,SO,6-5,285,"Mission Viejo, CA",Servite HS
56,Andy Alfieri,ILB,SO,6-3,235,"Portland, OR",Jesuit HS
88,Nick Alftin,TE,JR,6-5,250,"Woodside, CA",Archbishop Mitty HS
17,Mavin Anderson,WR,FR,6-0,200,"Mission Viejo, CA",Mission Viejo HS
51,Blake Antzoulatos,ILB,SO,6-2,230,"Simi Valley, CA",Chaminade College Prep
7,Chigozie Anusiem,CB,JR,6-1,205,"La Habra, CA",Sonora HS
47,Jake Arguello,LS,FR,6-0,185,"Orange, CA",St. John Bosco HS / Foothill HS
22,Justin Richard Baker,WR,SO,5-10,175,"Bellevue, WA",Kennedy Catholic HS
31,Hunter Barth,S,FR,6-2,215,"Chandler, AZ",Queen Creek HS
93,Luc Bequette,DL,SR,6-2,295,"Little Rock, AR",Boston College / Catholic HS
46,Marqez Bimage,OLB,SR,6-2,260,"Brenham, TX",Texas / Brenham HS
40,Parker Bosche,OLB,JR,6-4,240,"Berkeley, CA",Saint Mary's College HS
34,Christopher Brooks,RB,SR,6-1,235,"Oceanside, CA",El Camino HS
25,DeCarlos Brooks,RB,SO,5-10,210,"Chandler, AZ",Chandler HS
23,Dejuan Butler,S,SO,5-11,215,"Antioch, CA",Antioch HS
95,Akili Calhoun,DE,FR,6-4,275,"Brentwood, CA",Liberty HS
89,Tommy Christakos,WR,SO,6-4,210,"Scottsdale, AZ",Chaparral HS
73,Matthew Cindric,OL,JR,6-4,295,"Sammamish, WA",Skyline HS
80,Trevon Clark,WR,SR,6-4,195,"Victorville, CA",El Camino College / Silverado HS
62,Ben Coleman,OL,SO,6-4,325,"Murrieta, CA",Linfield Christian HS
91,Ricky Correia,NG,SO,6-4,340,"Fresno, CA",Central HS
74,Will Craig,OL,JR,6-5,295,"Granite Bay, CA",Granite Bay HS
11,Kekoa Crawford,WR,SR,6-1,195,"Pasadena, CA",Glendale Community College / Michigan / Santa Margarita Catholic HS / St. Francis HS
22,Zane Cribb,S,SR,5-11,195,"Danville, CA",Diablo Valley College / Monte Vista HS
52,Braxten Croteau,OLB,JR,6-5,255,"Peoria, AZ",Liberty HS
36,Grant Daley,WR,SO,6-1,200,"Martinez, CA",De La Salle HS
61,Valentino Daltoso,OL,SR,6-4,305,"Boise, ID",Oregon / Boise HS
23,Marcel Dancy,RB,SR,5-10,205,"Oakland, CA",Laney College / West HS
13,Blake DeBisschop,QB,FR,6-4,185,"West Linn, OR",West Linn HS
8,Kuony Deng,OLB,SR,6-6,240,"Aldie, VA",Independence Community College / Virginia Military Institute / John Champe HS
