No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
65,Jayden Addison,OL,SO,6-2,255,"Blythewood, SC",Blythewood HS
38,Charles Arnold Jr.,CB,FR,5-10,175,"Fairburn, GA",Langston Hughes HS
17,Myles Baker,CB,SO,5-10,160,"Huntersville, NC",Hough HS
13,Max Balthazar,RB,FR,5-11,195,"Fort Lauderdale, FL",TRU Prep Academy / University School
77,Tom Bambrick,OL,FR,6-4,335,"Madison, CT",Daniel Hand HS
98,Travis Batts,DE,FR,6-4,255,"Columbia, SC",Dutch Fork HS
27,CJ Beasley,RB,FR,5-10,185,"Norfolk, VA",Maury HS
3,Aaron Bedgood,WR,SO,5-8,175,"Richmond Hill, GA",Richmond Hill HS
79,Steven Bedosky,OL,SR,6-2,280,"Douglasville, GA",Landmark Christian HS
1,Braydon Bennett,RB,FR,6-2,190,"Greenville, SC",Southside HS
29,Massimo Biscardi,PK,SR,5-11,215,"Downingtown, PA",Downingtown West HS
75,Mason Bowers,OL,FR,6-4,275,"High Point, NC",High Point Central HS
7,Lance Boykin,CB,JR,6-3,210,"High Point, NC",High Point Christian Academy / Old Dominion
52,C.J. Brewer,DT,SR,6-2,290,"Bowdon, GA",Bowdon HS
14,Jared Brown,WR,FR,6-0,175,"Lilburn, GA",Parkview HS
11,Kameron Brown,WR,SR,6-3,210,"Graniteville, SC",Midland Valley HS / Charleston Southern
17,Randall Brown,RB,SO,5-9,180,"Lugoff, SC",Lugoff-Elgin HS / Presbyterian College
30,Shon Brown,BAN,FR,6-2,230,"Clover, SC",Clover HS
1,Shane Bruce,LB,SO,6-0,230,"Carrollton, GA",Central HS
81,Payton Bunch,LS,SO,6-3,195,"Pendleton, SC",Pendleton HS
33,Nic Burroughs-Rogers,TE,SO,6-1,240,"Columbia, SC",Blythewood HS
1,Derick Bush,CB,SR,6-1,190,"Tucson, AZ",Salpointe Catholic HS
46,Kenny Byrd,LB,FR,6-1,205,"Myrtle Beach, SC",Myrtle Beach HS
12,Bryce Carpenter,QB,SR,6-1,210,"Sarasota, FL",Venice HS
48,Bailey Carraway,LB,FR,6-3,235,"Hartsville, SC",Hartsville HS
63,Trey Carter,OL,SR,6-1,295,"Monroeville, AL",Monroe Academy
36,Joah Cash,BAN,FR,6-2,220,"Savannah, GA",Jenkins HS / Naval Academy Preparatory School (NAPS)
84,Nick Childs,WR,SO,5-10,185,"Winston-Salem, NC",East Forsyth HS
15,Jerrod Clark,NT,JR,6-4,345,"Dorchester, MA",Brighton HS
35,Kieran Colahan,P,SO,6-0,210,"Earlville, Australia",University of Australia
26,Isaiah Connelly,RB,FR,5-9,190,"Orlando, FL",Edgewater HS
60,Rakim Cooper,OL,FR,6-4,300,"Tinton Falls, NJ",Mater Dei Prep HS
25,Jamar Darboe,LB,JR,6-1,220,"Kinston, NC",Christchurch School (Va.)
27,Aaron Diggs,SPR,FR,5-11,210,"Auburn, AL",Auburn HS
50,Jordan Donald,OL,JR,5-10,290,"Memphis, TN",White Station HS
8,Tré Douglas III,S,JR,6-2,200,"McDonough, GA",Eagle's Landing Christian Academy / Vanderbilt
83,Kyre Duplessis,WR,FR,5-10,185,"Woodbridge, VA",Woodbridge HS
7,Luke Ellenberger,SPR,SO,6-1,195,"Pisgah Forest, NC",Brevard HS
54,Luke Evans,LB,FR,6-0,205,"Abbeville, SC",Abbeville HS
95,Tate Finklea,NT,FR,6-0,245,"Conway, SC",Conway HS
18,Tobias Fletcher,S,FR,5-10,165,"Atlanta, GA",Carver HS
11,Amadou Fofana,DE,SR,6-4,260,"Memphis, TN",Mitchell HS / Oklahoma State
0,Deon Fountain,WR,SO,5-11,175,"Valdosta, GA",Brooks County HS
34,Wilt Gabe II,TE,SO,6-3,245,"Montreal, Canada",Montmorency College / Independence C.C. (Kansas)
34,Teddy Gallagher,LB,SR,6-1,230,"Los Angeles, CA",Loyola HS / Glendale Community College
5,Travis Geiger Jr.,NT,JR,6-4,310,"Columbus, OH",Marion-Franklin HS / Highland C.C. (Kansas) / Tiffin
4,Kendricks Gladney Jr.,SPR,SR,6-0,210,"Capitol Heights, MD",Charles Herbert Flowers HS / Middle Tennessee / Asa College
68,Caleb Godfree,OL,FR,6-2,300,"Myrtle Beach, SC",Carolina Forest HS
35,Jaimeer Goodman,CB,JR,6-0,165,"Taylors, SC",Eastside HS
