No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
58,Emile Aime,LB,FR,5-9,229,"Miami Gardens, FL",University School
53,Cortez Andrews,LB,SO,6-1,245,"Tallahassee, FL",Godby / Maryland
62,Dylan Black,OL,FR,6-2,307,"Leesburg, FL",Leesburg
36,Caleb Blake,DB,SO,5-10,185,"Winter Haven, FL",Bishop Moore Catholic / Colorado State
47,Carter Boatwright,TE,FR,6-4,240,"Moultrie, GA",Colquitt County
6,"Dennis Briggs, Jr.",DT,SO,6-4,278,"Kissimmee, FL",Gateway
28,DeCalon Brooks,LB,JR,5-10,222,"Tampa, FL",Gaither
38,Shyheim Brown,DB,FR,6-2,205,"Lake City, FL",Columbia
3,"Jarvis Brownlee, Jr.",DB,FR,5-11,181,"Miami Gardens, FL",Miami Carol City
81,Joshua Burrell,WR,FR,6-2,224,"Blythewood, SC",Blythewood
20,CJ Campbell,RB,FR,5-9,195,"Panama City, FL",Bay
37,Omarion Cooper,DB,FR,6-0,186,"Lehigh Acres, FL",Lehigh Senior
91,Robert Cooper,DT,JR,6-2,338,"Lilburn, GA",South Gwinnett
0,Jashaun Corbin,RB,SO,6-0,221,"Rockledge, FL",Rockledge / Texas A&M
14,Marcus Cushnie,DE,JR,6-2,250,"Deerfield Beach, FL",Palm Beach Central / Alabama A&M
45,Preston Daniel,TE,FR,6-4,250,"Memphis, TN",Evangelical Christian
30,DJ Daniels,TE,FR,6-2,238,"Wilson, NC",Fike
22,TJ Davis,DL,FR,6-3,284,"Metter, GA",Metter
20,Kalen DeLoach,LB,SO,6-1,220,"Savannah, GA",Islands
27,Akeem Dent,DB,SO,6-1,203,"Pahokee, FL",Palm Beach Central
32,"Stephen Dix, Jr.",LB,FR,6-2,239,"Orlando, FL",Dr. Phillips
9,Meiko Dotson,DB,SR,5-11,197,"Daytona Beach, FL",Mainland / FAU
22,Ja’Khi Douglas,RB,FR,5-9,198,"Houma, LA",Terrebonne
85,Markeston Douglas,TE,FR,6-4,276,"Brownsville, TN",Haywood
69,Robert Elder IV,OL,SO,6-2,253,"Stuart, FL",Jensen Beach
15,Gino English,QB,FR,6-1,194,"Winter Park, FL",Winter Park
77,Bryson Estes,OL,FR,6-3,300,"McDonough, GA",Eagle's Landing Christian Academy
40,Jordan Eubanks,LB,FR,6-2,219,"Denton, TX",Guyer
44,Joshua Farmer,DT,FR,6-3,290,"Port St. Joe, FL",Gadsden County
88,Ryan Fitzgerald,K,FR,6-1,201,"Coolidge, GA",Colquitt County
