No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
18,Boone Abbott,QB,FR,6-2,190,"Highland, UT",American Fork HS
73,Nate Adams,OL,FR,6-7,325,"Flower Mound, TX",Flower Mound HS
19,Kamali'i Akina,QB,SR,5-11,180,"Stanford, CA",Saint Francis HS / San Mateo College
14,Connor Apo,QB,FR,6-0,185,"Waimanalo, HI",Saint Louis School
60,Kalani Atwood,DL,FR,6-3,250,"Hale'iwa, HI",Leilehua HS
45,Payton Awaya,LB,SR,6-0,215,"Honolulu, HI",Kalani HS
0,Chima Azunna,DB,SR,6-0,200,"Grand Prairie, TX",Lake Ridge HS / Iowa State
9,O'tay Baker,DL,JR,6-4,240,"Mesquite, TX",Mesquite HS / Tyler Junior College
69,Stephan Bernal-Wendt,OL,SR,6-1,310,"Honolulu, HI",Salesian HS
12,Josh Bertholotte,LB,FR,6-1,215,"New Orleans, LA",Landry-Walker HS
5,Khoury Bethley,DB,SR,5-10,200,"Chino, CA",Don Lugo HS
56,Mark Blocker II,DL,SO,6-3,230,"Los Angeles, CA",Lawndale HS
80,Kamuela Borden,TE,JR,6-4,250,"Pearl City, HI",‘Iolani School
6,Zion Bowens,WR,SR,6-1,200,"Long Beach, CA",Long Beach Polytechnic HS / Long Beach City College
38,Nasjzaé Bryant,RB,JR,5-10,210,"Orlando, FL",Mallard Creek HS / Catawba College
22,Colby Burton,DB,SR,5-10,185,"Houston, TX",Clear Creek HS / McNeese State
28,Aaron Cephus,WR,SR,6-4,200,"Houston, TX",Dekaney HS / Rice
59,Andrew Choi,DL,JR,6-1,230,"Honolulu, HI",Kaiser HS
12,Chevan Cordeiro,QB,JR,6-1,190,"Honolulu, HI",Saint Louis School
37,David Cordero,RB,FR,5-10,180,"Tucson, AZ",Salpointe Catholic HS
29,Donovan Dalton,DB,SR,6-4,200,"Apple Valley, MN",Saguaro HS
18,Cortez Davis,DB,SR,5-11,180,"Decatur, GA",Flowery Branch HS / Itawamba Community College
38,Kamalu DeBlake,LB,FR,5-10,210,"Honolulu, HI",Saint Louis School
78,Ka'ena Decambra,OL,FR,6-4,305,"Wai'anae, HI",Saint Louis School
49,Keola Downing,P,FR,6-0,175,"Honolulu, HI",Kamehameha Schools-Kapalama / Boise State
16,Armani Edden,QB,JR,6-0,185,"West Palm Beach, FL",Palm Beach Lakes HS / College of the Canyons
1,Tru Edwards,WR,JR,6-3,200,"Shreveport, LA",Mansfield Legacy HS / Navarro College
